,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
ie0rwa,0.51,0.12,0.0,0.0,0.24,0.0,0.0,0.0,0.12,0.0,0
ie0ybo,0.08,0.05,0.2,0.11,0.0,0.0,0.03,0.13,0.06,0.34,9
ie18cr,0.0,0.02,0.0,0.0,0.02,0.3,0.21,0.0,0.12,0.33,9
ie3we2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.27,6
ie48bi,0.45,0.0,0.12,0.0,0.0,0.0,0.05,0.0,0.0,0.38,0
ie4dl0,0.02,0.02,0.02,0.33,0.21,0.02,0.02,0.02,0.02,0.34,9
ie4f0q,0.01,0.01,0.01,0.36,0.27,0.01,0.01,0.01,0.01,0.28,3
ie4gy4,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.63,9
ie6frf,0.19,0.0,0.16,0.0,0.16,0.0,0.12,0.2,0.0,0.16,7
ie74zh,0.0,0.0,0.1,0.27,0.0,0.0,0.0,0.0,0.0,0.61,9
ie79rr,0.01,0.01,0.01,0.14,0.01,0.01,0.82,0.01,0.01,0.01,6
ie7bf4,0.0,0.0,0.0,0.35,0.0,0.0,0.11,0.52,0.0,0.0,7
ie7iom,0.0,0.0,0.07,0.0,0.09,0.29,0.0,0.15,0.39,0.0,8
ie7p39,0.0,0.13,0.0,0.13,0.03,0.04,0.03,0.2,0.35,0.09,8
ie9g5m,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,5
ie9y2u,0.4,0.0,0.0,0.0,0.0,0.0,0.13,0.31,0.15,0.0,0
ieazme,0.0,0.0,0.03,0.0,0.0,0.23,0.21,0.05,0.1,0.38,9
ieb36p,0.01,0.17,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.44,9
ieb9jv,0.16,0.0,0.0,0.0,0.3,0.0,0.14,0.38,0.0,0.0,7
iebxxd,0.07,0.47,0.0,0.07,0.0,0.0,0.03,0.16,0.0,0.21,1
iec4fd,0.0,0.0,0.13,0.0,0.1,0.0,0.39,0.13,0.0,0.25,6
iec5em,0.0,0.0,0.0,0.0,0.0,0.11,0.74,0.12,0.0,0.0,6
iectwy,0.0,0.0,0.56,0.0,0.12,0.11,0.0,0.0,0.2,0.0,2
ied0lw,0.01,0.01,0.01,0.24,0.01,0.72,0.01,0.01,0.01,0.01,5
iedet7,0.1,0.0,0.0,0.0,0.17,0.0,0.09,0.17,0.48,0.0,8
iednai,0.0,0.0,0.0,0.0,0.31,0.36,0.0,0.0,0.32,0.0,5
ieid62,0.22,0.39,0.05,0.0,0.0,0.14,0.11,0.09,0.0,0.0,1
iej6zw,0.01,0.01,0.01,0.57,0.19,0.01,0.01,0.01,0.01,0.19,3
iejky4,0.22,0.13,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.37,9
iejreq,0.0,0.14,0.0,0.0,0.0,0.06,0.36,0.24,0.0,0.2,6
iencmu,0.39,0.0,0.17,0.0,0.0,0.0,0.0,0.21,0.0,0.22,0
ieokjz,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
iep3ba,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
ier1lc,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.43,0.01,0.01,3
iert0l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.61,9
ies26x,0.22,0.49,0.1,0.01,0.01,0.01,0.01,0.16,0.01,0.01,1
iet5ac,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.04,0.0,0.36,6
ietuu3,0.09,0.0,0.22,0.19,0.0,0.35,0.0,0.15,0.0,0.0,5
ieu0ji,0.27,0.0,0.06,0.0,0.0,0.12,0.0,0.0,0.0,0.54,9
ievvpb,0.0,0.0,0.0,0.0,0.41,0.19,0.0,0.0,0.37,0.0,4
iewhbr,0.21,0.06,0.0,0.0,0.34,0.0,0.0,0.06,0.33,0.0,4
iexlgc,0.07,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.62,0.19,8
ieyd4s,0.0,0.0,0.04,0.0,0.0,0.07,0.0,0.0,0.53,0.35,8
if1sih,0.15,0.01,0.36,0.21,0.01,0.01,0.01,0.23,0.01,0.01,2
if2s67,0.0,0.35,0.0,0.33,0.16,0.0,0.04,0.0,0.11,0.0,1
if2y1m,0.0,0.06,0.12,0.0,0.0,0.24,0.0,0.39,0.0,0.18,7
if3fae,0.18,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.36,0.0,2
if45vj,0.11,0.17,0.14,0.05,0.0,0.14,0.07,0.08,0.23,0.0,8
if4c9d,0.26,0.17,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,3
if4fgd,0.0,0.0,0.11,0.0,0.0,0.75,0.12,0.0,0.0,0.0,5
if4v4z,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.04,0.0,0.2,5
if6yhd,0.13,0.24,0.0,0.0,0.06,0.0,0.0,0.0,0.23,0.33,9
if71wy,0.14,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
if74cz,0.27,0.01,0.01,0.49,0.01,0.01,0.19,0.01,0.01,0.01,3
if7k1x,0.0,0.0,0.0,0.0,0.28,0.69,0.0,0.0,0.0,0.0,5
if8h38,0.66,0.0,0.0,0.0,0.2,0.12,0.0,0.0,0.0,0.0,0
ifahxd,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.13,0.47,0.0,8
ifb85i,0.01,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.29,4
ifbuwv,0.0,0.49,0.0,0.0,0.0,0.33,0.0,0.0,0.07,0.11,1
ifcb5a,0.0,0.0,0.1,0.0,0.0,0.79,0.0,0.0,0.0,0.1,5
iff395,0.21,0.0,0.0,0.53,0.0,0.12,0.12,0.0,0.0,0.0,3
iff4fr,0.03,0.03,0.03,0.5,0.03,0.3,0.03,0.03,0.03,0.03,3
ifgllh,0.0,0.24,0.0,0.0,0.13,0.6,0.0,0.0,0.0,0.0,5
ifgltu,0.0,0.0,0.29,0.03,0.07,0.0,0.0,0.34,0.26,0.0,7
ifgwk0,0.0,0.0,0.07,0.39,0.0,0.0,0.0,0.18,0.05,0.31,3
ifhoez,0.25,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.31,5
ifjlvg,0.0,0.0,0.03,0.0,0.19,0.17,0.0,0.0,0.19,0.42,9
ifk7h7,0.0,0.48,0.0,0.0,0.0,0.04,0.1,0.0,0.28,0.09,1
ifkqcx,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.27,0.23,0.0,1
ifmolj,0.0,0.0,0.28,0.05,0.38,0.0,0.22,0.0,0.06,0.0,4
ifn1ee,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.17,0.56,0.03,8
ifnwg7,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.07,8
ifnzx1,0.02,0.02,0.02,0.63,0.24,0.02,0.02,0.02,0.02,0.02,3
ifo6n1,0.11,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.27,4
ifq1c6,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.2,0.43,0.01,8
ifq8nu,0.0,0.12,0.0,0.09,0.04,0.0,0.0,0.73,0.0,0.0,7
ifqc2s,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.08,0.0,7
ifqdr8,0.12,0.32,0.0,0.18,0.0,0.0,0.28,0.0,0.08,0.0,1
ifqlzw,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.45,0.01,5
ifr6zv,0.01,0.01,0.01,0.34,0.01,0.01,0.01,0.01,0.01,0.61,9
ifrlns,0.08,0.21,0.21,0.03,0.0,0.06,0.0,0.08,0.32,0.0,8
ifryp6,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.42,0.0,0.38,7
ift46e,0.18,0.0,0.29,0.0,0.0,0.52,0.0,0.0,0.0,0.0,5
ifvlro,0.0,0.02,0.0,0.0,0.27,0.0,0.16,0.12,0.11,0.32,9
ifwt1x,0.0,0.0,0.0,0.0,0.71,0.0,0.27,0.0,0.0,0.0,4
ifxmcl,0.0,0.0,0.05,0.0,0.0,0.29,0.0,0.0,0.17,0.48,9
ify0cg,0.3,0.0,0.0,0.0,0.08,0.59,0.0,0.0,0.0,0.0,5
ifyh96,0.0,0.45,0.04,0.24,0.0,0.0,0.0,0.0,0.26,0.0,1
ifyosi,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.33,0.4,9
ifz920,0.0,0.16,0.06,0.0,0.0,0.0,0.27,0.07,0.44,0.0,8
ifzqt9,0.01,0.01,0.4,0.54,0.01,0.01,0.01,0.01,0.01,0.01,3
ifztrj,0.0,0.0,0.57,0.1,0.06,0.0,0.0,0.0,0.0,0.26,2
ig0e0q,0.02,0.02,0.02,0.02,0.56,0.02,0.28,0.02,0.02,0.02,4
ig0fxs,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
ig0vj6,0.01,0.01,0.01,0.4,0.42,0.01,0.01,0.13,0.01,0.01,4
ig0yj8,0.01,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.6,9
ig2u9u,0.31,0.18,0.0,0.0,0.34,0.0,0.0,0.0,0.15,0.0,4
ig3kix,0.45,0.0,0.11,0.0,0.15,0.0,0.05,0.0,0.0,0.23,0
ig3n9u,0.01,0.01,0.01,0.47,0.33,0.01,0.01,0.17,0.01,0.01,3
ig4tcx,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.33,0.01,0.01,3
ig59xf,0.12,0.14,0.08,0.0,0.04,0.14,0.0,0.15,0.24,0.1,8
ig5mcx,0.0,0.0,0.0,0.08,0.23,0.22,0.07,0.0,0.0,0.39,9
ig6y1a,0.01,0.01,0.13,0.01,0.42,0.01,0.01,0.01,0.01,0.42,4
ig7ntc,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.09,1
ig7tzg,0.0,0.0,0.0,0.27,0.0,0.0,0.09,0.07,0.55,0.0,8
ig7we3,0.0,0.03,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.27,5
ig8mru,0.0,0.0,0.0,0.05,0.05,0.32,0.1,0.0,0.0,0.48,9
ig9tk6,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,0.18,0.01,2
ig9vjy,0.0,0.0,0.0,0.0,0.0,0.34,0.08,0.03,0.15,0.4,9
igcskt,0.11,0.0,0.0,0.0,0.08,0.62,0.0,0.0,0.0,0.18,5
igdhfc,0.0,0.0,0.0,0.0,0.37,0.0,0.31,0.29,0.0,0.0,4
igdnac,0.01,0.01,0.17,0.14,0.64,0.01,0.01,0.01,0.01,0.01,4
igehc5,0.0,0.39,0.51,0.05,0.0,0.0,0.04,0.0,0.0,0.0,2
igeun9,0.0,0.0,0.0,0.0,0.15,0.2,0.23,0.0,0.0,0.4,9
igf6kh,0.0,0.0,0.0,0.0,0.23,0.29,0.42,0.05,0.0,0.0,6
igfhcv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.17,0.06,7
iggdf3,0.22,0.01,0.01,0.11,0.01,0.01,0.64,0.01,0.01,0.01,6
iggpca,0.01,0.01,0.31,0.01,0.01,0.01,0.59,0.01,0.01,0.01,6
iggrno,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.51,0.45,0.0,7
igj12s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.62,9
igjktn,0.16,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.37,0.38,9
igjnpr,0.0,0.0,0.0,0.11,0.09,0.31,0.0,0.17,0.0,0.32,9
igkivd,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.1,0.01,0.01,5
igkwab,0.02,0.43,0.02,0.44,0.02,0.02,0.02,0.02,0.02,0.02,3
igl7hm,0.24,0.0,0.18,0.0,0.0,0.0,0.0,0.05,0.37,0.15,8
ign65c,0.0,0.13,0.07,0.0,0.0,0.74,0.0,0.0,0.04,0.0,5
ignqxx,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.84,0.0,8
igog0v,0.34,0.03,0.03,0.03,0.4,0.03,0.03,0.03,0.03,0.03,4
igpay2,0.39,0.0,0.17,0.0,0.13,0.0,0.12,0.2,0.0,0.0,0
igpvyi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.49,9
igpzpq,0.01,0.01,0.12,0.39,0.31,0.01,0.01,0.01,0.16,0.01,3
igqgta,0.0,0.0,0.0,0.43,0.08,0.18,0.0,0.0,0.0,0.3,3
igqs3o,0.0,0.04,0.09,0.0,0.0,0.24,0.0,0.0,0.56,0.07,8
igsna3,0.0,0.0,0.1,0.0,0.34,0.29,0.0,0.0,0.25,0.0,4
igsr1a,0.01,0.01,0.01,0.32,0.01,0.01,0.37,0.01,0.27,0.01,6
igxaxo,0.29,0.0,0.17,0.0,0.0,0.3,0.1,0.12,0.0,0.0,5
igzdcw,0.31,0.0,0.0,0.52,0.0,0.0,0.0,0.13,0.0,0.0,3
igzgag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.34,0.58,9
ih028m,0.0,0.07,0.3,0.24,0.0,0.09,0.0,0.28,0.0,0.0,2
ih1dqv,0.01,0.01,0.01,0.01,0.15,0.01,0.31,0.5,0.01,0.01,7
ih2rge,0.34,0.0,0.12,0.0,0.0,0.08,0.19,0.0,0.24,0.0,0
ih3i0m,0.21,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.67,9
ih49fc,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.67,0.17,8
ih4v10,0.0,0.12,0.0,0.0,0.0,0.18,0.0,0.4,0.3,0.0,7
ih5fmz,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
ih5ixs,0.0,0.0,0.0,0.38,0.26,0.28,0.06,0.0,0.0,0.0,3
ih5nv4,0.22,0.0,0.06,0.35,0.0,0.35,0.0,0.0,0.0,0.0,3
ih6x85,0.11,0.0,0.0,0.25,0.0,0.15,0.0,0.0,0.28,0.2,8
ih75j2,0.0,0.0,0.0,0.0,0.26,0.16,0.0,0.29,0.27,0.0,7
ih7x8i,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.41,0.13,8
ih8vcs,0.0,0.0,0.08,0.0,0.0,0.0,0.09,0.03,0.25,0.55,9
ih9evj,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.53,9
ih9sf6,0.17,0.0,0.0,0.0,0.16,0.16,0.0,0.09,0.0,0.42,9
ih9y52,0.01,0.01,0.01,0.38,0.37,0.01,0.01,0.01,0.01,0.18,3
ih9yiz,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.28,0.39,0.0,8
iha2ze,0.0,0.0,0.2,0.0,0.0,0.0,0.65,0.0,0.0,0.13,6
iha3oi,0.01,0.01,0.01,0.23,0.36,0.01,0.1,0.28,0.01,0.01,4
ihajma,0.0,0.13,0.0,0.35,0.0,0.0,0.0,0.37,0.13,0.0,7
ihb1qn,0.37,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0
ihb46y,0.22,0.0,0.07,0.0,0.0,0.18,0.18,0.0,0.0,0.34,9
ihbec3,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,4
ihcgpl,0.11,0.12,0.0,0.1,0.08,0.1,0.27,0.0,0.21,0.0,6
ihciu2,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
ihcled,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.2,0.0,5
ihcm4v,0.34,0.0,0.0,0.0,0.13,0.51,0.0,0.0,0.0,0.0,5
ihdha4,0.12,0.0,0.03,0.0,0.05,0.12,0.03,0.37,0.0,0.28,7
ihfmt1,0.0,0.0,0.0,0.0,0.4,0.13,0.0,0.0,0.45,0.0,8
ihfnc2,0.0,0.1,0.0,0.15,0.12,0.6,0.0,0.0,0.0,0.0,5
ihfx1e,0.0,0.09,0.0,0.0,0.0,0.79,0.0,0.0,0.08,0.04,5
ihh7ps,0.0,0.0,0.0,0.0,0.18,0.57,0.0,0.0,0.24,0.0,5
ihi4nv,0.28,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,8
ihityw,0.0,0.0,0.21,0.0,0.13,0.0,0.0,0.17,0.0,0.47,9
ihjv8a,0.0,0.45,0.05,0.12,0.0,0.15,0.0,0.22,0.0,0.0,1
ihjvdw,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,1
ihl35g,0.0,0.0,0.51,0.16,0.0,0.11,0.0,0.0,0.2,0.0,2
ihmct7,0.01,0.01,0.01,0.73,0.21,0.01,0.01,0.01,0.01,0.01,3
ihmqrm,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.32,0.01,0.01,3
ihna7z,0.44,0.0,0.0,0.0,0.26,0.13,0.05,0.0,0.0,0.11,0
iho0j5,0.0,0.0,0.0,0.33,0.0,0.0,0.64,0.0,0.0,0.0,6
ihoc21,0.27,0.0,0.04,0.12,0.06,0.27,0.24,0.0,0.0,0.0,0
ihoc73,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.0,0.0,0.72,9
ihogxe,0.0,0.02,0.0,0.0,0.03,0.8,0.0,0.0,0.14,0.0,5
ihopoc,0.0,0.0,0.0,0.0,0.19,0.38,0.0,0.0,0.17,0.24,5
ihoqnu,0.0,0.0,0.0,0.0,0.14,0.33,0.0,0.0,0.07,0.46,9
ihqgqf,0.02,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.61,0.02,8
ihqpm9,0.0,0.0,0.0,0.2,0.0,0.0,0.77,0.0,0.0,0.0,6
ihrfuv,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.58,0.35,8
ihrxym,0.12,0.0,0.0,0.0,0.3,0.2,0.11,0.0,0.25,0.0,4
ihtj2j,0.0,0.0,0.06,0.0,0.09,0.55,0.0,0.0,0.28,0.0,5
ihujrw,0.0,0.0,0.14,0.0,0.44,0.0,0.19,0.0,0.22,0.0,4
ihv0o3,0.0,0.0,0.03,0.0,0.26,0.0,0.08,0.61,0.0,0.0,7
ihv1iz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.91,9
ihv48w,0.28,0.0,0.0,0.0,0.21,0.27,0.0,0.0,0.23,0.0,0
ihv6bv,0.28,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,8
ihxqll,0.0,0.0,0.09,0.0,0.22,0.22,0.24,0.0,0.16,0.08,6
ihz2kx,0.01,0.22,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,7
ihzape,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.0,0.4,0.24,8
ihzb75,0.69,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0
ihzdui,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.18,4
ii2ehc,0.03,0.03,0.03,0.03,0.03,0.03,0.34,0.03,0.46,0.03,8
ii2gyd,0.0,0.19,0.0,0.05,0.0,0.47,0.14,0.07,0.08,0.0,5
ii2mmm,0.23,0.0,0.0,0.0,0.0,0.12,0.0,0.46,0.0,0.19,7
ii3jvr,0.0,0.0,0.03,0.0,0.0,0.95,0.0,0.0,0.0,0.0,5
ii468y,0.0,0.0,0.17,0.03,0.13,0.35,0.0,0.14,0.04,0.14,5
ii5irs,0.37,0.0,0.12,0.0,0.0,0.49,0.0,0.0,0.0,0.0,5
ii5sd1,0.01,0.01,0.24,0.01,0.27,0.01,0.01,0.45,0.01,0.01,7
ii6ool,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.64,0.33,0.0,7
ii8gop,0.0,0.05,0.0,0.1,0.0,0.0,0.64,0.2,0.0,0.0,6
ii8peo,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
ii9u3j,0.27,0.11,0.19,0.17,0.0,0.0,0.26,0.0,0.0,0.0,0
iia82g,0.0,0.0,0.11,0.0,0.0,0.13,0.0,0.03,0.29,0.44,9
iiai88,0.28,0.11,0.0,0.0,0.0,0.0,0.11,0.04,0.26,0.18,0
iibftb,0.0,0.0,0.0,0.06,0.0,0.35,0.0,0.0,0.22,0.37,9
iich88,0.09,0.0,0.01,0.0,0.07,0.36,0.3,0.02,0.0,0.14,5
iicm73,0.09,0.0,0.0,0.06,0.21,0.0,0.09,0.0,0.54,0.0,8
iidtmt,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.58,0.15,0.0,7
iie29x,0.0,0.0,0.01,0.0,0.0,0.29,0.0,0.34,0.22,0.13,7
iieps8,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.17,8
iif8md,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
iih7vx,0.0,0.13,0.0,0.24,0.21,0.0,0.0,0.0,0.4,0.0,8
iihez6,0.33,0.22,0.0,0.0,0.2,0.0,0.0,0.16,0.08,0.0,0
iihhvc,0.01,0.01,0.01,0.01,0.17,0.73,0.01,0.01,0.01,0.01,5
iihonu,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.19,0.27,0.31,9
iihti2,0.0,0.0,0.0,0.0,0.0,0.68,0.09,0.0,0.21,0.0,5
iiiey3,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.4,0.0,5
iiin40,0.0,0.0,0.0,0.0,0.0,0.76,0.14,0.0,0.0,0.07,5
iijasx,0.0,0.0,0.74,0.13,0.0,0.0,0.0,0.0,0.11,0.0,2
iijsf3,0.0,0.0,0.0,0.08,0.0,0.74,0.0,0.0,0.16,0.0,5
iiksfo,0.36,0.0,0.24,0.0,0.0,0.35,0.0,0.04,0.0,0.0,0
iil6q8,0.7,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0
iilofp,0.0,0.07,0.0,0.0,0.25,0.17,0.0,0.07,0.44,0.0,8
iim4n7,0.07,0.0,0.0,0.16,0.0,0.0,0.0,0.26,0.49,0.0,8
iimoxx,0.15,0.01,0.05,0.0,0.23,0.22,0.18,0.0,0.05,0.11,4
iiolra,0.28,0.0,0.29,0.03,0.0,0.0,0.1,0.0,0.3,0.0,8
iipfeq,0.06,0.0,0.23,0.0,0.0,0.0,0.0,0.07,0.63,0.0,8
iiry6l,0.0,0.0,0.0,0.0,0.08,0.71,0.0,0.0,0.2,0.0,5
iisyi8,0.22,0.11,0.0,0.0,0.0,0.34,0.0,0.19,0.13,0.0,5
iiu44u,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.35,5
iiuedj,0.0,0.6,0.0,0.24,0.04,0.0,0.0,0.0,0.09,0.0,1
iiumeu,0.07,0.0,0.0,0.09,0.12,0.23,0.13,0.0,0.0,0.34,9
iiuo7a,0.0,0.74,0.0,0.12,0.13,0.0,0.0,0.0,0.0,0.0,1
iivgb2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.84,9
iixfzf,0.19,0.0,0.0,0.0,0.28,0.0,0.0,0.13,0.21,0.19,4
iiym83,0.11,0.23,0.0,0.08,0.0,0.52,0.0,0.06,0.0,0.0,5
ij04uh,0.2,0.0,0.0,0.0,0.0,0.55,0.0,0.07,0.17,0.0,5
ij1f44,0.0,0.06,0.0,0.45,0.0,0.0,0.0,0.0,0.46,0.0,8
ij2l0l,0.0,0.0,0.0,0.0,0.22,0.59,0.0,0.18,0.0,0.0,5
ij2wn4,0.3,0.09,0.18,0.0,0.21,0.0,0.2,0.0,0.0,0.0,0
ij3yxv,0.15,0.0,0.0,0.0,0.29,0.0,0.55,0.0,0.0,0.0,6
ij42ry,0.01,0.15,0.01,0.01,0.17,0.62,0.01,0.01,0.01,0.01,5
ij4lr7,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.18,0.17,5
ij86vg,0.0,0.0,0.0,0.0,0.0,0.37,0.16,0.0,0.0,0.46,9
ij8an8,0.13,0.0,0.0,0.0,0.24,0.0,0.21,0.0,0.0,0.4,9
ij8mmx,0.0,0.11,0.0,0.06,0.25,0.0,0.56,0.0,0.0,0.0,6
ij9fjl,0.01,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.25,0.01,5
ij9mun,0.13,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.36,0.0,5
ijai83,0.23,0.0,0.08,0.0,0.37,0.0,0.0,0.14,0.18,0.0,4
ijb59l,0.0,0.0,0.0,0.0,0.0,0.87,0.11,0.0,0.0,0.0,5
ijbob2,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.28,0.0,5
ijbok1,0.0,0.16,0.12,0.0,0.0,0.32,0.0,0.32,0.07,0.0,5
ijebvr,0.0,0.0,0.0,0.13,0.0,0.24,0.21,0.09,0.0,0.33,9
ijej9p,0.0,0.0,0.0,0.06,0.26,0.0,0.17,0.47,0.0,0.0,7
ijh8zh,0.0,0.0,0.21,0.0,0.02,0.15,0.1,0.41,0.0,0.11,7
ijhve8,0.0,0.0,0.63,0.15,0.0,0.0,0.0,0.0,0.19,0.0,2
iji2vg,0.02,0.68,0.02,0.16,0.02,0.02,0.02,0.02,0.02,0.02,1
ijim09,0.23,0.12,0.32,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2
ijixlf,0.38,0.0,0.0,0.19,0.0,0.41,0.0,0.0,0.0,0.0,5
ijkh6k,0.23,0.0,0.14,0.0,0.0,0.48,0.03,0.11,0.0,0.0,5
ijlf82,0.09,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.32,0.42,9
ijnlcm,0.3,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.35,9
ijno0r,0.0,0.2,0.04,0.31,0.0,0.0,0.0,0.07,0.0,0.37,9
ijnojr,0.15,0.0,0.22,0.24,0.38,0.0,0.0,0.0,0.0,0.0,4
ijpcdx,0.01,0.54,0.01,0.23,0.01,0.01,0.01,0.2,0.01,0.01,1
ijq2a6,0.0,0.03,0.06,0.12,0.25,0.3,0.01,0.0,0.21,0.0,5
ike7f0,0.0,0.0,0.0,0.23,0.34,0.0,0.0,0.0,0.4,0.0,8
ikf6gd,0.0,0.0,0.0,0.0,0.24,0.11,0.46,0.18,0.0,0.0,6
ikfs9r,0.0,0.0,0.05,0.02,0.0,0.55,0.0,0.16,0.21,0.0,5
ikfukw,0.46,0.0,0.14,0.0,0.0,0.0,0.25,0.0,0.0,0.14,0
ikgtk3,0.0,0.0,0.38,0.0,0.13,0.0,0.0,0.0,0.47,0.0,8
ikhy5z,0.01,0.01,0.27,0.69,0.01,0.01,0.01,0.01,0.01,0.01,3
ikichl,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.29,0.0,4
ikitz5,0.0,0.0,0.0,0.0,0.24,0.17,0.03,0.0,0.07,0.49,9
ikjh5f,0.0,0.19,0.0,0.0,0.58,0.0,0.0,0.0,0.2,0.0,4
ikjjyt,0.0,0.05,0.0,0.15,0.1,0.37,0.02,0.0,0.16,0.15,5
ikjx9n,0.15,0.0,0.02,0.0,0.22,0.11,0.12,0.0,0.0,0.39,9
ikk9ou,0.29,0.0,0.12,0.18,0.39,0.0,0.0,0.0,0.0,0.0,4
ikmgv7,0.0,0.0,0.0,0.34,0.19,0.35,0.0,0.0,0.11,0.0,5
ikmlhz,0.46,0.0,0.0,0.0,0.19,0.0,0.22,0.12,0.0,0.0,0
ikpk5y,0.01,0.01,0.3,0.63,0.01,0.01,0.01,0.01,0.01,0.01,3
