,t0 symptom,t1 diet,t2 hair,t3 help,t4 control,t5 period,t6 insulin,t7 weight,t8 like,t9 nt,dominant_topic
t6y87,0.0,0.0,0.27,0.03,0.46,0.09,0.0,0.0,0.11,0.04,4
tas0g,0.16,0.0,0.0,0.13,0.08,0.16,0.0,0.0,0.27,0.19,8
tc3e9,0.0,0.05,0.02,0.0,0.12,0.18,0.0,0.18,0.0,0.45,9
texrf,0.18,0.01,0.11,0.0,0.08,0.0,0.0,0.17,0.42,0.03,8
tfq8s,0.0,0.0,0.0,0.0,0.11,0.26,0.0,0.0,0.0,0.6,9
thne4,0.18,0.01,0.11,0.0,0.08,0.0,0.0,0.17,0.42,0.03,8
tjgtb,0.19,0.0,0.06,0.0,0.0,0.37,0.12,0.24,0.0,0.0,5
tk9b0,0.13,0.01,0.11,0.0,0.07,0.05,0.0,0.16,0.42,0.05,8
tl9pb,0.0,0.28,0.0,0.0,0.0,0.1,0.07,0.0,0.41,0.12,8
tnxgt,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.26,7
tot51,0.04,0.16,0.0,0.06,0.0,0.0,0.46,0.03,0.25,0.0,6
tqg38,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.19,0.0,0.72,9
tr0sr,0.0,0.0,0.0,0.08,0.18,0.18,0.0,0.07,0.0,0.49,9
ttamw,0.17,0.0,0.0,0.0,0.33,0.0,0.06,0.1,0.0,0.33,4
ttq47,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.01,8
twlxc,0.0,0.0,0.0,0.0,0.12,0.42,0.17,0.0,0.28,0.0,5
tzbe5,0.0,0.0,0.04,0.0,0.0,0.23,0.38,0.19,0.0,0.15,6
tzc53,0.16,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.37,0.0,4
u2386,0.0,0.0,0.0,0.0,0.56,0.0,0.42,0.0,0.0,0.0,4
u2o8g,0.15,0.25,0.0,0.08,0.0,0.0,0.04,0.47,0.0,0.0,7
