,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
h9mfqh,0.0,0.0,0.0,0.0,0.04,0.42,0.15,0.09,0.0,0.02,0.0,0.0,0.06,0.09,0.0,0.0,0.0,0.08,0.06,0.0,5
h9nb89,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,5
h9ndjz,0.07,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.09,0.0,0.1,0.36,19
h9njym,0.0,0.14,0.0,0.0,0.37,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,4
h9o2nd,0.2,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.4,0.0,0.05,0.0,0.0,0.0,14
h9o3fi,0.03,0.0,0.0,0.0,0.0,0.47,0.0,0.1,0.0,0.0,0.0,0.17,0.07,0.12,0.0,0.0,0.0,0.0,0.0,0.02,5
h9o4w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.19,0.0,0.26,0.14,0.0,0.1,16
h9o8m0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.16,0.0,0.22,0.05,0.0,0.0,0.0,0.43,19
h9o95b,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,16
h9omru,0.0,0.0,0.04,0.0,0.0,0.0,0.19,0.11,0.0,0.04,0.0,0.0,0.0,0.29,0.0,0.0,0.04,0.12,0.0,0.16,13
h9oopj,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.07,0.13,16
h9p3s3,0.0,0.0,0.0,0.03,0.06,0.14,0.12,0.12,0.1,0.03,0.0,0.07,0.31,0.0,0.02,0.0,0.0,0.0,0.0,0.0,12
h9ptif,0.04,0.07,0.0,0.0,0.06,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.34,0.14,0.06,0.0,0.0,0.0,0.0,0.23,12
h9puoe,0.0,0.0,0.0,0.01,0.23,0.0,0.41,0.08,0.0,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.13,0.0,0.02,0.0,6
h9rb8m,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11
h9rg9y,0.03,0.0,0.0,0.06,0.0,0.0,0.19,0.0,0.26,0.05,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
h9rn2s,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.29,0.0,0.0,0.11,0.03,0.0,0.14,0.0,0.0,0.0,0.0,0.0,7
h9sb9p,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.14,14
h9sift,0.05,0.0,0.02,0.0,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.26,0.0,0.03,0.11,0.0,0.14,0.0,0.0,0.23,11
h9vb24,0.02,0.09,0.03,0.0,0.0,0.23,0.07,0.18,0.04,0.0,0.0,0.0,0.07,0.07,0.09,0.02,0.03,0.0,0.0,0.06,5
h9vt87,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.46,0.05,0.1,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.21,8
h9w71w,0.0,0.11,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,11
h9xx5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.37,0.0,0.22,0.0,0.0,0.0,0.0,0.3,12
h9y89g,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.35,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,8
h9ygil,0.0,0.0,0.03,0.0,0.0,0.1,0.0,0.16,0.31,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.04,0.0,0.0,12
ha01ne,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.22,0.0,5
ha2tcy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.14,0.08,0.0,0.12,0.0,0.0,0.18,0.0,0.0,8
ha2ty0,0.0,0.0,0.0,0.0,0.12,0.56,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.0,5
ha30jk,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.48,0.18,0.17,0.0,0.0,0.06,0.0,0.0,12
ha3ne7,0.01,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,16
ha3q2x,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.29,0.02,0.0,0.14,0.0,0.28,0.1,0.0,0.0,0.05,0.0,0.0,8
ha6lgo,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,8
ha6vd0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.03,0.17,0.02,0.0,0.06,0.0,0.3,0.0,0.02,0.15,0.0,0.0,0.09,13
ha70r7,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.81,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ha7aji,0.0,0.06,0.0,0.0,0.31,0.38,0.08,0.04,0.0,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ha7j8p,0.11,0.0,0.0,0.0,0.0,0.29,0.06,0.11,0.0,0.0,0.03,0.23,0.09,0.0,0.02,0.01,0.0,0.0,0.0,0.05,5
ha7tkl,0.0,0.0,0.0,0.03,0.36,0.3,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,4
ha8at7,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.31,11
ha8b0o,0.0,0.11,0.19,0.06,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.17,0.0,0.0,0.16,0.0,0.0,2
haabri,0.0,0.0,0.0,0.04,0.0,0.18,0.0,0.24,0.0,0.0,0.0,0.31,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
habyae,0.0,0.0,0.11,0.07,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.25,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.15,8
hacqdb,0.05,0.0,0.0,0.02,0.0,0.02,0.28,0.05,0.3,0.0,0.0,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
hae1ld,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,6
haeb7w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.26,0.0,0.08,0.0,0.1,0.11,0.0,0.0,0.28,19
hagput,0.03,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.12,0.0,0.0,0.0,0.12,0.32,19
hah3ee,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.27,0.06,0.0,0.0,0.0,0.0,12
hahee3,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.06,0.0,0.0,0.0,0.19,0.0,5
haiegj,0.0,0.22,0.06,0.0,0.07,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5
hajk7r,0.07,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.28,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,13
hajsg6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.0,0.0,0.15,0.0,0.14,0.2,0.06,0.0,0.0,0.0,0.0,8
hak4zf,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.29,0.52,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.05,0.0,8
hak9lk,0.04,0.03,0.0,0.0,0.0,0.05,0.02,0.03,0.14,0.0,0.0,0.16,0.06,0.0,0.05,0.0,0.1,0.11,0.04,0.19,19
hakeqm,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,8
hakmu5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.54,19
hal3l3,0.09,0.0,0.03,0.0,0.0,0.0,0.07,0.06,0.0,0.02,0.0,0.24,0.05,0.0,0.0,0.0,0.0,0.21,0.08,0.15,11
halui1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.34,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.0,11
hama6i,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,19
hamaxi,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,14
hamzzo,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.11,8
haokg0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.33,0.08,0.0,0.0,0.0,0.0,0.0,0.0,7
haooyu,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.54,0.0,0.0,17
haos17,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.6,19
haoxzr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,19
hap818,0.0,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.14,12
haqszd,0.0,0.0,0.0,0.0,0.03,0.22,0.0,0.07,0.29,0.05,0.0,0.0,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0.0,8
harf68,0.0,0.0,0.0,0.08,0.0,0.03,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.0,0.21,8
harklq,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
hasyzu,0.0,0.0,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,15
hat2yv,0.07,0.0,0.05,0.01,0.01,0.0,0.02,0.03,0.28,0.0,0.02,0.17,0.0,0.01,0.17,0.0,0.04,0.0,0.0,0.12,8
hatc9a,0.04,0.0,0.1,0.0,0.0,0.0,0.09,0.0,0.19,0.0,0.07,0.0,0.15,0.08,0.06,0.0,0.0,0.15,0.0,0.05,8
haunvd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.45,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.21,0.0,0.0,8
hauoav,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8
hauu3z,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.2,0.48,0.0,0.0,0.18,16
havz8j,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.0,0.0,0.0,0.17,0.0,0.03,0.0,0.0,0.0,0.13,0.0,0.17,6
haw684,0.02,0.0,0.0,0.07,0.0,0.0,0.06,0.02,0.23,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.14,0.0,0.07,0.09,8
haxzz9,0.14,0.0,0.04,0.06,0.11,0.22,0.0,0.06,0.19,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.0,5
haykzz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.01,16
haz156,0.0,0.0,0.16,0.0,0.19,0.0,0.0,0.0,0.29,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.13,8
hazu76,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.27,0.0,0.0,0.0,0.33,0.26,0.05,0.0,0.0,0.0,0.0,0.0,0.0,11
hb0sdh,0.02,0.0,0.0,0.0,0.06,0.12,0.03,0.02,0.12,0.0,0.02,0.37,0.07,0.07,0.0,0.01,0.0,0.06,0.02,0.0,11
hb12kp,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,16
hb2xtt,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.27,14
hb4rr3,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
hb5f5d,0.0,0.0,0.0,0.0,0.12,0.28,0.18,0.05,0.0,0.0,0.11,0.05,0.0,0.0,0.0,0.0,0.16,0.03,0.0,0.0,5
hb5zed,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.24,0.0,0.0,0.0,14
hb69rf,0.05,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.0,0.3,0.0,0.0,0.23,16
hb6scr,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.0,0.0,0.0,0.0,0.22,0.05,0.16,0.0,0.0,0.11,0.0,0.17,12
hb6ulk,0.0,0.0,0.08,0.0,0.04,0.14,0.0,0.0,0.1,0.0,0.04,0.3,0.0,0.0,0.17,0.0,0.0,0.13,0.0,0.0,11
hb6y6u,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.05,0.0,0.02,0.1,0.34,0.0,0.0,0.0,0.0,0.22,0.04,0.09,0.0,11
hb81eh,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.08,0.24,19
hb8jyo,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.1,0.04,0.14,0.32,0.0,0.05,0.2,0.02,0.0,0.0,0.0,0.0,11
hb8osy,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,5
hb8xrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,10
hb9vas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.51,0.0,0.0,0.0,16
hbbtit,0.09,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.16,0.0,0.0,0.06,0.06,0.03,0.1,0.0,0.08,0.0,0.0,0.23,19
hbdkxs,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,16
hbdlvd,0.0,0.0,0.0,0.03,0.0,0.07,0.25,0.0,0.0,0.0,0.18,0.28,0.0,0.12,0.0,0.0,0.04,0.03,0.0,0.0,11
hbf8ow,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.5,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
hbgopm,0.0,0.02,0.0,0.0,0.0,0.0,0.28,0.02,0.0,0.0,0.1,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,11
hbgtp5,0.01,0.0,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.01,0.0,0.36,0.0,0.1,0.0,0.0,0.37,0.0,0.0,0.0,16
hbhj74,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,16
hbhm55,0.04,0.0,0.07,0.0,0.23,0.36,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.0,5
hbhmr8,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.01,0.22,0.0,0.0,0.04,0.0,0.05,0.02,0.03,0.1,0.1,10
hbi0dy,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.0,0.29,0.17,0.0,0.0,0.14,0.0,0.15,13
hbjouh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.57,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.16,0.0,0.0,8
hbjt4n,0.12,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.06,0.0,0.0,0.0,0.05,0.07,0.1,11
hbk1ce,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,6
hbkk6h,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.21,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,11
hbmosq,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.14,17
hbob7i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.47,0.0,0.48,0.0,0.0,0.0,16
hbp0q7,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.49,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
hbqrye,0.05,0.0,0.02,0.0,0.0,0.0,0.05,0.02,0.05,0.0,0.0,0.25,0.02,0.13,0.12,0.04,0.16,0.0,0.02,0.08,11
hbqsic,0.0,0.0,0.0,0.06,0.0,0.28,0.0,0.11,0.22,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5
hbrpyy,0.0,0.0,0.12,0.0,0.04,0.0,0.06,0.08,0.0,0.0,0.05,0.2,0.0,0.17,0.06,0.0,0.05,0.0,0.06,0.1,11
hbursv,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.01,16
hbus6g,0.08,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,5
hbve10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.53,0.0,0.0,0.1,0.0,0.0,0.11,13
hbw49v,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.34,0.07,0.0,0.0,11
hbwoxj,0.0,0.0,0.02,0.0,0.0,0.09,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.37,0.0,0.0,0.25,0.0,0.09,0.07,13
hbx5fg,0.01,0.0,0.0,0.0,0.0,0.04,0.04,0.03,0.0,0.0,0.0,0.57,0.0,0.07,0.08,0.0,0.04,0.0,0.03,0.09,11
hbylcf,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
hbzalg,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.11,0.0,0.08,0.0,0.0,0.49,0.0,0.0,0.0,0.16,0.0,0.0,0.0,12
hc0dzh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.53,0.0,0.14,0.0,16
hc3u57,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.03,0.0,0.05,0.05,0.24,0.0,0.0,0.08,0.12,0.0,8
hc40u5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.53,19
hc4adx,0.0,0.0,0.0,0.0,0.38,0.17,0.0,0.0,0.35,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
hc4qwf,0.16,0.07,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.13,0.0,0.23,0.02,0.21,17
hc56w7,0.02,0.03,0.0,0.01,0.0,0.03,0.24,0.05,0.0,0.0,0.02,0.17,0.11,0.0,0.05,0.0,0.26,0.0,0.0,0.02,16
hc5v52,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.29,0.13,0.0,0.0,14
hc6co0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,14
hc6gjs,0.0,0.06,0.14,0.0,0.0,0.1,0.39,0.13,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.13,0.0,0.0,6
hc7fqc,0.0,0.0,0.0,0.05,0.0,0.0,0.55,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.0,0.04,0.1,0.0,0.09,0.0,6
hc7s7c,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,19
hc84ix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.0,0.0,0.58,0.03,0.0,0.0,0.0,0.2,14
hc8vft,0.0,0.0,0.15,0.0,0.0,0.17,0.0,0.06,0.2,0.0,0.02,0.0,0.0,0.07,0.12,0.0,0.0,0.16,0.05,0.0,8
hc8w9j,0.0,0.0,0.05,0.06,0.0,0.14,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.26,0.11,0.0,0.3,0.0,0.0,0.0,16
hca6it,0.06,0.05,0.0,0.05,0.0,0.54,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,5
hcam0a,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.38,11
hcb51x,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
hcb8o1,0.42,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0
hcbi0o,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.06,0.0,0.0,0.1,0.29,0.0,0.12,0.14,0.0,0.0,14
hcc8fu,0.0,0.0,0.0,0.0,0.06,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
hccn8f,0.06,0.0,0.06,0.0,0.0,0.13,0.11,0.07,0.16,0.0,0.0,0.0,0.03,0.07,0.11,0.0,0.11,0.0,0.0,0.1,8
hcdmz0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.03,0.16,0.0,0.0,0.44,0.01,0.0,0.16,0.0,0.0,0.0,0.11,0.0,11
hcdxva,0.0,0.36,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1
hcfyvn,0.0,0.0,0.06,0.0,0.04,0.18,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.4,0.0,0.11,0.0,0.0,0.15,14
hcmo6a,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,7
hcmyw4,0.01,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,6
hcn2at,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.14,0.0,0.0,0.0,0.19,0.28,0.13,0.0,0.0,0.0,0.0,0.0,0.0,12
hcpbhg,0.06,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.04,0.0,14
hcpbok,0.0,0.0,0.0,0.0,0.07,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.09,0.26,0.0,0.0,0.0,6
hcpems,0.0,0.0,0.0,0.0,0.0,0.46,0.09,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,5
hcqkov,0.06,0.0,0.0,0.0,0.02,0.13,0.08,0.06,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.09,0.14,0.0,0.06,11
hcqx7s,0.07,0.14,0.0,0.0,0.0,0.0,0.18,0.0,0.32,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.1,8
hcr7fj,0.24,0.0,0.12,0.13,0.02,0.06,0.07,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.17,0.0,0
hcrep2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.3,0.0,0.0,0.0,14
hcts6u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.48,0.0,0.0,16
