,t0 health,t1 supplement,t2 advice,t3 thanks,t4 period,t5 period,t6 level,t7 weight,t8 like,t9 sex,t10 cyst,t11 doctor,t12 diet,t13 control,t14 feel,t15 amp,t16 hair,t17 metformin,t18 nt,t19 symptom,dominant_topic
58k7y7,0.0,0.0,0.0,0.0,0.0,0.21,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.08,0.0,6
58kd9c,0.04,0.0,0.0,0.0,0.02,0.21,0.06,0.09,0.06,0.01,0.05,0.15,0.07,0.15,0.0,0.0,0.0,0.0,0.0,0.09,5
58lck5,0.0,0.0,0.06,0.0,0.04,0.07,0.07,0.12,0.22,0.0,0.04,0.1,0.0,0.21,0.0,0.0,0.02,0.05,0.0,0.0,8
58lpfr,0.0,0.0,0.0,0.02,0.01,0.12,0.18,0.0,0.0,0.0,0.04,0.25,0.05,0.16,0.0,0.0,0.0,0.02,0.0,0.15,11
58lytz,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.13,0.0,0.0,0.32,0.0,0.0,0.0,11
58ndh0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.19,0.0,0.0,5
58nj6m,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.54,0.02,0.0,0.0,0.0,0.02,0.14,0.0,0.0,0.16,0.0,0.0,8
58nvx7,0.03,0.01,0.0,0.0,0.01,0.29,0.07,0.11,0.03,0.0,0.0,0.17,0.0,0.11,0.06,0.0,0.11,0.0,0.0,0.0,5
58puap,0.0,0.0,0.13,0.04,0.0,0.11,0.0,0.18,0.0,0.0,0.03,0.19,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.11,13
58q3wg,0.0,0.03,0.0,0.0,0.0,0.47,0.04,0.0,0.22,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.08,0.04,5
58qtbm,0.0,0.0,0.0,0.0,0.0,0.31,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.09,0.05,0.03,13
58rutu,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.14,0.21,16
58rygf,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.0,0.0,8
58scf3,0.0,0.04,0.0,0.0,0.0,0.17,0.0,0.0,0.34,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.16,8
58tl5r,0.01,0.01,0.01,0.01,0.86,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
58v6ki,0.0,0.0,0.0,0.05,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.21,0.0,0.0,0.0,0.0,0.49,0.0,18
58vjnd,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.47,0.09,0.01,17
58x7ml,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.22,0.3,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.18,8
58ycoy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.65,0.01,0.25,0.01,16
58yfur,0.0,0.0,0.0,0.0,0.1,0.0,0.16,0.0,0.19,0.05,0.0,0.0,0.0,0.13,0.22,0.0,0.0,0.0,0.13,0.0,14
591yrf,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.36,0.0,0.0,0.14,0.0,0.36,0.0,0.0,0.0,11
5921ib,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.0,0.0,0.0,0.05,0.0,0.0,0.42,0.06,0.07,0.0,0.19,0.02,14
592f98,0.04,0.0,0.09,0.0,0.0,0.09,0.02,0.25,0.0,0.0,0.0,0.0,0.32,0.07,0.0,0.0,0.0,0.12,0.0,0.0,12
592xrj,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
596tul,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.67,0.02,0.03,0.0,0.0,0.04,0.0,0.0,0.0,11
597edq,0.04,0.0,0.09,0.0,0.0,0.09,0.02,0.25,0.0,0.0,0.0,0.0,0.32,0.07,0.0,0.0,0.0,0.12,0.0,0.0,12
598i9k,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.38,0.0,0.0,0.08,0.0,0.0,0.05,0.0,0.0,11
598nkw,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.33,0.0,0.0,0.11,0.07,0.24,0.0,0.03,0.0,0.0,0.0,0.07,8
59962d,0.12,0.0,0.0,0.0,0.0,0.06,0.0,0.05,0.28,0.01,0.0,0.21,0.0,0.04,0.12,0.0,0.05,0.0,0.06,0.0,8
