,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
dxp6k8,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.14,0
dxql90,0.0,0.36,0.0,0.14,0.36,0.0,0.0,0.07,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1
dxr45a,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.12,0.0,0.0,9
dxri3v,0.0,0.06,0.0,0.0,0.0,0.33,0.0,0.12,0.0,0.11,0.0,0.09,0.07,0.13,0.07,5
dxtpby,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.57,0.01,13
dxu5ae,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,14
dxuzrj,0.04,0.06,0.0,0.05,0.0,0.17,0.0,0.11,0.0,0.13,0.0,0.0,0.04,0.15,0.25,14
dxzuog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.59,0.0,0.0,0.05,0.0,0.0,0.18,8
dy1qml,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.12,0.01,0.01,0.01,0.54,14
dy3640,0.0,0.0,0.0,0.14,0.0,0.0,0.5,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,6
dy3zvg,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.12,0.13,0.12,0.0,0.0,0.0,0.57,0.0,13
dy4iuo,0.17,0.13,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.15,0.28,0.0,0.0,0.0,0.0,10
dy4wwb,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1
dy57xk,0.0,0.2,0.03,0.04,0.0,0.43,0.03,0.06,0.02,0.0,0.13,0.06,0.0,0.0,0.0,5
dy5zko,0.0,0.26,0.0,0.05,0.0,0.0,0.08,0.17,0.0,0.04,0.3,0.0,0.02,0.0,0.07,10
dy7syp,0.06,0.53,0.18,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.1,1
dy88dg,0.0,0.08,0.0,0.06,0.02,0.51,0.0,0.11,0.0,0.0,0.0,0.03,0.12,0.0,0.08,5
dy8c1a,0.0,0.39,0.0,0.0,0.09,0.17,0.0,0.16,0.0,0.1,0.0,0.0,0.08,0.0,0.0,1
dya7f7,0.04,0.0,0.0,0.0,0.0,0.19,0.14,0.0,0.43,0.0,0.2,0.0,0.0,0.0,0.0,8
dyb588,0.0,0.25,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.36,0.0,13
dybhqs,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.59,0.0,0.0,0.18,0.0,10
dycajz,0.0,0.29,0.0,0.03,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.1,5
dyclfz,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.18,0.37,0.04,0.0,0.05,0.19,10
dycpgo,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.41,14
dyevst,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.32,0.16,0.0,0.0,0.29,10
dyg3r5,0.0,0.11,0.0,0.0,0.09,0.2,0.02,0.25,0.06,0.03,0.05,0.01,0.18,0.0,0.0,7
dygjs8,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.05,0.0,0.2,0.15,10
dygyps,0.0,0.18,0.04,0.0,0.09,0.32,0.0,0.17,0.0,0.03,0.16,0.0,0.0,0.0,0.0,5
dyi8dy,0.15,0.0,0.47,0.0,0.0,0.0,0.0,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0,2
dyilve,0.0,0.15,0.0,0.0,0.12,0.18,0.0,0.0,0.05,0.36,0.13,0.0,0.0,0.0,0.0,9
dyiokd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.18,0.12,0.0,0.24,10
dyjfkr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.57,14
dykgjo,0.0,0.16,0.07,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.09,0.26,14
dylawo,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7,0.01,13
dylsfa,0.46,0.29,0.0,0.0,0.0,0.0,0.06,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
dylwok,0.01,0.01,0.01,0.01,0.67,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.25,4
dym5su,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.15,0.0,0.0,0.0,0.0,0.1,0.39,14
dymcd2,0.0,0.17,0.0,0.0,0.0,0.18,0.0,0.24,0.0,0.0,0.0,0.0,0.19,0.0,0.21,7
dymhlt,0.0,0.36,0.0,0.0,0.01,0.0,0.24,0.03,0.0,0.24,0.0,0.0,0.0,0.0,0.11,1
dyn9xh,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.53,14
dynbym,0.0,0.19,0.05,0.0,0.13,0.32,0.04,0.06,0.0,0.13,0.0,0.0,0.0,0.0,0.07,5
dynd97,0.0,0.51,0.02,0.0,0.33,0.0,0.0,0.06,0.05,0.02,0.0,0.0,0.0,0.0,0.0,1
dynlh0,0.0,0.62,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
dypmb9,0.0,0.35,0.04,0.0,0.0,0.11,0.0,0.23,0.0,0.03,0.08,0.17,0.0,0.0,0.0,1
dypurw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.19,0.0,0.38,0.0,0.0,0.18,11
dyr1jg,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,14
dyr4ij,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.25,0.0,0.0,0.18,0.39,0.0,0.0,0.0,11
dysk1y,0.1,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.12,0.38,0.2,0.0,0.0,0.0,0.0,9
dysqd0,0.0,0.2,0.21,0.15,0.04,0.23,0.0,0.11,0.0,0.06,0.0,0.0,0.0,0.0,0.0,5
dytl3d,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1
dyvgwc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.2,0.0,0.0,0.4,0.11,13
dyvkbc,0.1,0.41,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
dyw6hx,0.06,0.11,0.0,0.0,0.18,0.14,0.08,0.08,0.0,0.0,0.26,0.03,0.0,0.06,0.0,10
dyxbac,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.3,0.0,0.18,0.0,0.0,0.0,0.0,0.0,3
dyxf6m,0.0,0.0,0.0,0.1,0.52,0.09,0.0,0.17,0.0,0.0,0.0,0.0,0.04,0.0,0.07,4
dyxolp,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.24,0.03,0.51,0.04,0.0,0.11,0.0,10
dz1knp,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,4
dz1mxk,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.19,4
dz2m19,0.0,0.0,0.11,0.0,0.0,0.23,0.0,0.35,0.0,0.0,0.0,0.0,0.18,0.12,0.0,7
dz3ur0,0.0,0.12,0.0,0.0,0.0,0.2,0.13,0.0,0.0,0.09,0.02,0.0,0.1,0.15,0.19,5
dz70vd,0.0,0.0,0.0,0.03,0.0,0.29,0.0,0.34,0.31,0.0,0.0,0.0,0.0,0.0,0.0,7
dz7q7b,0.0,0.28,0.0,0.13,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,4
dza0w0,0.0,0.0,0.0,0.07,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.14,0.16,5
dza149,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.09,0.4,0.0,13
dzauab,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.22,0.0,0.32,0.0,0.0,0.0,0.0,0.0,5
dzaum5,0.02,0.18,0.0,0.0,0.0,0.31,0.0,0.0,0.15,0.04,0.2,0.0,0.06,0.02,0.0,5
dzbgf7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.15,0.4,0.0,7
dzbwmz,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
dzegp3,0.0,0.36,0.17,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,8
dzeq4c,0.0,0.08,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.31,6
dzez4j,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.36,0.19,0.0,0.0,0.28,0.0,0.0,0.0,7
dzfeco,0.0,0.19,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.25,6
dzfmzt,0.0,0.0,0.0,0.0,0.08,0.0,0.11,0.06,0.21,0.0,0.3,0.0,0.03,0.21,0.0,10
dzg8cj,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.2,0.25,0.01,0.01,0.01,0.01,0.34,14
dzgdof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.75,0.1,0.0,0.06,0.0,0.0,0.0,8
dzh0bo,0.0,0.0,0.0,0.06,0.05,0.24,0.0,0.55,0.0,0.01,0.0,0.0,0.0,0.0,0.07,7
dzjrwb,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,14
dzmo48,0.0,0.23,0.04,0.0,0.05,0.23,0.0,0.0,0.0,0.23,0.07,0.07,0.0,0.0,0.08,1
dzmwse,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.14,0.12,3
dznhae,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
dzpvlr,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.13,0.0,0.0,0.0,0.07,0.39,0.0,0.0,12
dzqrxa,0.0,0.05,0.58,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.08,0.0,0.0,0.0,0.0,2
dzqz3s,0.0,0.25,0.0,0.08,0.0,0.09,0.0,0.15,0.0,0.0,0.0,0.0,0.37,0.06,0.0,12
dzrby0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.43,0.24,0.13,12
dzt8pw,0.09,0.44,0.0,0.0,0.0,0.0,0.12,0.12,0.15,0.07,0.0,0.0,0.0,0.0,0.0,1
dzwbwb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.64,14
dzx5g4,0.0,0.27,0.04,0.0,0.05,0.1,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.02,0.37,14
dzy9qk,0.18,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.15,0.0,0.22,3
dzyedf,0.0,0.0,0.0,0.07,0.0,0.23,0.0,0.0,0.12,0.29,0.0,0.0,0.09,0.19,0.0,9
dzyghm,0.04,0.0,0.0,0.18,0.0,0.21,0.0,0.0,0.32,0.02,0.0,0.0,0.0,0.0,0.22,8
dzz155,0.0,0.23,0.18,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.35,0.0,0.0,0.0,0.0,10
e01nej,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.29,0.0,0.0,0.0,0.0,0.0,0.49,0.0,13
e02agc,0.0,0.1,0.0,0.18,0.36,0.0,0.04,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,4
e03c54,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1
e03cwq,0.04,0.22,0.0,0.31,0.0,0.06,0.0,0.0,0.0,0.08,0.05,0.0,0.08,0.0,0.14,3
e03ict,0.07,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1
e03wmg,0.01,0.01,0.27,0.01,0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
e03xpx,0.0,0.35,0.0,0.0,0.0,0.21,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,8
e056iv,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.18,0.28,0.0,0.0,0.0,0.0,0.08,0.0,2
e05rqc,0.0,0.08,0.0,0.0,0.0,0.33,0.0,0.16,0.0,0.18,0.0,0.0,0.09,0.0,0.15,5
e05swh,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,14
e08kw8,0.0,0.31,0.09,0.04,0.0,0.15,0.12,0.0,0.09,0.06,0.07,0.02,0.03,0.02,0.0,1
e08vj1,0.18,0.0,0.0,0.0,0.0,0.0,0.16,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.43,14
e0b9hg,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.15,7
e0bszo,0.0,0.22,0.0,0.11,0.29,0.11,0.02,0.15,0.0,0.0,0.05,0.05,0.0,0.0,0.0,4
e0bw4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.53,14
e0bwt4,0.0,0.0,0.0,0.0,0.0,0.26,0.27,0.0,0.29,0.03,0.07,0.07,0.0,0.0,0.0,8
e0db8x,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.43,0.0,0.36,0.0,0.0,0.0,0.0,8
e0dbh9,0.0,0.0,0.0,0.0,0.0,0.39,0.12,0.0,0.27,0.0,0.11,0.0,0.0,0.09,0.0,5
e0edvi,0.0,0.0,0.0,0.13,0.1,0.37,0.14,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.19,5
e0eu41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.34,0.0,0.37,0.0,0.0,0.0,0.12,10
e0eujr,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.27,0.11,0.0,0.2,0.07,0.0,0.05,0.0,2
e0j4mu,0.0,0.07,0.0,0.03,0.0,0.15,0.0,0.4,0.0,0.08,0.03,0.08,0.16,0.0,0.0,7
e0kff3,0.0,0.45,0.06,0.0,0.0,0.0,0.0,0.33,0.04,0.0,0.03,0.07,0.0,0.01,0.0,1
e0l5jm,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.26,0.0,0.32,0.22,0.0,0.15,0.0,10
e0l6fr,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,4
e0m8om,0.0,0.31,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.16,6
e0n0ss,0.0,0.0,0.0,0.24,0.0,0.0,0.39,0.12,0.0,0.04,0.19,0.0,0.0,0.0,0.0,6
e0n2zg,0.0,0.08,0.35,0.02,0.0,0.0,0.0,0.11,0.11,0.0,0.15,0.0,0.02,0.0,0.16,2
e0nshw,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
e0onrb,0.0,0.07,0.0,0.0,0.0,0.0,0.46,0.12,0.0,0.0,0.15,0.0,0.0,0.2,0.0,6
e0pm4c,0.09,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.25,0.46,0.0,13
e0q752,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.06,0.06,0.0,0.3,0.07,0.0,0.11,5
e0quvh,0.05,0.54,0.33,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e0t48w,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.1,0.43,0.0,0.0,0.0,0.19,10
e0uv7u,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.43,0.0,0.07,0.0,0.0,0.0,0.0,8
e0vqfr,0.0,0.0,0.07,0.0,0.05,0.55,0.0,0.0,0.13,0.04,0.09,0.0,0.05,0.0,0.0,5
e0y612,0.13,0.0,0.0,0.0,0.0,0.09,0.6,0.0,0.07,0.1,0.0,0.0,0.0,0.0,0.0,6
e0ykax,0.0,0.36,0.0,0.0,0.26,0.0,0.0,0.07,0.27,0.0,0.0,0.0,0.0,0.0,0.0,1
e0z8sv,0.0,0.61,0.0,0.08,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,1
e10487,0.0,0.54,0.0,0.0,0.0,0.17,0.0,0.09,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1
e11gfw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.33,7
e13rqo,0.0,0.0,0.17,0.11,0.07,0.1,0.0,0.29,0.0,0.03,0.13,0.05,0.04,0.0,0.0,7
e148pt,0.31,0.0,0.0,0.0,0.0,0.0,0.05,0.17,0.44,0.0,0.0,0.0,0.0,0.0,0.0,8
e153j1,0.0,0.17,0.2,0.0,0.0,0.11,0.0,0.0,0.0,0.26,0.0,0.03,0.0,0.0,0.22,9
e168ey,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.63,0.01,0.01,0.01,11
e16937,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.47,0.0,0.23,0.13,0.0,0.0,0.11,0.0,7
e169ov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.33,0.0,0.0,0.07,0.13,0.0,0.0,7
e16fcs,0.0,0.37,0.23,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.06,0.09,0.0,0.0,0.0,1
e16if3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.04,0.0,0.58,14
e16m08,0.24,0.1,0.06,0.0,0.0,0.0,0.39,0.07,0.0,0.0,0.0,0.0,0.0,0.13,0.0,6
e17bzg,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.19,5
e182w9,0.04,0.0,0.06,0.0,0.19,0.0,0.12,0.34,0.0,0.07,0.17,0.0,0.0,0.0,0.0,7
e18d0u,0.0,0.45,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.21,0.0,0.0,0.0,0.0,1
e18dz3,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,14
e18zxy,0.0,0.19,0.11,0.0,0.06,0.0,0.1,0.06,0.34,0.02,0.0,0.0,0.13,0.0,0.0,8
e1cdpw,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.0,0.17,0.0,2
e1dcrd,0.02,0.06,0.08,0.0,0.0,0.04,0.0,0.12,0.35,0.03,0.16,0.02,0.06,0.05,0.0,8
e1e165,0.0,0.0,0.0,0.14,0.0,0.37,0.0,0.0,0.0,0.09,0.0,0.0,0.37,0.0,0.0,5
e1fiv1,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.55,0.01,0.01,0.01,0.01,0.01,0.01,8
e1gtxa,0.0,0.21,0.24,0.0,0.0,0.18,0.0,0.16,0.05,0.0,0.0,0.03,0.12,0.0,0.0,2
e1gya3,0.0,0.0,0.12,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.07,0.05,10
e1hgok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.07,0.43,10
e1hzxk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.69,0.0,0.0,0.0,0.0,10
e1i5jn,0.0,0.0,0.04,0.0,0.59,0.0,0.0,0.24,0.12,0.0,0.0,0.0,0.0,0.0,0.0,4
e1jre2,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
e1jslj,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.06,0.16,0.0,10
e1jwzv,0.0,0.07,0.0,0.2,0.45,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,4
e1k5ix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.21,0.0,0.39,0.0,0.0,0.0,0.0,10
e1kjv8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8
e1kll6,0.02,0.35,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.36,14
e1kuo6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.0,0.18,0.32,0.0,0.0,0.24,11
e1l6h8,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.39,14
e1m0zs,0.03,0.29,0.0,0.0,0.0,0.04,0.38,0.13,0.0,0.08,0.04,0.0,0.0,0.0,0.0,6
e1nuge,0.0,0.34,0.0,0.0,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.11,0.12,1
e1oyuv,0.17,0.25,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
e1peu7,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.15,0.0,0.0,0.0,0.0,7
e1ph3r,0.0,0.32,0.0,0.2,0.17,0.0,0.09,0.13,0.0,0.03,0.06,0.0,0.0,0.0,0.0,1
e1q3l8,0.0,0.0,0.0,0.0,0.0,0.49,0.04,0.0,0.0,0.32,0.14,0.0,0.0,0.0,0.0,5
e1q9s1,0.02,0.19,0.32,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.04,0.0,0.0,0.0,7
e1rzvl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.58,0.07,0.0,0.16,11
e1ss8j,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.66,14
e1svax,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,6
e1ytjt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.26,0.28,0.0,0.0,0.0,7
e1yz74,0.13,0.0,0.23,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.26,0.18,0.0,0.0,0.0,10
e1z2hj,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.8,0.13,13
e1zbvt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.47,0.0,9
e1zv1a,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.55,0.17,0.05,0.12,0.0,0.0,0.0,0.0,7
e202sd,0.01,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.01,3
e203iw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.36,0.21,0.0,0.0,0.0,0.12,9
e20z8i,0.0,0.0,0.18,0.0,0.06,0.39,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.17,5
e21xxi,0.0,0.0,0.0,0.13,0.0,0.56,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,5
e22u1s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.47,0.0,0.0,0.0,0.03,0.0,0.23,8
e25pyp,0.0,0.44,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.18,0.0,0.0,1
e275yk,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.16,5
e29kwb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.12,0.3,0.0,0.28,12
e29ky4,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,4
e29n6m,0.1,0.0,0.0,0.0,0.12,0.0,0.02,0.24,0.28,0.0,0.2,0.0,0.0,0.04,0.0,8
e29ryg,0.0,0.0,0.0,0.0,0.0,0.5,0.09,0.23,0.0,0.0,0.05,0.0,0.05,0.08,0.0,5
e29yuh,0.0,0.48,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1
e2ahdw,0.0,0.0,0.04,0.0,0.0,0.24,0.02,0.23,0.17,0.1,0.0,0.05,0.12,0.03,0.0,5
e2aq4g,0.0,0.52,0.0,0.12,0.0,0.13,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0,0.09,1
e2babt,0.04,0.0,0.0,0.0,0.0,0.24,0.26,0.0,0.04,0.08,0.0,0.0,0.26,0.04,0.04,6
e2br4u,0.39,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.09,0.17,0.0,0
e2c1wh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.11,0.08,0.0,0.0,0.0,0.04,0.09,7
e2d2zj,0.36,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.11,0.0,0.35,0.0,0.0,0.0,0.09,0
e2f7dq,0.0,0.47,0.0,0.02,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.32,0.0,0.0,0.0,1
e2fudc,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.23,0.38,14
e2fz1u,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.49,14
e2havc,0.0,0.24,0.0,0.0,0.0,0.07,0.0,0.06,0.17,0.0,0.45,0.0,0.0,0.0,0.0,10
e2hclu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.43,10
e2jnee,0.03,0.0,0.0,0.0,0.06,0.26,0.0,0.0,0.27,0.0,0.3,0.0,0.0,0.0,0.08,10
e2k8bb,0.0,0.75,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.0,1
