,t0 taking,t1 feel,t2 pain,t3 hair,t4 hair,t5 doctor,t6 diet,t7 doctor,t8 day,t9 weight,t10 control,t11 pregnant,t12 level,t13 metformin,t14 help,dominant_topic
6dvqqm,0.0,0.17,0.07,0.0,0.28,0.0,0.0,0.11,0.08,0.0,0.0,0.0,0.0,0.0,0.27,4
6dvy5v,0.0,0.72,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,1
6dzr2s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.46,0.0,0.0,0.18,11
6e3fpd,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.24,0.2,0.0,0.0,0.18,0.08,0.0,0.0,1
6e5ami,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,14
6e6jjt,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.04,0.56,0.07,0.0,0.03,0.0,0.0,0.0,8
6e90zb,0.0,0.0,0.26,0.0,0.0,0.15,0.1,0.18,0.02,0.0,0.02,0.1,0.09,0.0,0.07,2
6eabd6,0.0,0.0,0.37,0.0,0.0,0.34,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2
6ec4hw,0.0,0.31,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,11
6ekp42,0.26,0.13,0.0,0.0,0.0,0.0,0.18,0.3,0.0,0.12,0.0,0.0,0.0,0.0,0.0,7
6elucp,0.0,0.16,0.0,0.0,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.57,14
6emc3j,0.09,0.0,0.32,0.18,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,8
6emzhz,0.0,0.17,0.25,0.0,0.0,0.21,0.0,0.27,0.0,0.0,0.0,0.09,0.0,0.0,0.0,7
6en3on,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
6eo290,0.04,0.21,0.0,0.1,0.06,0.0,0.12,0.05,0.06,0.12,0.0,0.0,0.03,0.02,0.19,1
6epc2t,0.0,0.0,0.24,0.0,0.0,0.27,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
6erd3f,0.0,0.25,0.0,0.0,0.0,0.27,0.02,0.0,0.14,0.0,0.0,0.0,0.1,0.16,0.05,5
6erhfg,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.51,0.0,13
6erthk,0.0,0.25,0.0,0.0,0.12,0.0,0.07,0.0,0.09,0.0,0.0,0.2,0.0,0.26,0.0,13
6ev7e9,0.01,0.01,0.01,0.32,0.53,0.01,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
6evcvi,0.14,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,11
