,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
jmhndm,0.0,0.0,0.09,0.59,0.0,0.08,0.0,0.0,0.0,0.22,3
jmhxsq,0.03,0.62,0.0,0.0,0.11,0.0,0.09,0.15,0.0,0.0,1
jmiwb9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.06,8
jmkiyx,0.0,0.0,0.0,0.68,0.0,0.15,0.0,0.0,0.15,0.0,3
jmmr32,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.31,0.0,0.19,1
jmn1kw,0.0,0.0,0.39,0.14,0.0,0.28,0.0,0.0,0.17,0.0,2
jmn4ef,0.0,0.17,0.0,0.11,0.46,0.0,0.04,0.0,0.0,0.22,4
jmox5w,0.0,0.0,0.0,0.0,0.09,0.46,0.0,0.42,0.0,0.0,5
jmrus4,0.02,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.08,8
jmtvz4,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.32,0.01,0.01,2
jmu50b,0.0,0.17,0.0,0.6,0.05,0.08,0.0,0.1,0.0,0.0,3
jmvqxm,0.02,0.0,0.0,0.08,0.0,0.7,0.19,0.0,0.0,0.0,5
jmw56n,0.0,0.28,0.23,0.44,0.04,0.0,0.0,0.0,0.0,0.0,3
jmxgbs,0.01,0.04,0.1,0.23,0.0,0.56,0.0,0.07,0.0,0.0,5
jmzody,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
jmzvxi,0.0,0.11,0.0,0.2,0.0,0.0,0.0,0.56,0.11,0.0,7
jn06r2,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.71,9
jn0ajn,0.0,0.76,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1
jn0jby,0.0,0.0,0.0,0.29,0.0,0.0,0.06,0.0,0.0,0.63,9
jn28r1,0.0,0.44,0.0,0.31,0.0,0.12,0.07,0.0,0.06,0.0,1
jn2nnl,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,1
jn2rjv,0.07,0.0,0.15,0.0,0.0,0.0,0.0,0.41,0.0,0.35,7
jn2se0,0.0,0.29,0.0,0.0,0.09,0.11,0.12,0.18,0.0,0.21,1
jn39tr,0.0,0.0,0.32,0.53,0.0,0.0,0.0,0.12,0.0,0.0,3
jn44pp,0.02,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,9
jn62cf,0.05,0.3,0.14,0.48,0.01,0.01,0.01,0.01,0.01,0.01,3
jn7883,0.07,0.01,0.01,0.39,0.01,0.01,0.29,0.22,0.01,0.01,3
jn7goy,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.27,0.0,0.0,3
jn7olg,0.02,0.17,0.06,0.0,0.0,0.18,0.23,0.0,0.34,0.0,8
jn7q6w,0.01,0.44,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,3
jn9k12,0.01,0.23,0.1,0.07,0.14,0.17,0.0,0.18,0.06,0.04,1
jn9waa,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.92,0.0,8
jnb079,0.0,0.76,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
jndz20,0.03,0.0,0.0,0.33,0.24,0.29,0.0,0.1,0.0,0.0,3
jne594,0.0,0.55,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.35,1
jnfkcu,0.0,0.51,0.0,0.07,0.0,0.12,0.29,0.0,0.0,0.0,1
jnfmxi,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.32,0.0,0.0,2
jng829,0.0,0.29,0.28,0.31,0.0,0.0,0.12,0.0,0.0,0.0,3
jnirqd,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,6
jniyjx,0.05,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,5
jnj630,0.0,0.0,0.0,0.14,0.0,0.13,0.35,0.19,0.0,0.17,6
jnjn5m,0.02,0.02,0.02,0.02,0.66,0.21,0.02,0.02,0.02,0.02,4
jnkq3h,0.08,0.0,0.0,0.0,0.68,0.0,0.08,0.06,0.07,0.0,4
jnl5f4,0.0,0.0,0.0,0.64,0.15,0.0,0.19,0.0,0.0,0.0,3
jnn18u,0.0,0.29,0.08,0.4,0.0,0.0,0.21,0.0,0.0,0.02,3
jnnm8c,0.0,0.0,0.0,0.0,0.0,0.47,0.08,0.44,0.0,0.0,5
jnqwz4,0.01,0.0,0.0,0.0,0.0,0.31,0.43,0.18,0.06,0.0,6
jnrd24,0.0,0.57,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1
jny53t,0.0,0.0,0.59,0.06,0.0,0.0,0.25,0.0,0.0,0.08,2
jnz03j,0.01,0.01,0.01,0.39,0.01,0.07,0.5,0.01,0.01,0.01,6
jnzgdk,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
jo1m2l,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.39,0.0,0.0,5
jo1ykb,0.0,0.16,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
jo37js,0.01,0.16,0.07,0.04,0.06,0.22,0.0,0.32,0.1,0.0,7
jo4zbv,0.03,0.03,0.03,0.03,0.03,0.03,0.29,0.51,0.03,0.03,7
jo58au,0.0,0.0,0.0,0.29,0.0,0.25,0.0,0.17,0.0,0.26,3
jo7hos,0.0,0.08,0.39,0.0,0.0,0.05,0.0,0.24,0.24,0.0,2
jo8mfv,0.0,0.16,0.0,0.22,0.0,0.0,0.0,0.49,0.0,0.12,7
jo99kf,0.04,0.2,0.64,0.0,0.11,0.0,0.0,0.0,0.0,0.0,2
jpaiow,0.0,0.0,0.24,0.13,0.0,0.0,0.0,0.0,0.6,0.0,8
jpbjhd,0.01,0.45,0.0,0.03,0.05,0.0,0.02,0.29,0.06,0.1,1
jpbqk1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.36,3
jpc4a6,0.02,0.0,0.0,0.71,0.0,0.16,0.1,0.0,0.0,0.0,3
jpc92i,0.0,0.23,0.0,0.0,0.0,0.63,0.0,0.12,0.0,0.0,5
jpcu69,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.92,0.0,0.0,7
jpd0oq,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.14,0.21,6
jpd7i9,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.22,0.0,0.0,2
jpe2jf,0.0,0.17,0.0,0.05,0.19,0.31,0.05,0.24,0.0,0.0,5
jpe63r,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.53,0.25,0.09,7
jpeycv,0.03,0.0,0.52,0.3,0.0,0.0,0.0,0.14,0.0,0.0,2
jpf21o,0.0,0.23,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.41,9
jpffrn,0.0,0.0,0.0,0.0,0.35,0.0,0.22,0.41,0.0,0.0,7
jpfgwv,0.0,0.0,0.62,0.22,0.0,0.0,0.0,0.0,0.14,0.0,2
jpgi9p,0.01,0.01,0.01,0.2,0.01,0.44,0.01,0.01,0.28,0.01,5
jpgs2j,0.01,0.01,0.01,0.01,0.01,0.56,0.01,0.2,0.16,0.01,5
jpi2h8,0.03,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.25,4
jpie9n,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.17,0.07,0.0,1
jpj15u,0.0,0.66,0.0,0.0,0.0,0.19,0.0,0.0,0.13,0.0,1
jpk7zl,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.14,0.53,9
jplb9o,0.0,0.0,0.0,0.0,0.76,0.0,0.18,0.05,0.0,0.0,4
jplga3,0.01,0.01,0.3,0.62,0.01,0.01,0.01,0.01,0.01,0.01,3
jpmd4a,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.08,0.0,0.0,2
jpn9mk,0.0,0.18,0.08,0.17,0.08,0.0,0.11,0.18,0.2,0.0,8
jpnh5p,0.0,0.32,0.0,0.11,0.4,0.0,0.0,0.0,0.17,0.0,4
jpodt4,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.19,3
jppb7g,0.03,0.08,0.0,0.0,0.03,0.03,0.0,0.0,0.83,0.0,8
jpr0ln,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.32,0.0,0.0,5
jpt4fd,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.77,0.0,8
jpujf1,0.0,0.47,0.0,0.37,0.0,0.0,0.0,0.0,0.15,0.0,1
jpvowp,0.19,0.48,0.0,0.0,0.14,0.0,0.18,0.0,0.0,0.0,1
jpwr5z,0.0,0.0,0.0,0.0,0.0,0.42,0.57,0.0,0.0,0.0,6
jpx4c0,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
jpxaq7,0.0,0.31,0.0,0.04,0.14,0.3,0.06,0.0,0.0,0.15,1
jq238y,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.13,0.0,3
jq2ahx,0.0,0.08,0.0,0.0,0.05,0.21,0.13,0.12,0.35,0.05,8
jq32sl,0.0,0.0,0.0,0.19,0.32,0.32,0.0,0.16,0.0,0.0,4
jq45ll,0.0,0.43,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.36,1
jq4nvs,0.01,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,0.19,3
jq5jzk,0.01,0.38,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
jq5tss,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,7
jq6gob,0.05,0.25,0.0,0.32,0.0,0.09,0.0,0.0,0.27,0.0,3
jq6hoj,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
jq797i,0.07,0.0,0.32,0.0,0.4,0.0,0.2,0.0,0.0,0.0,4
jq7um6,0.1,0.01,0.01,0.01,0.83,0.01,0.01,0.01,0.01,0.01,4
jq8cxn,0.0,0.27,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.15,4
jq8d68,0.0,0.0,0.28,0.44,0.0,0.0,0.0,0.0,0.25,0.0,3
jq8ryz,0.0,0.0,0.15,0.05,0.0,0.0,0.4,0.38,0.0,0.0,6
jq9jas,0.0,0.0,0.17,0.53,0.0,0.0,0.0,0.0,0.0,0.28,3
jqar01,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.13,0.65,9
jqavrk,0.0,0.0,0.0,0.59,0.0,0.0,0.07,0.31,0.0,0.0,3
jqdr4o,0.0,0.18,0.16,0.09,0.0,0.04,0.0,0.33,0.07,0.13,7
jqdtty,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.09,0.36,0.0,1
jqeq1q,0.0,0.09,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.51,9
jqf1cg,0.0,0.4,0.0,0.49,0.0,0.0,0.0,0.09,0.0,0.0,3
jqhxcs,0.04,0.29,0.0,0.05,0.31,0.13,0.05,0.0,0.0,0.12,4
jqis91,0.01,0.01,0.01,0.34,0.01,0.56,0.01,0.01,0.01,0.01,5
jqivht,0.0,0.08,0.0,0.0,0.0,0.58,0.0,0.0,0.32,0.0,5
jqjk2c,0.0,0.28,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.37,9
jqk1ss,0.01,0.07,0.0,0.26,0.0,0.0,0.0,0.25,0.41,0.0,8
jqk3dm,0.0,0.0,0.0,0.04,0.0,0.0,0.82,0.12,0.0,0.0,6
jqkclr,0.03,0.0,0.0,0.38,0.34,0.25,0.0,0.0,0.0,0.0,3
jql3qv,0.0,0.03,0.0,0.0,0.19,0.0,0.62,0.14,0.0,0.0,6
jql9e8,0.0,0.2,0.0,0.0,0.04,0.2,0.54,0.0,0.0,0.0,6
jqnk8r,0.0,0.55,0.19,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1
jqo91p,0.0,0.1,0.02,0.0,0.0,0.09,0.07,0.01,0.54,0.17,8
jqpotc,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,4
jqsnga,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
jqtewr,0.0,0.29,0.34,0.0,0.0,0.0,0.11,0.25,0.0,0.0,2
jqtlio,0.14,0.0,0.52,0.0,0.0,0.0,0.0,0.14,0.11,0.08,2
jqtph6,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,3
jqtzqt,0.01,0.01,0.01,0.01,0.52,0.01,0.41,0.01,0.01,0.01,4
jqv0nt,0.03,0.28,0.0,0.0,0.11,0.45,0.0,0.0,0.0,0.12,5
jqvjcj,0.01,0.01,0.01,0.01,0.76,0.01,0.01,0.2,0.01,0.01,4
jqw2gj,0.02,0.11,0.1,0.38,0.27,0.0,0.0,0.11,0.0,0.0,3
jqw8hi,0.0,0.31,0.13,0.08,0.0,0.02,0.1,0.24,0.11,0.0,1
jqx4ka,0.01,0.01,0.27,0.42,0.01,0.01,0.27,0.01,0.01,0.01,3
jqx7m9,0.0,0.0,0.04,0.0,0.87,0.0,0.08,0.0,0.0,0.0,4
jqxh78,0.01,0.23,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.01,6
jqxjbf,0.0,0.0,0.26,0.49,0.0,0.11,0.12,0.0,0.0,0.0,3
jqxxfw,0.01,0.49,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,1
jqyevy,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
jqz9os,0.0,0.37,0.0,0.27,0.12,0.0,0.0,0.23,0.0,0.0,1
jqzoup,0.0,0.0,0.0,0.03,0.48,0.1,0.04,0.09,0.25,0.0,4
jqzqlt,0.0,0.24,0.0,0.45,0.0,0.0,0.0,0.29,0.0,0.0,3
jr00dq,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.5,9
jr0cw3,0.01,0.01,0.01,0.01,0.01,0.01,0.54,0.01,0.01,0.37,6
jr133o,0.0,0.0,0.09,0.09,0.0,0.11,0.0,0.0,0.7,0.0,8
jr17b7,0.06,0.01,0.09,0.01,0.01,0.26,0.01,0.56,0.01,0.01,7
jr1s6s,0.01,0.29,0.01,0.01,0.01,0.01,0.63,0.01,0.01,0.01,6
jr2437,0.0,0.0,0.0,0.39,0.58,0.0,0.0,0.0,0.0,0.0,4
jr28t9,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,4
jr2sk3,0.0,0.0,0.1,0.18,0.0,0.2,0.05,0.46,0.0,0.0,7
jr3qih,0.0,0.21,0.0,0.48,0.29,0.0,0.0,0.0,0.0,0.0,3
jr3yvq,0.0,0.16,0.0,0.12,0.0,0.0,0.0,0.62,0.0,0.09,7
jr4re5,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.37,0.0,0.25,7
jr4syv,0.0,0.43,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.08,3
jr6bwq,0.0,0.16,0.0,0.3,0.17,0.1,0.0,0.0,0.0,0.26,3
jr6duh,0.0,0.47,0.0,0.32,0.0,0.0,0.0,0.0,0.19,0.0,1
jr6tli,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,3
jr7nvm,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.45,0.01,0.01,2
jr90y6,0.0,0.46,0.0,0.0,0.06,0.04,0.0,0.43,0.0,0.0,1
jr9a24,0.0,0.0,0.0,0.19,0.0,0.17,0.0,0.53,0.11,0.0,7
jr9joa,0.0,0.34,0.0,0.0,0.0,0.0,0.38,0.15,0.11,0.0,6
jr9sj7,0.08,0.88,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
jr9ve9,0.01,0.01,0.01,0.01,0.29,0.01,0.61,0.01,0.01,0.01,6
jrawwp,0.08,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.49,0.01,8
jrbulw,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.31,0.42,9
jrbzwe,0.17,0.21,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.33,9
jrcb7l,0.0,0.52,0.04,0.15,0.0,0.0,0.0,0.0,0.2,0.09,1
jrd24o,0.0,0.36,0.0,0.0,0.25,0.0,0.0,0.11,0.0,0.28,1
jrdab3,0.0,0.1,0.0,0.81,0.04,0.0,0.0,0.0,0.04,0.0,3
jrdg3n,0.0,0.27,0.0,0.0,0.68,0.0,0.04,0.0,0.0,0.0,4
jrdp30,0.0,0.51,0.0,0.17,0.23,0.0,0.0,0.0,0.09,0.0,1
jre9mq,0.11,0.01,0.3,0.54,0.01,0.01,0.01,0.01,0.01,0.01,3
jreejg,0.0,0.0,0.07,0.15,0.21,0.34,0.06,0.0,0.06,0.1,5
jrf377,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.16,0.7,0.0,8
jrg97c,0.03,0.03,0.48,0.03,0.03,0.03,0.26,0.03,0.03,0.03,2
jrgo4w,0.0,0.21,0.47,0.24,0.0,0.07,0.0,0.0,0.0,0.0,2
jrisd8,0.0,0.32,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,4
jrjii9,0.06,0.28,0.0,0.12,0.13,0.15,0.17,0.0,0.0,0.08,1
jrjywh,0.01,0.01,0.01,0.01,0.34,0.01,0.58,0.01,0.01,0.01,6
jrlcjq,0.0,0.54,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1
jrlp08,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1
jrlt2i,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.33,0.19,0.0,2
jrm8r6,0.0,0.16,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
jrmolv,0.01,0.01,0.01,0.01,0.82,0.01,0.01,0.01,0.01,0.11,4
jrmzwf,0.0,0.0,0.0,0.0,0.43,0.1,0.0,0.0,0.0,0.45,9
jrngeu,0.0,0.0,0.0,0.25,0.0,0.0,0.31,0.14,0.0,0.28,6
jrqz9k,0.0,0.0,0.0,0.34,0.0,0.0,0.21,0.42,0.0,0.0,7
jrrrk7,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.43,0.03,0.03,7
jrs1u5,0.0,0.48,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,1
jrsfy4,0.0,0.0,0.34,0.05,0.37,0.0,0.23,0.0,0.0,0.0,4
jrt11n,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,3
jrtndu,0.05,0.0,0.0,0.14,0.07,0.0,0.25,0.0,0.46,0.0,8
jrtr34,0.01,0.47,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.14,1
jru2po,0.05,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.27,0.24,2
jruoff,0.0,0.0,0.07,0.09,0.0,0.0,0.0,0.3,0.53,0.0,8
jrve2e,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,9
jrvg0c,0.0,0.0,0.1,0.27,0.0,0.61,0.0,0.0,0.0,0.0,5
jrvr75,0.0,0.0,0.0,0.0,0.24,0.36,0.0,0.0,0.38,0.0,8
jrvv2h,0.0,0.0,0.0,0.0,0.0,0.37,0.25,0.0,0.25,0.11,5
jrvy99,0.01,0.01,0.27,0.01,0.01,0.01,0.07,0.01,0.62,0.01,8
jrvyuq,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,4
jrwzcf,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.91,0.0,8
jrxm1w,0.0,0.07,0.05,0.1,0.44,0.09,0.0,0.09,0.0,0.17,4
jryjgl,0.12,0.0,0.0,0.43,0.0,0.18,0.0,0.18,0.0,0.06,3
jrylo6,0.0,0.0,0.0,0.0,0.0,0.22,0.57,0.18,0.0,0.0,6
jrzbyk,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.07,0.13,0.3,3
jrzel0,0.11,0.01,0.16,0.01,0.48,0.01,0.15,0.07,0.01,0.01,4
jrznf7,0.0,0.28,0.0,0.0,0.32,0.0,0.14,0.25,0.0,0.0,4
jrztya,0.14,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,9
jrzxwd,0.0,0.24,0.0,0.48,0.0,0.14,0.0,0.13,0.0,0.0,3
js00pd,0.37,0.49,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
js0tsx,0.04,0.0,0.0,0.47,0.0,0.07,0.3,0.0,0.1,0.0,3
js0ve9,0.07,0.01,0.01,0.37,0.01,0.01,0.52,0.01,0.01,0.01,6
js2pyl,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1
js573k,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.46,9
js795y,0.0,0.0,0.0,0.09,0.0,0.0,0.24,0.19,0.46,0.0,8
js7da5,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.14,1
js7uuq,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,6
js8hh6,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,3
js9f0s,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,8
js9s9h,0.0,0.36,0.0,0.53,0.0,0.0,0.0,0.08,0.0,0.0,3
jsasow,0.0,0.0,0.0,0.38,0.0,0.19,0.41,0.0,0.0,0.0,6
jsb47v,0.09,0.28,0.0,0.16,0.11,0.0,0.0,0.0,0.0,0.35,9
jsbefr,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.59,0.05,8
jsbhmm,0.0,0.39,0.0,0.0,0.15,0.0,0.0,0.0,0.23,0.21,1
jsbi68,0.0,0.15,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,3
jsc5wh,0.0,0.07,0.0,0.62,0.0,0.0,0.29,0.0,0.0,0.0,3
jscnz2,0.0,0.17,0.0,0.53,0.03,0.05,0.21,0.0,0.0,0.0,3
jsctoe,0.0,0.09,0.0,0.37,0.0,0.0,0.16,0.17,0.0,0.19,3
jscvnz,0.0,0.0,0.0,0.0,0.14,0.11,0.72,0.0,0.0,0.0,6
jsdbor,0.0,0.35,0.0,0.34,0.17,0.0,0.0,0.0,0.13,0.0,1
jse3m7,0.0,0.0,0.0,0.51,0.0,0.0,0.46,0.0,0.0,0.0,3
jsedrz,0.0,0.16,0.26,0.31,0.0,0.0,0.0,0.0,0.26,0.0,3
jseytm,0.01,0.01,0.01,0.27,0.01,0.01,0.14,0.01,0.01,0.54,9
jsfeuq,0.0,0.35,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,5
jshkj4,0.0,0.36,0.19,0.18,0.0,0.15,0.05,0.0,0.02,0.05,1
jshs03,0.01,0.19,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,4
jsi2ww,0.0,0.0,0.0,0.05,0.08,0.57,0.04,0.0,0.05,0.21,5
jsisjb,0.0,0.16,0.32,0.0,0.18,0.23,0.0,0.06,0.0,0.05,2
jsj4fc,0.0,0.66,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,1
jsj83o,0.0,0.03,0.0,0.0,0.79,0.05,0.0,0.0,0.12,0.0,4
jsjo7m,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.77,0.01,8
jsjy5g,0.0,0.15,0.0,0.17,0.29,0.22,0.0,0.16,0.0,0.0,4
jsjy5r,0.04,0.0,0.0,0.0,0.1,0.0,0.0,0.28,0.57,0.0,8
jskjwn,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.83,0.13,0.01,7
jsl2jo,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.44,0.0,0.26,7
jslm70,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.19,0.0,3
jsmgns,0.0,0.0,0.0,0.16,0.0,0.23,0.0,0.59,0.0,0.0,7
jsn7yy,0.22,0.01,0.25,0.15,0.01,0.01,0.01,0.01,0.35,0.01,8
jsnrbw,0.0,0.0,0.0,0.19,0.15,0.47,0.0,0.17,0.0,0.0,5
jso62o,0.0,0.0,0.05,0.0,0.0,0.37,0.12,0.41,0.04,0.0,7
jsoc7e,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.38,0.2,0.0,3
jsoryr,0.0,0.37,0.0,0.38,0.0,0.0,0.0,0.0,0.25,0.0,3
jsp23y,0.0,0.0,0.0,0.0,0.45,0.06,0.0,0.48,0.0,0.0,7
jspgpb,0.05,0.0,0.0,0.38,0.0,0.0,0.46,0.09,0.0,0.0,6
jsq5yj,0.0,0.0,0.18,0.0,0.35,0.0,0.16,0.31,0.0,0.0,4
jsq6s9,0.01,0.01,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,4
jsqhpi,0.01,0.21,0.0,0.0,0.07,0.0,0.0,0.54,0.15,0.0,7
jsramx,0.0,0.0,0.0,0.73,0.25,0.0,0.0,0.0,0.0,0.0,3
jsrf5r,0.02,0.31,0.4,0.0,0.0,0.13,0.0,0.0,0.12,0.0,2
jss0kp,0.01,0.01,0.01,0.01,0.52,0.01,0.01,0.42,0.01,0.01,4
jssawf,0.0,0.42,0.0,0.0,0.12,0.0,0.0,0.45,0.0,0.0,7
jstikd,0.01,0.01,0.01,0.33,0.01,0.41,0.01,0.01,0.23,0.01,5
jsu38k,0.0,0.0,0.0,0.0,0.16,0.1,0.22,0.3,0.2,0.0,7
jsujnm,0.0,0.0,0.0,0.0,0.08,0.55,0.12,0.23,0.0,0.0,5
jsuuhi,0.01,0.0,0.0,0.19,0.0,0.26,0.09,0.32,0.08,0.04,7
jsuws4,0.02,0.4,0.07,0.0,0.0,0.01,0.0,0.0,0.18,0.31,1
jsv1ih,0.03,0.03,0.03,0.03,0.03,0.51,0.03,0.03,0.03,0.29,5
jsvb0k,0.02,0.02,0.02,0.43,0.44,0.02,0.02,0.02,0.02,0.02,4
jsvfd4,0.03,0.0,0.0,0.44,0.0,0.04,0.25,0.0,0.0,0.23,3
jsvry9,0.0,0.0,0.0,0.39,0.27,0.0,0.14,0.19,0.0,0.0,3
jswb66,0.0,0.0,0.0,0.54,0.0,0.0,0.09,0.13,0.17,0.05,3
jswq4b,0.02,0.0,0.0,0.0,0.0,0.11,0.27,0.59,0.0,0.0,7
jswrkr,0.0,0.0,0.24,0.14,0.46,0.0,0.1,0.0,0.0,0.04,4
jsx2hi,0.0,0.0,0.0,0.36,0.17,0.06,0.0,0.22,0.1,0.08,3
jsxth1,0.01,0.01,0.01,0.01,0.01,0.73,0.01,0.01,0.21,0.01,5
jsyntu,0.0,0.0,0.0,0.55,0.15,0.0,0.27,0.0,0.0,0.0,3
jsyv1k,0.0,0.0,0.0,0.0,0.38,0.21,0.26,0.0,0.13,0.0,4
jszaun,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.41,6
jszec6,0.0,0.0,0.13,0.06,0.0,0.09,0.0,0.55,0.0,0.16,7
jszp47,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
jt08jv,0.0,0.38,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,1
jt0ekr,0.0,0.54,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1
jt1enf,0.0,0.68,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.12,1
jt1w0a,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,7
jt20jb,0.0,0.08,0.16,0.39,0.15,0.0,0.0,0.0,0.21,0.0,3
