,t0 stomach,t1 weight,t2 pain,t3 control,t4 hair,t5 normal,t6 insulin,t7 doctor,t8 day,t9 diet,dominant_topic
uq2ie,0.0,0.16,0.0,0.0,0.26,0.0,0.17,0.12,0.16,0.12,4
uqu1p,0.01,0.43,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.25,1
ut1gg,0.0,0.17,0.0,0.38,0.44,0.0,0.0,0.0,0.0,0.0,4
utsdh,0.0,0.63,0.0,0.0,0.0,0.0,0.05,0.0,0.21,0.1,1
uut9z,0.01,0.46,0.0,0.11,0.0,0.12,0.0,0.0,0.18,0.12,1
ux9r5,0.0,0.26,0.0,0.0,0.0,0.0,0.11,0.0,0.27,0.35,9
uzu4c,0.0,0.12,0.07,0.42,0.33,0.0,0.0,0.06,0.0,0.0,3
v2poa,0.0,0.0,0.4,0.28,0.0,0.0,0.0,0.09,0.2,0.0,2
v38xw,0.0,0.0,0.0,0.2,0.0,0.13,0.0,0.66,0.0,0.0,7
v3m5s,0.04,0.09,0.0,0.07,0.1,0.14,0.0,0.34,0.22,0.0,7
v4059,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.32,1
v7ikx,0.0,0.13,0.37,0.29,0.0,0.0,0.0,0.0,0.19,0.0,2
v7mgw,0.06,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.27,1
v89sd,0.03,0.61,0.0,0.0,0.18,0.0,0.0,0.17,0.0,0.0,1
v8j07,0.0,0.46,0.0,0.31,0.18,0.04,0.0,0.0,0.0,0.0,1
v9dfl,0.0,0.16,0.06,0.07,0.12,0.17,0.02,0.39,0.0,0.0,7
va9yq,0.0,0.29,0.0,0.24,0.0,0.0,0.0,0.19,0.15,0.13,1
vb71b,0.0,0.54,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1
vc3g9,0.0,0.0,0.0,0.28,0.0,0.06,0.0,0.63,0.0,0.0,7
vcvje,0.0,0.15,0.0,0.24,0.49,0.0,0.0,0.0,0.0,0.11,4
vcwzd,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,1
veg69,0.06,0.0,0.0,0.0,0.85,0.0,0.0,0.08,0.0,0.0,4
vfxhr,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.15,0.0,3
vhhn1,0.0,0.1,0.0,0.33,0.35,0.03,0.0,0.0,0.1,0.08,4
vhu74,0.0,0.0,0.29,0.31,0.0,0.0,0.0,0.17,0.23,0.0,3
vhwjj,0.19,0.35,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,3
vjd33,0.0,0.52,0.0,0.17,0.28,0.0,0.0,0.0,0.0,0.0,1
vkrf7,0.0,0.21,0.0,0.0,0.0,0.44,0.07,0.0,0.0,0.26,5
vl77j,0.01,0.01,0.01,0.48,0.01,0.42,0.01,0.01,0.01,0.01,3
vl9tv,0.0,0.0,0.0,0.15,0.24,0.33,0.0,0.27,0.0,0.0,5
vland,0.0,0.29,0.0,0.0,0.37,0.0,0.0,0.21,0.0,0.12,4
vm27a,0.0,0.57,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,1
vmlu3,0.06,0.25,0.01,0.28,0.01,0.01,0.01,0.37,0.01,0.01,7
vnosz,0.0,0.13,0.39,0.16,0.0,0.0,0.0,0.0,0.0,0.32,2
votop,0.0,0.0,0.0,0.28,0.06,0.06,0.0,0.31,0.29,0.0,7
vqfhz,0.0,0.2,0.05,0.0,0.05,0.0,0.0,0.38,0.31,0.0,7
vqh5q,0.0,0.0,0.0,0.07,0.37,0.1,0.0,0.45,0.0,0.0,7
vqhjs,0.0,0.74,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.15,1
vqy2y,0.02,0.0,0.29,0.21,0.0,0.0,0.0,0.12,0.35,0.0,8
vwk3a,0.0,0.25,0.38,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2
w0puw,0.0,0.25,0.0,0.34,0.12,0.0,0.0,0.06,0.22,0.0,3
w2jun,0.0,0.17,0.0,0.08,0.42,0.26,0.0,0.07,0.0,0.0,4
w2yy5,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.44,0.18,0.0,7
w38y8,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.38,0.0,0.0,6
w3b6i,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.37,0.47,0.0,8
w4xxm,0.0,0.11,0.0,0.0,0.0,0.04,0.42,0.41,0.0,0.0,6
w5iqk,0.0,0.31,0.0,0.26,0.04,0.0,0.0,0.32,0.06,0.0,7
w6ue4,0.0,0.52,0.06,0.0,0.0,0.0,0.0,0.41,0.0,0.0,1
wbiqc,0.0,0.06,0.0,0.0,0.32,0.0,0.0,0.61,0.0,0.0,7
wbpjq,0.0,0.0,0.0,0.22,0.55,0.0,0.0,0.0,0.18,0.04,4
wclcw,0.0,0.47,0.16,0.29,0.0,0.06,0.0,0.0,0.0,0.0,1
whsk5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.55,0.0,8
wjilc,0.01,0.18,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
wm8km,0.0,0.53,0.0,0.0,0.0,0.0,0.24,0.22,0.0,0.0,1
wmqb6,0.0,0.0,0.64,0.18,0.0,0.07,0.0,0.11,0.0,0.0,2
wnrfa,0.0,0.12,0.0,0.0,0.0,0.52,0.16,0.0,0.19,0.0,5
wokhx,0.06,0.0,0.53,0.08,0.0,0.0,0.0,0.32,0.0,0.0,2
wp8fn,0.06,0.26,0.0,0.23,0.18,0.0,0.0,0.0,0.2,0.07,1
wpr61,0.0,0.74,0.0,0.0,0.06,0.0,0.19,0.0,0.0,0.0,1
wpvem,0.0,0.18,0.0,0.0,0.0,0.13,0.11,0.41,0.0,0.17,7
wue4x,0.0,0.56,0.0,0.0,0.14,0.0,0.27,0.0,0.0,0.0,1
wupwv,0.01,0.17,0.04,0.27,0.05,0.0,0.0,0.39,0.07,0.0,7
wvdpk,0.0,0.51,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1
wxjne,0.0,0.16,0.0,0.0,0.15,0.06,0.0,0.39,0.24,0.0,7
wyu1f,0.0,0.18,0.29,0.2,0.16,0.16,0.0,0.0,0.0,0.0,2
wzdda,0.0,0.4,0.0,0.06,0.0,0.04,0.09,0.19,0.21,0.0,1
x07qt,0.0,0.18,0.0,0.44,0.0,0.0,0.0,0.22,0.0,0.16,3
x1ydu,0.0,0.13,0.11,0.22,0.0,0.0,0.2,0.16,0.0,0.18,3
x216x,0.0,0.51,0.07,0.0,0.0,0.0,0.25,0.15,0.0,0.0,1
x4wpr,0.0,0.53,0.16,0.03,0.0,0.0,0.0,0.08,0.16,0.04,1
x55hx,0.0,0.73,0.0,0.04,0.0,0.08,0.0,0.0,0.14,0.0,1
x6heu,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.35,0.01,0.01,6
x8ovm,0.04,0.6,0.0,0.16,0.0,0.07,0.0,0.0,0.0,0.11,1
xao5q,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.75,0.0,8
xaq0z,0.0,0.07,0.11,0.44,0.0,0.0,0.11,0.26,0.0,0.0,3
xbef6,0.0,0.41,0.0,0.18,0.0,0.28,0.04,0.0,0.09,0.0,1
