,t0 pain,t1 metformin,t2 cyst,t3 hair,t4 amp,t5 since,t6 insulin,t7 doctor,t8 day,t9 eat,t10 hair,t11 pregnant,t12 level,t13 started,t14 help,t15 weight,t16 control,t17 skin,t18 feel,t19 health,dominant_topic
qyvv3,0.0,0.0,0.0,0.04,0.0,0.54,0.0,0.16,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.04,0.0,0.0,0.0,5
qz291,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.38,0.09,0.03,0.0,0.0,0.0,0.09,0.0,0.06,0.02,0.12,0.0,0.12,7
qzpsi,0.0,0.0,0.0,0.54,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,3
r09wt,0.04,0.16,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.15,0.11,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.16,0.0,7
r1dk4,0.0,0.0,0.0,0.0,0.0,0.17,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.0,0.3,0.0,0.0,0.1,0.18,15
r2m9c,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.11,0.0,3
r6pzw,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.11,0.04,0.16,0.11,0.0,0.0,0.2,0.12,18
r782m,0.0,0.36,0.0,0.0,0.02,0.0,0.07,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.26,0.05,0.0,0.0,0.0,1
r7pd5,0.0,0.04,0.07,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.06,0.0,0.0,0.11,0.0,0.37,0.0,18
r9meh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.09,0.23,0.0,0.07,0.25,0.1,0.0,0.05,16
rba7u,0.06,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.09,0.0,0.1,0.0,0.0,0.0,0.51,19
rgdo6,0.0,0.05,0.03,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.14,0.0,0.05,0.0,0.0,0.0,0.44,0.0,0.08,0.08,16
rkyvg,0.0,0.07,0.0,0.0,0.0,0.11,0.06,0.0,0.0,0.0,0.0,0.12,0.0,0.47,0.0,0.16,0.0,0.0,0.0,0.0,13
rpb1w,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.0,0.03,0.0,0.0,0.16,0.35,0.0,0.0,0.09,16
rqxxo,0.12,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.21,0.0,0.0,0.0,0.05,0.0,0.26,0.0,0.0,2
rtqqa,0.0,0.0,0.04,0.13,0.0,0.16,0.12,0.0,0.0,0.1,0.0,0.05,0.02,0.0,0.16,0.03,0.0,0.06,0.14,0.0,5
rxioq,0.25,0.0,0.09,0.0,0.0,0.0,0.0,0.26,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ryegz,0.0,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.16,0.43,0.14,18
sd4em,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.25,15
sdcry,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.4,0.03,0.0,0.03,0.0,0.1,14
sdpdx,0.06,0.0,0.0,0.13,0.0,0.37,0.0,0.16,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.23,5
sdt18,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.31,0.0,0.0,0.31,0.0,0.0,0.24,13
sfi5b,0.0,0.0,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.13,0.0,0.3,0.09,0.26,0.0,0.0,15
shgp0,0.51,0.17,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shkyt,0.0,0.0,0.0,0.19,0.02,0.0,0.0,0.16,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.42,0.09,0.0,17
sjz4a,0.01,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
sk0uy,0.0,0.16,0.0,0.0,0.0,0.28,0.13,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.13,0.07,0.0,0.0,0.05,0.0,5
squah,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.0,0.0,0.0,0.12,0.0,0.24,0.0,0.27,0.0,0.0,0.0,0.0,15
ss2mo,0.05,0.04,0.37,0.0,0.0,0.05,0.0,0.36,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,2
ssfqv,0.04,0.0,0.11,0.0,0.0,0.12,0.0,0.08,0.04,0.0,0.0,0.2,0.0,0.0,0.0,0.09,0.2,0.0,0.07,0.05,11
sshld,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.19,0.0,0.0,0.28,0.0,0.17,0.05,0.04,0.0,0.07,0.0,0.0,0.0,10
ssmoc,0.13,0.03,0.02,0.03,0.0,0.21,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.14,0.06,0.03,0.0,13
sss12,0.0,0.0,0.35,0.03,0.0,0.15,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.07,0.14,0.0,0.0,2
st5uq,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.52,0.13,0.0,0.03,0.07,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,7
stx4o,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.58,19
svtrr,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.2,0.0,2
t2zh5,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.26,0.0,0.17,0.0,0.0,0.0,0.09,0.0,0.14,0.0,0.0,0.0,0.19,7
t3fse,0.26,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
t67zk,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.53,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.02,0.07,0.0,0.05,0.0,7
t6y87,0.01,0.04,0.04,0.0,0.04,0.0,0.0,0.06,0.06,0.0,0.14,0.01,0.0,0.08,0.0,0.0,0.28,0.24,0.0,0.0,16
tas0g,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.12,0.0,0.0,0.0,5
tc3e9,0.0,0.0,0.11,0.02,0.0,0.05,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.33,0.03,0.12,0.0,0.0,0.06,0.11,13
texrf,0.0,0.0,0.0,0.08,0.0,0.15,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.23,0.18,0.06,17
tfq8s,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.46,0.21,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,7
thne4,0.0,0.0,0.0,0.08,0.0,0.15,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.23,0.18,0.06,17
tjgtb,0.32,0.0,0.0,0.11,0.0,0.0,0.13,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0
tk9b0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.23,0.2,0.05,17
tl9pb,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.13,0.38,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
tnxgt,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.16,0.31,0.0,0.1,0.0,0.0,15
tot51,0.0,0.02,0.01,0.0,0.02,0.01,0.7,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.14,6
tqg38,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.57,0.0,0.03,0.0,0.07,0.0,0.08,0.0,0.14,0.0,0.0,0.0,0.05,7
