,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
r782m,0.0,0.0,0.14,0.0,0.15,0.0,0.09,0.23,0.0,0.0,0.0,0.0,0.31,0.05,0.02,12
r7pd5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.08,0.43,0.0,0.09,0.0,11
r9meh,0.0,0.08,0.0,0.0,0.06,0.0,0.11,0.12,0.49,0.0,0.0,0.03,0.0,0.08,0.02,8
rba7u,0.48,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.2,0.0,0.14,0.0,0.04,0.02,0.0,0
rgdo6,0.09,0.03,0.0,0.0,0.0,0.0,0.07,0.12,0.12,0.0,0.03,0.09,0.0,0.38,0.07,13
rkyvg,0.0,0.0,0.06,0.0,0.0,0.14,0.0,0.08,0.34,0.16,0.0,0.0,0.21,0.0,0.0,8
rpb1w,0.0,0.0,0.0,0.0,0.0,0.19,0.03,0.0,0.47,0.0,0.0,0.0,0.0,0.3,0.0,8
rqxxo,0.0,0.0,0.0,0.04,0.0,0.14,0.0,0.0,0.2,0.18,0.26,0.15,0.0,0.0,0.0,10
rtqqa,0.0,0.07,0.0,0.21,0.0,0.0,0.05,0.0,0.0,0.09,0.03,0.27,0.2,0.0,0.08,11
rxioq,0.0,0.0,0.11,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.4,0.08,0.0,0.0,0.0,10
ryegz,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.6,0.0,0.0,0.13,11
sd4em,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,12
sdcry,0.11,0.0,0.18,0.07,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.36,0.0,0.03,12
sdpdx,0.2,0.0,0.13,0.0,0.0,0.0,0.03,0.0,0.52,0.0,0.0,0.12,0.0,0.0,0.0,8
sdt18,0.2,0.0,0.0,0.0,0.0,0.33,0.05,0.0,0.14,0.0,0.0,0.0,0.0,0.27,0.0,5
sfi5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.68,0.12,0.0,0.0,0.0,0.12,0.0,8
shgp0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,10
shkyt,0.0,0.0,0.09,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.43,0.07,0.0,0.35,11
sjz4a,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01,0.01,10
sk0uy,0.18,0.0,0.08,0.0,0.0,0.0,0.15,0.15,0.23,0.14,0.0,0.06,0.0,0.0,0.0,8
squah,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.0,0.0,0.2,0.0,0.0,8
ss2mo,0.08,0.0,0.18,0.0,0.0,0.0,0.17,0.04,0.0,0.0,0.43,0.09,0.0,0.0,0.0,10
ssfqv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.31,0.16,0.21,0.0,0.1,0.0,9
sshld,0.0,0.12,0.2,0.0,0.0,0.0,0.18,0.0,0.31,0.0,0.02,0.0,0.08,0.08,0.0,8
ssmoc,0.0,0.0,0.03,0.0,0.06,0.46,0.0,0.0,0.14,0.0,0.08,0.1,0.0,0.09,0.03,5
sss12,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.15,0.0,0.34,0.31,0.0,0.08,0.03,10
st5uq,0.0,0.0,0.5,0.05,0.0,0.17,0.0,0.0,0.16,0.05,0.0,0.0,0.06,0.0,0.0,2
stx4o,0.6,0.0,0.06,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0
svtrr,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06,0.0,0.6,0.25,0.0,0.0,0.0,10
t2zh5,0.05,0.0,0.24,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.63,0.0,0.0,12
t3fse,0.0,0.0,0.0,0.19,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,4
t67zk,0.04,0.0,0.41,0.0,0.0,0.05,0.04,0.0,0.0,0.08,0.0,0.26,0.05,0.07,0.0,2
t6y87,0.0,0.0,0.06,0.0,0.14,0.05,0.0,0.0,0.0,0.01,0.04,0.07,0.0,0.36,0.27,13
tas0g,0.0,0.0,0.22,0.13,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.1,0.0,11
tc3e9,0.0,0.0,0.16,0.0,0.07,0.06,0.0,0.0,0.06,0.04,0.12,0.14,0.24,0.09,0.0,12
texrf,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.33,0.07,0.06,0.07,8
tfq8s,0.0,0.0,0.58,0.0,0.15,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
thne4,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.33,0.07,0.06,0.07,8
tjgtb,0.0,0.0,0.14,0.0,0.0,0.0,0.07,0.04,0.36,0.0,0.31,0.0,0.07,0.0,0.0,8
tk9b0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.35,0.07,0.06,0.07,8
tl9pb,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.35,0.0,0.0,11
tnxgt,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.19,0.61,0.0,0.0,12
