,t0 symptom,t1 hair,t2 doctor,t3 help,t4 day,t5 period,t6 level,t7 metformin,t8 year,t9 pregnant,t10 pain,t11 like,t12 weight,t13 control,t14 hair,dominant_topic
fo6dfy,0.38,0.0,0.0,0.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.08,0
fo6o26,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.26,0.0,5
fo73pa,0.23,0.0,0.0,0.23,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.0,0.05,0
fo7t1j,0.0,0.0,0.09,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.18,0.27,0.0,0.0,0.0,5
fo9u50,0.43,0.01,0.01,0.36,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0
foai7h,0.0,0.0,0.16,0.0,0.0,0.0,0.03,0.05,0.28,0.0,0.0,0.14,0.18,0.13,0.03,8
foaoe5,0.11,0.0,0.0,0.09,0.06,0.0,0.21,0.0,0.26,0.0,0.12,0.0,0.0,0.14,0.0,8
fob8ka,0.0,0.0,0.26,0.0,0.12,0.22,0.14,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.16,2
foc1jc,0.0,0.0,0.09,0.0,0.17,0.44,0.08,0.06,0.15,0.0,0.0,0.0,0.0,0.0,0.0,5
focddz,0.0,0.0,0.0,0.11,0.0,0.24,0.16,0.0,0.45,0.0,0.0,0.0,0.03,0.0,0.0,8
focu0p,0.0,0.0,0.05,0.0,0.58,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,4
fodaot,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.48,0.23,0.01,0.01,0.01,0.01,0.17,0.01,7
foe96w,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.09,0.14,0.07,0.07,0.0,0.32,14
foearf,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.14,0.4,0.0,0.0,0.0,0.15,0.0,0.05,8
fof6k3,0.0,0.1,0.15,0.0,0.09,0.0,0.19,0.0,0.0,0.12,0.12,0.0,0.18,0.0,0.05,6
foh1d5,0.0,0.0,0.0,0.06,0.08,0.23,0.11,0.0,0.18,0.31,0.0,0.02,0.0,0.0,0.0,9
fohgan,0.01,0.64,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
foi56s,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,11
foi9fj,0.15,0.0,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,10
foixl0,0.32,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.09,2
foiz8e,0.05,0.0,0.22,0.14,0.02,0.45,0.0,0.0,0.07,0.0,0.03,0.0,0.0,0.0,0.0,5
foj36f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.54,0.0,0.0,0.29,11
fojqmq,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,14
fokvn5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.14,11
fol9ra,0.0,0.0,0.19,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,5
folmvd,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.13,0.0,5
folz5o,0.08,0.0,0.06,0.11,0.0,0.0,0.0,0.0,0.39,0.03,0.16,0.0,0.0,0.17,0.0,8
fomgkh,0.0,0.0,0.0,0.1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,5
fonzf0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.41,0.48,0.0,0.0,12
fopnpd,0.56,0.16,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.0,0.0,0
foqnai,0.69,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0
for0ko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,12
foto0d,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.39,0
foy55i,0.0,0.0,0.0,0.15,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,12
foz3tw,0.08,0.02,0.18,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.24,0.14,0.0,0.0,0.0,8
fp35oo,0.0,0.06,0.05,0.0,0.0,0.01,0.0,0.01,0.18,0.01,0.02,0.52,0.0,0.03,0.1,11
fp3fgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.9,0.0,0.0,12
fp3xrk,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.23,11
fp5k49,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.3,0.03,0.02,0.2,0.2,0.17,0.0,8
fp5o1g,0.0,0.0,0.12,0.01,0.0,0.14,0.32,0.0,0.18,0.0,0.05,0.1,0.0,0.0,0.07,6
fp84ax,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.22,0.41,0.0,0.0,0.0,11
fpajr9,0.0,0.0,0.15,0.06,0.0,0.08,0.0,0.12,0.08,0.0,0.0,0.0,0.5,0.0,0.0,12
fpbc0l,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,7
fpfjr8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.43,14
fpfmwd,0.63,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
fpfzvk,0.0,0.0,0.04,0.0,0.0,0.54,0.0,0.0,0.2,0.0,0.0,0.09,0.0,0.11,0.0,5
fpgftk,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,1
fpgfya,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,1
fpic73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.44,0.3,0.0,0.0,11
fpj635,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.11,0.01,0.01,0.01,0.01,0.34,14
fpk0w8,0.0,0.0,0.08,0.12,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.4,0.2,13
fpk8dn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.47,0.0,0.0,0.0,10
fpkpxh,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.35,0.02,0.36,0.02,0.02,0.02,0.02,0.02,9
fpkwrb,0.0,0.05,0.29,0.04,0.0,0.0,0.26,0.0,0.0,0.12,0.0,0.0,0.18,0.06,0.0,2
fplgo7,0.0,0.0,0.18,0.0,0.0,0.08,0.31,0.0,0.22,0.0,0.07,0.14,0.0,0.0,0.0,6
fpne81,0.0,0.07,0.0,0.0,0.0,0.29,0.51,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.0,6
fpoaw1,0.0,0.57,0.0,0.0,0.29,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fpps50,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.11,8
fppwid,0.44,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0
fpq45p,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.37,0.01,0.01,1
fprjez,0.0,0.0,0.59,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,2
fprs6y,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.7,0.03,0.09,12
fps7mg,0.0,0.0,0.0,0.14,0.0,0.17,0.0,0.0,0.39,0.04,0.02,0.23,0.0,0.0,0.0,8
fpv7xi,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.11,0.31,0.0,0.0,0.0,5
fpxpd0,0.0,0.0,0.17,0.02,0.0,0.14,0.04,0.0,0.21,0.05,0.01,0.0,0.33,0.03,0.0,12
fpxufg,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,0.43,0.0,0.2,0.0,0.0,0.0,0.0,8
fpxx44,0.0,0.0,0.12,0.05,0.31,0.0,0.0,0.34,0.0,0.0,0.09,0.0,0.07,0.0,0.0,7
fpxz6w,0.01,0.19,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,5
fpy9rr,0.28,0.0,0.02,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.4,0.13,0.07,0.0,0.0,10
fpz2mz,0.21,0.16,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
fq0apk,0.36,0.0,0.11,0.18,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.18,0.0,0.0,0.0,0
fq4uzy,0.08,0.08,0.0,0.07,0.0,0.32,0.0,0.0,0.22,0.0,0.0,0.15,0.0,0.0,0.08,5
fq77i7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,14
fqd2pa,0.0,0.0,0.0,0.04,0.03,0.1,0.0,0.0,0.0,0.0,0.4,0.42,0.0,0.0,0.0,11
fqejlj,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.34,0.0,0.0,0.08,0.3,0.0,0.0,0.0,7
fqfg0a,0.53,0.0,0.0,0.0,0.0,0.33,0.08,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0
fqioql,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01,11
fqjmf4,0.0,0.08,0.13,0.07,0.0,0.0,0.0,0.09,0.1,0.33,0.0,0.0,0.19,0.0,0.0,9
fql32x,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.09,0.0,0.0,0.09,0.41,0.0,0.06,0.12,11
fqlhkg,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.16,0.37,0.0,0.33,0.02,0.0,0.0,9
fqlki3,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.53,0.0,0.0,0.35,11
fqmz91,0.01,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.27,11
fqnseg,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3
fqp3ov,0.12,0.0,0.0,0.0,0.09,0.0,0.0,0.32,0.0,0.0,0.45,0.0,0.0,0.0,0.0,10
fqqyc3,0.0,0.0,0.0,0.05,0.0,0.79,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,5
fqt10d,0.01,0.01,0.01,0.49,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
fqusiy,0.32,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,11
fqvsjm,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,12
fqw7u2,0.0,0.0,0.0,0.03,0.08,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.49,0.14,0.06,12
fqwacy,0.21,0.24,0.0,0.0,0.29,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
fqxic4,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.1,0.4,0.02,0.0,12
fqyfin,0.16,0.0,0.0,0.0,0.0,0.0,0.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,6
fqzja3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.1,0.48,0.0,0.0,12
fqzyx1,0.0,0.15,0.06,0.0,0.0,0.0,0.0,0.03,0.41,0.0,0.0,0.19,0.06,0.09,0.0,8
fr09j0,0.17,0.0,0.16,0.0,0.0,0.0,0.12,0.23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8
fr0zcn,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.31,0.32,0.03,0.0,12
fr1crd,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.11,0.0,0.23,0.0,0.0,0.13,8
fr3gzi,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.07,0.2,0.0,0.0,0.33,0.0,0.0,0.0,2
fr48pz,0.0,0.0,0.0,0.35,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
fr9d9t,0.0,0.0,0.06,0.16,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,5
fr9qr0,0.0,0.43,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1
fr9v17,0.04,0.06,0.0,0.07,0.0,0.24,0.0,0.04,0.15,0.02,0.0,0.18,0.2,0.0,0.0,5
fraaob,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.31,0.0,2
frae6w,0.01,0.01,0.01,0.01,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,4
frezb9,0.0,0.0,0.0,0.1,0.0,0.26,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,6
frfitr,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,5
frfoio,0.0,0.0,0.0,0.11,0.38,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,9
frfxtg,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.18,0.0,0.0,0.0,0.17,0.3,0.17,0.0,12
frgrg0,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.19,0.0,0.37,0.0,13
frgxj6,0.09,0.0,0.11,0.0,0.2,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.53,0.0,0.0,12
frhnvr,0.0,0.0,0.12,0.0,0.0,0.0,0.34,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,9
frhzor,0.08,0.0,0.0,0.0,0.34,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4
fri280,0.2,0.0,0.07,0.25,0.22,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
frkero,0.0,0.0,0.26,0.13,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.31,0.09,0.0,12
frkmvy,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.29,0.0,0.0,0.0,0.4,0.13,0.0,12
frljtz,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.12,0.1,0.11,0.06,0.0,5
frn6bx,0.0,0.0,0.24,0.08,0.0,0.08,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
frokhu,0.0,0.0,0.0,0.26,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.38,0.08,0.0,0.18,11
frqbkt,0.24,0.24,0.0,0.0,0.16,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
frqzzb,0.0,0.0,0.0,0.1,0.1,0.59,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,5
frtk8r,0.15,0.0,0.0,0.0,0.52,0.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4
frvh2l,0.0,0.0,0.09,0.22,0.07,0.0,0.34,0.0,0.0,0.15,0.0,0.12,0.0,0.0,0.0,6
frvwao,0.04,0.12,0.36,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.04,0.0,0.0,0.21,0.0,2
frwbtz,0.0,0.2,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,3
frykrn,0.04,0.0,0.18,0.0,0.0,0.2,0.0,0.0,0.31,0.05,0.07,0.15,0.0,0.0,0.0,8
frynth,0.14,0.11,0.26,0.0,0.09,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
frz2dh,0.0,0.12,0.0,0.24,0.08,0.44,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,5
frz84k,0.0,0.0,0.0,0.13,0.1,0.0,0.14,0.26,0.0,0.0,0.0,0.0,0.0,0.34,0.0,13
fs1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.43,9
fs1t84,0.13,0.0,0.1,0.0,0.0,0.0,0.46,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,6
fs2sms,0.0,0.0,0.15,0.05,0.0,0.14,0.0,0.0,0.2,0.09,0.08,0.1,0.04,0.15,0.0,8
fs35tl,0.11,0.0,0.06,0.03,0.0,0.0,0.0,0.02,0.0,0.11,0.0,0.59,0.06,0.0,0.01,11
fs3pqx,0.0,0.0,0.0,0.14,0.24,0.4,0.0,0.02,0.0,0.0,0.0,0.05,0.15,0.0,0.0,5
fs4kkp,0.0,0.0,0.0,0.0,0.11,0.0,0.08,0.16,0.53,0.0,0.0,0.05,0.0,0.06,0.0,8
fs4oqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.26,0.0,0.32,0.0,0.0,0.0,8
fs5amz,0.0,0.0,0.42,0.13,0.0,0.18,0.08,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,2
fs5xh9,0.01,0.26,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.14,0.01,0.01,7
fssn9m,0.0,0.07,0.04,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.64,0.0,0.0,12
ft1mkn,0.0,0.27,0.0,0.07,0.0,0.0,0.12,0.0,0.31,0.0,0.0,0.21,0.0,0.0,0.0,8
ft24ij,0.0,0.0,0.0,0.03,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.28,0.0,4
ft2jjc,0.0,0.45,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.14,0.0,1
ft2nnq,0.0,0.0,0.24,0.0,0.06,0.33,0.0,0.08,0.0,0.27,0.02,0.0,0.0,0.0,0.0,5
ft2tcq,0.01,0.01,0.4,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.01,0.01,2
ft31wv,0.27,0.0,0.16,0.0,0.0,0.0,0.0,0.08,0.11,0.0,0.0,0.29,0.0,0.06,0.0,11
ft54r9,0.0,0.0,0.0,0.07,0.7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4
ft7bmi,0.0,0.0,0.0,0.27,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
ft85sb,0.0,0.28,0.0,0.0,0.14,0.0,0.0,0.22,0.0,0.0,0.0,0.34,0.0,0.0,0.0,11
ft8bv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.43,0.16,0.0,0.0,0.3,0.07,0.0,8
ft8wzt,0.31,0.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,1
ft9di8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0
ft9w8w,0.0,0.21,0.0,0.08,0.0,0.0,0.0,0.08,0.22,0.0,0.28,0.0,0.0,0.0,0.1,10
ft9wzc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.54,0.0,0.0,0.2,11
ft9z3j,0.0,0.31,0.0,0.04,0.53,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
ftb5bo,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.48,0.11,0.0,0.0,11
ftbrlx,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,12
ftc1gk,0.0,0.16,0.03,0.11,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.05,0.1,0.08,8
ftci4j,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.33,14
ftd1ns,0.0,0.0,0.0,0.0,0.0,0.34,0.06,0.0,0.35,0.0,0.0,0.21,0.0,0.0,0.0,8
ftd8r1,0.11,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
ftdax4,0.14,0.0,0.0,0.37,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.24,0.0,0.0,3
ftdfro,0.0,0.0,0.0,0.14,0.46,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,4
ftdnfp,0.22,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.22,0.0,0.0,0.11,3
fteeqr,0.15,0.08,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.13,0.0,0.0,0.04,0.01,0.47,14
fteqwv,0.07,0.0,0.34,0.02,0.11,0.0,0.0,0.04,0.15,0.03,0.0,0.0,0.2,0.04,0.0,2
ftfl85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.3,0.0,0.0,0.0,10
ftfvkd,0.05,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0.23,0.0,0.0,0.31,0.32,0.0,0.0,12
ftjevw,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.23,0.0,0.0,0.34,0.34,0.0,0.0,11
ftk7l8,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,12
ftl8iv,0.03,0.0,0.0,0.0,0.07,0.24,0.0,0.0,0.3,0.0,0.0,0.36,0.0,0.0,0.0,11
ftmq3u,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.18,0.38,0.0,0.03,12
ftqf64,0.14,0.0,0.07,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.02,0.33,0.3,0.0,0.0,11
ftqgg2,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.71,0.19,0.0,0.0,11
ftrwxg,0.0,0.1,0.09,0.07,0.04,0.13,0.51,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,6
ftt42e,0.0,0.03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.12,0.0,5
ftutz6,0.0,0.0,0.03,0.03,0.07,0.44,0.0,0.0,0.03,0.02,0.11,0.19,0.0,0.08,0.0,5
ftvc8m,0.0,0.0,0.0,0.0,0.14,0.19,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.1,8
ftwngw,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.1,0.0,0.0,1
ftydpo,0.24,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.36,14
ftydq7,0.16,0.2,0.06,0.03,0.01,0.0,0.0,0.0,0.18,0.0,0.0,0.21,0.04,0.03,0.08,11
ftyf7c,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3
ftyk1a,0.13,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.23,11
ftyk2d,0.0,0.0,0.0,0.26,0.0,0.16,0.0,0.0,0.0,0.06,0.0,0.45,0.0,0.0,0.04,11
ftz1z6,0.0,0.0,0.16,0.0,0.0,0.12,0.16,0.0,0.21,0.0,0.0,0.34,0.0,0.0,0.0,11
fu0l5t,0.0,0.0,0.0,0.0,0.42,0.15,0.0,0.14,0.0,0.0,0.0,0.26,0.0,0.0,0.0,4
fu101x,0.19,0.0,0.0,0.2,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,11
fu1ip7,0.12,0.0,0.06,0.08,0.07,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,6
fu1pbv,0.12,0.0,0.06,0.08,0.07,0.0,0.53,0.0,0.0,0.0,0.02,0.0,0.12,0.0,0.0,6
fu1soh,0.16,0.0,0.08,0.1,0.08,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,6
fu1zt7,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.22,11
fu2b5q,0.0,0.04,0.0,0.0,0.09,0.35,0.0,0.0,0.02,0.02,0.0,0.25,0.07,0.11,0.05,5
fu2kpd,0.09,0.07,0.08,0.0,0.0,0.0,0.08,0.0,0.18,0.0,0.0,0.28,0.0,0.0,0.21,11
fu2wi5,0.09,0.0,0.34,0.0,0.0,0.19,0.0,0.0,0.13,0.09,0.15,0.0,0.0,0.0,0.0,2
fu3qmr,0.0,0.0,0.34,0.0,0.0,0.06,0.0,0.07,0.17,0.0,0.0,0.11,0.14,0.1,0.0,2
fu59l1,0.0,0.0,0.0,0.08,0.0,0.46,0.0,0.0,0.0,0.0,0.2,0.16,0.09,0.0,0.0,5
fuajhn,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.66,0.01,0.01,12
fuayr2,0.21,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,8
fubgc7,0.05,0.0,0.0,0.14,0.0,0.56,0.0,0.05,0.0,0.0,0.0,0.09,0.11,0.0,0.0,5
fuclwx,0.0,0.19,0.0,0.14,0.09,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.36,0.0,13
fudk8s,0.0,0.06,0.09,0.09,0.0,0.21,0.12,0.0,0.34,0.0,0.0,0.07,0.0,0.0,0.0,8
fuflqa,0.16,0.12,0.05,0.0,0.15,0.2,0.0,0.0,0.0,0.0,0.01,0.11,0.16,0.03,0.0,5
fugwe2,0.05,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.12,0.36,0.01,0.19,0.0,0.02,0.0,9
fuhun2,0.0,0.0,0.0,0.04,0.03,0.59,0.0,0.0,0.0,0.0,0.11,0.08,0.0,0.15,0.0,5
fuhv3c,0.0,0.33,0.0,0.06,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,4
fuja8w,0.0,0.0,0.0,0.22,0.0,0.32,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.19,5
