,t0 help,t1 control,t2 want,t3 symptom,t4 ultrasound,t5 nt,t6 ovary,t7 bleeding,t8 bad,t9 surgery,dominant_topic
543p9j,0.02,0.1,0.08,0.06,0.08,0.43,0.06,0.15,0.0,0.02,5
54alzp,0.09,0.1,0.0,0.0,0.43,0.09,0.0,0.27,0.0,0.0,4
54bsap,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.0,0.57,0.0,8
54s7cs,0.0,0.05,0.09,0.0,0.14,0.3,0.41,0.0,0.0,0.0,6
54ukgt,0.0,0.0,0.21,0.0,0.15,0.04,0.53,0.06,0.0,0.0,6
54wzn2,0.0,0.29,0.0,0.05,0.64,0.0,0.0,0.0,0.0,0.0,4
5543i3,0.28,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0.47,0.0,8
55ge5c,0.07,0.0,0.49,0.0,0.03,0.0,0.0,0.11,0.3,0.0,2
57dxbq,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.41,0.0,0.16,4
580q1c,0.0,0.16,0.0,0.06,0.53,0.14,0.0,0.0,0.0,0.1,4
5882a7,0.09,0.13,0.0,0.0,0.0,0.0,0.03,0.28,0.4,0.05,8
58czms,0.0,0.38,0.19,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7
5aw3cu,0.14,0.09,0.17,0.02,0.0,0.0,0.09,0.0,0.22,0.27,9
5bdruc,0.26,0.03,0.03,0.03,0.03,0.03,0.03,0.54,0.03,0.03,7
5c0qjb,0.0,0.05,0.07,0.0,0.11,0.64,0.0,0.0,0.12,0.0,5
5c5zq6,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.32,0.37,0.0,8
5c8fw6,0.31,0.02,0.02,0.19,0.02,0.38,0.02,0.02,0.02,0.02,5
5cbo4h,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5cheix,0.06,0.0,0.15,0.0,0.44,0.0,0.34,0.0,0.0,0.0,4
5dafxy,0.0,0.24,0.17,0.0,0.0,0.0,0.0,0.26,0.0,0.31,9
5e4rpe,0.0,0.05,0.39,0.0,0.0,0.31,0.18,0.0,0.07,0.0,2
5e6ga7,0.19,0.05,0.12,0.0,0.0,0.48,0.0,0.0,0.07,0.09,5
5ebq1k,0.0,0.0,0.14,0.1,0.16,0.0,0.12,0.35,0.14,0.0,7
5ekgjj,0.0,0.0,0.0,0.0,0.71,0.26,0.0,0.0,0.0,0.0,4
5ex8ra,0.05,0.1,0.0,0.0,0.48,0.36,0.0,0.0,0.0,0.0,4
5f4sia,0.27,0.0,0.2,0.0,0.0,0.24,0.09,0.0,0.13,0.06,0
5fbefw,0.0,0.0,0.13,0.0,0.0,0.41,0.0,0.0,0.44,0.0,8
5g762b,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0
5gny80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.42,0.09,7
5hc7ui,0.0,0.0,0.06,0.22,0.09,0.1,0.0,0.14,0.39,0.0,8
5hez78,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.68,0.23,8
5hioxu,0.01,0.15,0.34,0.01,0.01,0.01,0.19,0.01,0.01,0.28,2
5hr0os,0.0,0.02,0.0,0.0,0.22,0.0,0.16,0.38,0.12,0.09,7
5hs5yn,0.1,0.03,0.0,0.06,0.18,0.52,0.0,0.0,0.0,0.11,5
5hynyk,0.2,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.01,0.4,9
5hzh79,0.0,0.0,0.12,0.0,0.0,0.42,0.0,0.0,0.0,0.44,9
5jhco8,0.16,0.0,0.0,0.08,0.47,0.07,0.09,0.0,0.13,0.0,4
5jinae,0.0,0.04,0.0,0.25,0.31,0.0,0.0,0.0,0.39,0.0,8
5kdknt,0.0,0.05,0.0,0.0,0.0,0.19,0.0,0.45,0.31,0.0,7
5kom5u,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
5kw24v,0.0,0.0,0.11,0.0,0.0,0.07,0.0,0.36,0.44,0.0,8
5lhfsg,0.22,0.07,0.29,0.11,0.0,0.0,0.0,0.28,0.0,0.0,2
5lvthq,0.0,0.0,0.35,0.14,0.27,0.0,0.09,0.0,0.0,0.15,2
5mdsfo,0.0,0.0,0.0,0.0,0.27,0.51,0.0,0.18,0.0,0.0,5
5mh32p,0.0,0.0,0.0,0.12,0.66,0.0,0.0,0.0,0.2,0.0,4
5mqd9y,0.0,0.0,0.26,0.0,0.0,0.15,0.18,0.0,0.39,0.0,8
5n0id4,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.55,9
5nxhkq,0.46,0.0,0.24,0.0,0.0,0.0,0.12,0.0,0.18,0.0,0
5nyeyn,0.0,0.13,0.0,0.0,0.0,0.24,0.0,0.47,0.0,0.15,7
5o9eg3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.47,5
5oe9o6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,9
5ofzog,0.0,0.03,0.0,0.0,0.0,0.64,0.18,0.0,0.0,0.13,5
5ok0m4,0.01,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.34,0.01,3
5onjzc,0.0,0.0,0.0,0.1,0.0,0.42,0.09,0.0,0.38,0.0,5
5osk5n,0.0,0.0,0.0,0.0,0.0,0.63,0.35,0.0,0.0,0.0,5
5p57bs,0.0,0.0,0.54,0.0,0.0,0.43,0.0,0.0,0.0,0.0,2
5pinz2,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.38,0.4,9
5pri3q,0.58,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5pzrfy,0.0,0.13,0.0,0.0,0.21,0.0,0.15,0.5,0.0,0.0,7
5q47f1,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.3,0.0,3
5q5qvf,0.01,0.06,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
5qfnnj,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.44,0.0,3
5qfond,0.0,0.09,0.06,0.1,0.23,0.0,0.21,0.18,0.13,0.0,4
5r2ry5,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.23,8
5r51kw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,9
5rgnv4,0.0,0.1,0.37,0.0,0.0,0.0,0.0,0.43,0.0,0.08,7
5rmlaa,0.0,0.0,0.0,0.0,0.0,0.38,0.58,0.0,0.0,0.0,6
5rv91w,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.09,0.2,0.45,9
5rxp58,0.0,0.0,0.0,0.52,0.27,0.0,0.0,0.0,0.1,0.1,3
5s9ydn,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5sa82k,0.0,0.22,0.15,0.0,0.0,0.0,0.0,0.41,0.21,0.0,7
5shkwu,0.0,0.04,0.23,0.0,0.0,0.0,0.0,0.0,0.6,0.11,8
5sk5xd,0.01,0.01,0.01,0.01,0.33,0.01,0.38,0.24,0.01,0.01,6
5skvsq,0.08,0.02,0.16,0.0,0.1,0.08,0.05,0.05,0.47,0.0,8
5slp87,0.0,0.04,0.06,0.0,0.0,0.39,0.32,0.0,0.08,0.1,5
5slssh,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,9
5t1rly,0.08,0.0,0.0,0.0,0.33,0.18,0.17,0.0,0.24,0.0,4
5ublbw,0.08,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.48,0.07,8
5ui1yd,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.11,0.0,2
5urbwk,0.0,0.03,0.06,0.06,0.0,0.25,0.15,0.0,0.43,0.0,8
5uw8b5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.49,0.14,8
5vgcii,0.08,0.17,0.71,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2
5vjkhk,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
5vpo9w,0.0,0.18,0.37,0.0,0.0,0.0,0.25,0.19,0.0,0.0,2
5vqkj6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.43,8
5vwhfc,0.01,0.01,0.01,0.01,0.01,0.42,0.28,0.01,0.24,0.01,5
5vzz7z,0.34,0.0,0.0,0.03,0.0,0.14,0.0,0.0,0.41,0.07,8
5w6k4b,0.0,0.0,0.0,0.3,0.08,0.19,0.0,0.0,0.41,0.02,8
5w847x,0.0,0.0,0.0,0.0,0.21,0.14,0.13,0.04,0.47,0.0,8
5wb08k,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,7
5wgkrm,0.01,0.01,0.01,0.01,0.01,0.41,0.01,0.01,0.01,0.55,9
5wjcmn,0.0,0.0,0.0,0.42,0.0,0.45,0.0,0.0,0.0,0.11,5
5wl5ov,0.36,0.0,0.43,0.0,0.0,0.17,0.0,0.0,0.0,0.0,2
5x6n3c,0.23,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.26,0.01,3
5xmlz7,0.82,0.0,0.0,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0
5xqkv6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,8
5xqs9d,0.0,0.0,0.0,0.15,0.68,0.0,0.0,0.0,0.0,0.14,4
5xrjpm,0.0,0.0,0.22,0.23,0.0,0.0,0.0,0.0,0.46,0.07,8
5xw0tv,0.0,0.08,0.0,0.13,0.07,0.64,0.0,0.08,0.0,0.0,5
5xzrjt,0.0,0.0,0.62,0.0,0.0,0.36,0.0,0.0,0.0,0.0,2
5y2xhr,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.59,0.2,8
5y4zug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.59,0.05,8
5yc704,0.0,0.03,0.0,0.0,0.0,0.0,0.2,0.0,0.76,0.0,8
5yc8g2,0.0,0.34,0.19,0.12,0.0,0.0,0.0,0.33,0.0,0.0,1
5yn5qt,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.16,0.52,0.0,8
5yoxes,0.0,0.22,0.0,0.1,0.0,0.0,0.0,0.34,0.32,0.0,7
5z6sng,0.0,0.06,0.0,0.0,0.2,0.0,0.32,0.0,0.17,0.25,6
5zfs44,0.0,0.1,0.12,0.0,0.26,0.24,0.09,0.19,0.0,0.0,4
5zru2c,0.0,0.0,0.28,0.0,0.0,0.69,0.0,0.0,0.0,0.0,5
60o3vr,0.0,0.0,0.57,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2
60ry7a,0.0,0.13,0.11,0.04,0.0,0.1,0.04,0.23,0.22,0.15,7
60scc7,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,0
60wvn8,0.05,0.12,0.46,0.0,0.34,0.0,0.0,0.0,0.0,0.0,2
61gw6i,0.0,0.0,0.2,0.0,0.0,0.45,0.23,0.11,0.0,0.0,5
61p9xp,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.21,0.4,0.3,8
62hdsg,0.25,0.0,0.38,0.0,0.14,0.0,0.0,0.0,0.0,0.2,2
633qwq,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
63f0sg,0.0,0.0,0.0,0.33,0.24,0.13,0.0,0.0,0.28,0.0,3
