,t0 pregnant,t1 amp,t2 help,t3 weight,t4 symptom,t5 ultrasound,t6 tissue,t7 surgery,t8 nt,t9 surgery,t10 experience,t11 back,t12 nt,t13 pill,t14 control,dominant_topic
41w9xk,0.03,0.0,0.0,0.03,0.0,0.38,0.0,0.12,0.1,0.0,0.11,0.0,0.16,0.07,0.0,5
41yyq5,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.61,0.0,0.15,0.08,0.0,0.0,0.0,0.0,7
420ob8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.14,0.12,0.0,0.0,0.21,0.0,7
42miop,0.0,0.0,0.0,0.24,0.19,0.29,0.0,0.0,0.09,0.0,0.0,0.06,0.1,0.05,0.0,5
42uqtw,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.7,0.0,0.2,12
45oe0x,0.04,0.01,0.0,0.0,0.37,0.31,0.01,0.07,0.03,0.1,0.0,0.0,0.0,0.02,0.05,4
46dogt,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.15,0.0,0.0,0.73,0.0,0.0,12
46ks4t,0.03,0.01,0.0,0.0,0.21,0.44,0.0,0.13,0.0,0.06,0.0,0.0,0.12,0.0,0.0,5
46lyie,0.0,0.0,0.08,0.0,0.0,0.22,0.0,0.05,0.44,0.0,0.16,0.0,0.04,0.0,0.0,8
46tbv8,0.01,0.0,0.0,0.02,0.11,0.07,0.0,0.0,0.39,0.0,0.0,0.11,0.09,0.0,0.2,8
46vsfq,0.02,0.0,0.0,0.08,0.0,0.23,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.37,14
49jleq,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,10
49kc1k,0.0,0.0,0.0,0.0,0.35,0.15,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.0,0.28,4
49pmhh,0.06,0.0,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.17,0.14,0.0,0.0,0.09,0.0,7
4ajgda,0.0,0.0,0.09,0.0,0.0,0.0,0.05,0.68,0.0,0.0,0.0,0.0,0.0,0.16,0.0,7
4b7k4u,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.17,0.25,0.0,9
4bj8ty,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.57,0.0,13
4c38vd,0.0,0.0,0.0,0.0,0.31,0.21,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.28,0.0,4
4ced9v,0.0,0.0,0.0,0.0,0.09,0.38,0.0,0.0,0.2,0.21,0.0,0.0,0.0,0.04,0.08,5
4ctv7z,0.0,0.0,0.0,0.05,0.55,0.03,0.01,0.07,0.0,0.0,0.0,0.0,0.19,0.09,0.0,4
4cypke,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.04,0.0,0.0,0.06,0.08,0.48,0.17,0.0,12
4dy658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.27,0.2,0.0,0.22,0.0,0.08,9
4e0a9p,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,9
4e9dvx,0.0,0.01,0.0,0.0,0.13,0.07,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.39,0.21,13
4ebzv9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.3,0.13,8
4ed9hf,0.0,0.0,0.03,0.04,0.58,0.19,0.0,0.0,0.0,0.0,0.03,0.13,0.0,0.0,0.0,4
4enwzr,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.0,0.45,0.0,0.0,0.0,0.0,10
4f434h,0.0,0.0,0.02,0.01,0.07,0.0,0.0,0.06,0.62,0.0,0.04,0.09,0.0,0.04,0.04,8
4fv6n5,0.0,0.0,0.0,0.0,0.52,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4glsui,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.32,0.37,0.0,13
4h2itk,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.1,0.26,0.34,0.03,0.04,0.16,0.01,0.0,9
4h8yqw,0.0,0.01,0.0,0.02,0.12,0.0,0.0,0.17,0.14,0.0,0.46,0.0,0.0,0.08,0.0,10
4hhww7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.12,0.72,0.0,0.0,0.0,11
4hr2yd,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.18,0.0,0.28,0.22,0.0,0.0,0.0,0.0,9
4idvyx,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.19,0.27,0.0,0.0,0.0,0.33,0.0,0.12,12
4ihvj4,0.0,0.0,0.0,0.0,0.16,0.5,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.06,0.0,5
4kgby6,0.0,0.06,0.0,0.0,0.13,0.16,0.0,0.0,0.2,0.03,0.06,0.21,0.15,0.0,0.0,11
4l2epp,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7
4l9p6d,0.02,0.0,0.06,0.0,0.0,0.46,0.02,0.0,0.17,0.11,0.0,0.0,0.15,0.0,0.0,5
4mavep,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,8
4mfexy,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.1,0.0,0.0,0.23,0.0,0.0,0.08,0.34,14
4mfgv8,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.26,0.45,0.01,0.01,0.01,0.01,0.01,9
4n5ai7,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.22,0.15,0.24,14
4nqph1,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.17,0.0,0.0,0.07,0.16,0.0,0.29,5
4o3vh1,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.37,0.17,0.14,12
4ogywq,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,4
4oy777,0.0,0.0,0.06,0.0,0.31,0.1,0.0,0.09,0.0,0.1,0.0,0.0,0.0,0.2,0.13,4
4p6q28,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.18,0.3,0.0,0.0,0.0,0.0,0.05,0.15,5
4prwt3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,10
4prxwa,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,0.01,0.01,0.01,0.01,10
4pu15f,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.26,0.15,0.16,0.0,0.0,0.28,14
4q8hs6,0.16,0.0,0.1,0.0,0.17,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.37,0.0,0.14,12
4sp71k,0.05,0.0,0.0,0.0,0.0,0.45,0.0,0.11,0.0,0.05,0.12,0.0,0.0,0.03,0.19,5
4sqyt9,0.0,0.0,0.0,0.0,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.44,14
4st9gt,0.12,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,12
4swn6p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.37,0.0,0.0,0.0,7
4t28gp,0.02,0.01,0.0,0.01,0.0,0.05,0.01,0.25,0.2,0.0,0.0,0.2,0.0,0.08,0.18,7
4t9kuf,0.0,0.0,0.3,0.07,0.0,0.1,0.0,0.14,0.0,0.13,0.25,0.0,0.0,0.0,0.0,2
4tq7ze,0.04,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.07,0.25,0.0,0.31,0.1,0.0,12
4tuhva,0.0,0.01,0.05,0.0,0.0,0.2,0.0,0.0,0.23,0.08,0.13,0.05,0.18,0.0,0.06,8
4tvg8f,0.0,0.0,0.0,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.12,0.38,14
4ty3i4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,8
4u7y1e,0.0,0.0,0.17,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,4
4ucv8n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,12
4ue1h2,0.0,0.0,0.02,0.05,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.07,4
4ur8j7,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.19,0.42,0.0,0.12,0.12,11
4w8ud4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.41,0.01,0.01,0.01,0.01,7
4wczvd,0.01,0.01,0.0,0.03,0.06,0.0,0.0,0.17,0.0,0.0,0.07,0.11,0.48,0.08,0.0,12
4xp06e,0.0,0.0,0.21,0.0,0.0,0.14,0.0,0.0,0.0,0.08,0.0,0.0,0.11,0.32,0.14,13
4xqlfk,0.0,0.0,0.0,0.0,0.26,0.33,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,5
