,t0 medication,t1 chronic,t2 help,t3 else,t4 weight,t5 right,t6 covid,t7 week,t8 sex,t9 side,t10 woman,t11 nt,t12 told,t13 control,t14 cramp,t15 surgery,t16 really,t17 nt,t18 cyst,t19 amp,dominant_topic
3siss2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.05,0.0,0.0,0.29,0.0,0.0,11
3sk7z0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.26,0.12,0.0,0.02,8
3sxcz6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,8
3th7m0,0.0,0.0,0.16,0.0,0.0,0.46,0.0,0.06,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3tm3m6,0.0,0.0,0.0,0.02,0.05,0.06,0.0,0.0,0.0,0.0,0.05,0.38,0.09,0.0,0.06,0.23,0.05,0.0,0.0,0.0,11
3tv6m3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.01,0.0,0.69,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,11
3tzf7p,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.19,0.0,0.25,0.0,0.0,0.2,0.0,0.1,0.13,0.0,12
3u184r,0.0,0.0,0.4,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,2
3u2vjb,0.0,0.0,0.15,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.0,0.08,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,8
3u4id1,0.0,0.01,0.03,0.0,0.02,0.0,0.0,0.0,0.35,0.01,0.19,0.0,0.23,0.03,0.0,0.0,0.11,0.0,0.0,0.02,8
3u7r1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.32,0.0,0.0,9
3uax5b,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.03,0.06,0.0,0.0,0.09,0.39,0.0,0.0,0.15,0.0,0.0,14
3ufh1e,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.25,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,17
3uztfv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3vb0ev,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.24,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,8
3vejba,0.0,0.0,0.0,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.1,0.09,0.0,15
3vutxb,0.0,0.01,0.0,0.04,0.04,0.03,0.0,0.0,0.29,0.01,0.16,0.08,0.17,0.0,0.04,0.0,0.0,0.12,0.0,0.0,8
3w1v23,0.0,0.0,0.0,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.37,0.0,0.15,0.0,0.1,0.0,14
3x9tu9,0.0,0.0,0.05,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,3
3xdr7c,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.44,0.0,0.0,0.09,0.0,0.0,14
3y0yjd,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.19,0.0,0.0,0.09,0.0,0.24,0.0,0.0,0.3,0.0,0.0,0.0,0.01,15
3y1qnx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.06,0.1,0.0,0.19,0.0,0.4,0.0,0.09,0.05,0.0,15
3ygx4g,0.0,0.0,0.24,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.14,0.0,0.0,0.0,4
3ylg8r,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.06,0.05,0.0,0.0,0.57,0.1,0.0,17
