,t0 amp,t1 period,t2 nt,t3 sex,t4 symptom,t5 feel,t6 nt,t7 endometriosis,t8 control,t9 surgery,t10 day,t11 cyst,t12 pelvic,t13 advice,t14 else,dominant_topic
nppqgi,0.06,0.0,0.0,0.0,0.13,0.0,0.03,0.36,0.0,0.0,0.0,0.0,0.0,0.4,0.0,13
npqcl3,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1
nq074m,0.0,0.0,0.13,0.0,0.04,0.04,0.0,0.08,0.55,0.08,0.04,0.01,0.03,0.0,0.0,8
nq0ftx,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
nq203i,0.16,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.26,0.31,0.0,0.0,0.0,0.0,0.0,9
nq2cka,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.25,0.0,0.23,0.0,0.0,0.0,0.0,0.0,5
nq2y78,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.22,0.44,0.0,0.0,0.27,0.0,0.0,0.0,8
nq3sot,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.6,0.0,0.0,0.19,0.0,0.0,0.0,0.0,7
nq456n,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
nq5xp0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,9
nq78mb,0.0,0.0,0.0,0.0,0.0,0.51,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
nq7lk3,0.01,0.01,0.01,0.01,0.01,0.45,0.38,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.01,5
nq94t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.24,0.0,0.06,0.0,0.0,9
nqa1fr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.25,0.0,0.0,0.42,0.0,0.09,0.0,11
nqabnh,0.0,0.18,0.09,0.0,0.02,0.06,0.0,0.0,0.19,0.0,0.0,0.05,0.23,0.0,0.17,12
nqaowr,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.26,0.05,0.24,0.12,0.0,10
nqbnfq,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.4,0.33,0.0,0.15,0.0,0.0,0.0,0.0,7
nqc2hj,0.0,0.32,0.0,0.0,0.0,0.42,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
nqhjuc,0.09,0.19,0.08,0.0,0.34,0.1,0.0,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.0,4
nqjp2b,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.81,0.01,0.01,12
nqlvrs,0.0,0.0,0.0,0.07,0.41,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.25,0.06,0.0,4
nqlxmz,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.17,0.0,0.48,0.0,0.1,0.0,0.0,0.0,9
nqm7s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.21,0.0,0.39,0.0,0.0,0.0,11
nqmp7k,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
nqnlu9,0.0,0.0,0.0,0.0,0.24,0.05,0.0,0.04,0.0,0.23,0.38,0.0,0.01,0.0,0.04,10
nqnwwk,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
