,t0 amp,t1 period,t2 nt,t3 period,t4 ultrasound,t5 surgery,t6 control,t7 help,t8 doctor,t9 surgery,dominant_topic
4c38vd,0.0,0.33,0.09,0.0,0.12,0.0,0.45,0.0,0.0,0.0,6
4ced9v,0.0,0.16,0.21,0.0,0.27,0.0,0.13,0.0,0.0,0.23,4
4ctv7z,0.0,0.52,0.0,0.1,0.02,0.03,0.11,0.11,0.1,0.0,1
4cypke,0.0,0.0,0.16,0.09,0.0,0.03,0.34,0.05,0.32,0.0,6
4dy658,0.0,0.0,0.11,0.0,0.0,0.06,0.06,0.0,0.26,0.49,9
4e0a9p,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.75,9
4e9dvx,0.0,0.27,0.0,0.0,0.0,0.0,0.4,0.0,0.33,0.0,6
4ebzv9,0.0,0.0,0.54,0.0,0.0,0.0,0.43,0.0,0.0,0.0,2
4ed9hf,0.0,0.29,0.0,0.38,0.2,0.0,0.0,0.12,0.0,0.0,3
4enwzr,0.0,0.0,0.08,0.0,0.0,0.43,0.0,0.25,0.23,0.0,5
4f434h,0.01,0.0,0.56,0.25,0.0,0.0,0.09,0.01,0.0,0.07,2
4fv6n5,0.0,0.0,0.0,0.55,0.28,0.15,0.0,0.0,0.0,0.0,3
4glsui,0.05,0.23,0.25,0.0,0.0,0.0,0.13,0.0,0.32,0.0,8
4h2itk,0.0,0.02,0.38,0.0,0.0,0.0,0.0,0.03,0.0,0.56,9
4h8yqw,0.01,0.1,0.14,0.0,0.05,0.09,0.11,0.49,0.0,0.0,7
4hhww7,0.0,0.0,0.21,0.64,0.0,0.12,0.0,0.0,0.0,0.0,3
4hr2yd,0.01,0.01,0.17,0.01,0.01,0.17,0.01,0.01,0.34,0.29,8
4idvyx,0.0,0.11,0.38,0.0,0.0,0.0,0.14,0.0,0.0,0.36,2
4ihvj4,0.01,0.01,0.16,0.01,0.49,0.01,0.1,0.22,0.01,0.01,4
4kgby6,0.09,0.19,0.29,0.13,0.17,0.0,0.0,0.05,0.08,0.0,2
4l2epp,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,0.01,0.33,7
4l9p6d,0.0,0.0,0.22,0.11,0.26,0.11,0.0,0.0,0.3,0.0,8
4mavep,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4mfexy,0.0,0.4,0.0,0.0,0.0,0.13,0.19,0.26,0.0,0.0,1
4mfgv8,0.01,0.01,0.22,0.01,0.01,0.28,0.01,0.01,0.01,0.45,9
4n5ai7,0.07,0.0,0.12,0.0,0.0,0.13,0.54,0.0,0.0,0.14,6
4nqph1,0.0,0.0,0.14,0.17,0.17,0.0,0.14,0.0,0.38,0.0,8
4o3vh1,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.26,0.36,0.0,8
4ogywq,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.2,3
4oy777,0.0,0.18,0.0,0.07,0.12,0.0,0.44,0.0,0.0,0.18,6
4p6q28,0.0,0.0,0.18,0.03,0.25,0.13,0.25,0.0,0.15,0.0,4
4prwt3,0.01,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.18,0.01,5
4prxwa,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,5
4pu15f,0.02,0.1,0.0,0.11,0.0,0.33,0.18,0.13,0.0,0.13,5
4q8hs6,0.03,0.22,0.18,0.0,0.0,0.08,0.22,0.0,0.26,0.0,8
4sp71k,0.06,0.14,0.17,0.0,0.34,0.17,0.11,0.0,0.0,0.0,4
4sqyt9,0.0,0.23,0.0,0.0,0.05,0.0,0.72,0.0,0.0,0.0,6
4st9gt,0.01,0.3,0.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
4swn6p,0.0,0.0,0.0,0.28,0.0,0.0,0.18,0.0,0.0,0.51,9
4t28gp,0.01,0.05,0.13,0.18,0.05,0.12,0.23,0.0,0.13,0.11,6
4t9kuf,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.54,0.0,0.33,7
4tq7ze,0.1,0.33,0.24,0.0,0.0,0.0,0.09,0.14,0.0,0.09,1
4tuhva,0.0,0.0,0.29,0.05,0.14,0.0,0.12,0.1,0.17,0.13,2
4tvg8f,0.0,0.13,0.11,0.0,0.0,0.0,0.44,0.32,0.0,0.0,6
4ty3i4,0.0,0.0,0.81,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2
4u7y1e,0.05,0.0,0.11,0.54,0.0,0.0,0.0,0.0,0.0,0.29,3
4ucv8n,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,9
4ue1h2,0.0,0.21,0.05,0.09,0.2,0.0,0.03,0.09,0.33,0.0,8
4ur8j7,0.0,0.0,0.19,0.42,0.0,0.0,0.28,0.1,0.0,0.0,3
4w8ud4,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.21,0.01,5
4wczvd,0.01,0.23,0.05,0.04,0.0,0.05,0.05,0.06,0.43,0.08,8
4xp06e,0.0,0.0,0.0,0.0,0.02,0.0,0.55,0.0,0.0,0.42,6
4xqlfk,0.0,0.0,0.14,0.39,0.18,0.0,0.0,0.0,0.28,0.0,3
4xqtjt,0.0,0.47,0.14,0.01,0.08,0.0,0.15,0.0,0.14,0.0,1
4xtt3p,0.05,0.33,0.39,0.0,0.0,0.0,0.0,0.08,0.14,0.0,2
4xyqv1,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.43,0.01,0.01,2
4yald0,0.01,0.41,0.18,0.0,0.0,0.23,0.15,0.0,0.0,0.0,1
4zjy9z,0.0,0.0,0.0,0.3,0.0,0.03,0.47,0.0,0.2,0.0,6
5061ws,0.0,0.15,0.0,0.3,0.0,0.0,0.3,0.0,0.24,0.0,3
507zim,0.0,0.23,0.59,0.0,0.0,0.0,0.0,0.0,0.17,0.0,2
508opr,0.0,0.0,0.0,0.35,0.0,0.36,0.0,0.0,0.0,0.28,5
524te1,0.0,0.0,0.0,0.39,0.23,0.0,0.19,0.06,0.14,0.0,3
5301qz,0.14,0.2,0.49,0.0,0.0,0.11,0.0,0.0,0.06,0.0,2
53atcb,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.1,0.0,0.0,5
53hwr0,0.0,0.2,0.0,0.0,0.31,0.0,0.0,0.0,0.26,0.22,4
53l5k2,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.86,0.0,0.0,7
53ribd,0.0,0.0,0.25,0.0,0.0,0.56,0.0,0.16,0.0,0.0,5
53u57m,0.02,0.1,0.22,0.26,0.0,0.22,0.0,0.0,0.17,0.0,3
541ojj,0.01,0.01,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.38,5
543p9j,0.02,0.13,0.34,0.04,0.14,0.05,0.2,0.0,0.08,0.0,2
54alzp,0.0,0.17,0.0,0.0,0.33,0.0,0.44,0.06,0.0,0.0,6
54bsap,0.0,0.0,0.48,0.29,0.0,0.0,0.0,0.0,0.0,0.22,2
54s7cs,0.0,0.0,0.17,0.0,0.22,0.39,0.1,0.0,0.12,0.0,5
54ukgt,0.0,0.0,0.0,0.11,0.22,0.47,0.0,0.0,0.07,0.11,5
54wzn2,0.0,0.0,0.0,0.31,0.22,0.0,0.45,0.0,0.0,0.0,6
5543i3,0.05,0.4,0.27,0.0,0.0,0.0,0.0,0.27,0.0,0.0,1
55ge5c,0.02,0.33,0.15,0.0,0.0,0.0,0.1,0.4,0.0,0.0,7
57dxbq,0.0,0.39,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.21,1
580q1c,0.0,0.17,0.0,0.07,0.3,0.0,0.39,0.0,0.0,0.07,6
5882a7,0.03,0.26,0.29,0.06,0.0,0.0,0.27,0.0,0.0,0.07,2
58czms,0.0,0.1,0.0,0.0,0.0,0.0,0.71,0.17,0.0,0.0,6
5aw3cu,0.07,0.1,0.19,0.0,0.0,0.11,0.18,0.15,0.0,0.18,2
5bdruc,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
5c0qjb,0.0,0.04,0.59,0.0,0.23,0.0,0.14,0.0,0.0,0.0,2
5c5zq6,0.0,0.33,0.0,0.0,0.0,0.27,0.0,0.0,0.39,0.0,8
5c8fw6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.52,0.35,0.02,7
5cbo4h,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.84,0.01,0.01,7
5cheix,0.0,0.0,0.0,0.0,0.5,0.32,0.0,0.08,0.0,0.09,4
5dafxy,0.0,0.0,0.05,0.0,0.0,0.35,0.59,0.0,0.0,0.0,6
5e4rpe,0.0,0.0,0.34,0.0,0.0,0.28,0.05,0.0,0.32,0.0,2
5e6ga7,0.0,0.0,0.44,0.0,0.09,0.0,0.12,0.12,0.09,0.12,2
5ebq1k,0.0,0.33,0.0,0.16,0.2,0.0,0.17,0.14,0.0,0.0,1
5ekgjj,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.08,0.0,0.24,4
5ex8ra,0.0,0.0,0.2,0.15,0.23,0.0,0.25,0.05,0.12,0.0,6
5f4sia,0.15,0.21,0.26,0.0,0.0,0.18,0.0,0.19,0.0,0.0,2
5fbefw,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.21,0.0,2
5g762b,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.46,0.0,0.0,2
5gny80,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5hc7ui,0.0,0.35,0.25,0.27,0.03,0.0,0.04,0.0,0.07,0.0,1
5hez78,0.0,0.21,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2
5hioxu,0.01,0.01,0.01,0.01,0.01,0.35,0.39,0.01,0.01,0.22,6
5hr0os,0.0,0.0,0.0,0.23,0.13,0.0,0.45,0.0,0.0,0.18,6
5hs5yn,0.0,0.0,0.2,0.08,0.1,0.0,0.08,0.11,0.34,0.09,8
5hynyk,0.01,0.01,0.01,0.01,0.01,0.27,0.01,0.15,0.01,0.51,9
5hzh79,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.44,0.31,8
5jhco8,0.0,0.14,0.2,0.07,0.45,0.03,0.0,0.11,0.0,0.0,4
5jinae,0.0,0.42,0.0,0.33,0.16,0.0,0.07,0.0,0.0,0.0,1
5kdknt,0.0,0.62,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,1
5kom5u,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
5kw24v,0.07,0.4,0.12,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1
5lhfsg,0.0,0.0,0.0,0.15,0.0,0.0,0.58,0.26,0.0,0.0,6
5lvthq,0.0,0.0,0.0,0.32,0.0,0.28,0.22,0.17,0.0,0.0,3
5mdsfo,0.0,0.0,0.34,0.0,0.0,0.13,0.5,0.0,0.0,0.0,6
5mh32p,0.0,0.37,0.0,0.4,0.22,0.0,0.0,0.0,0.0,0.0,3
5mqd9y,0.0,0.0,0.53,0.19,0.0,0.27,0.0,0.0,0.0,0.0,2
5n0id4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,0.33,8
5nxhkq,0.01,0.0,0.39,0.0,0.0,0.19,0.03,0.37,0.0,0.0,2
5nyeyn,0.09,0.24,0.0,0.0,0.0,0.0,0.39,0.0,0.19,0.09,6
5o9eg3,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.63,9
5oe9o6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,9
5ofzog,0.0,0.0,0.2,0.0,0.08,0.12,0.04,0.0,0.34,0.21,8
5ok0m4,0.01,0.01,0.16,0.79,0.01,0.01,0.01,0.01,0.01,0.01,3
5onjzc,0.0,0.0,0.17,0.24,0.0,0.06,0.0,0.0,0.52,0.0,8
5osk5n,0.0,0.0,0.29,0.0,0.11,0.24,0.0,0.0,0.0,0.33,9
5p57bs,0.08,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.23,0.0,2
