,t0 amp,t1 period,t2 nt,t3 period,t4 ultrasound,t5 surgery,t6 control,t7 help,t8 doctor,t9 surgery,dominant_topic
ise9mx,0.0,0.23,0.0,0.14,0.45,0.0,0.03,0.0,0.0,0.14,4
isepjt,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.43,0.0,0.29,7
isld6e,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,1
isok2t,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.6,9
isom4x,0.0,0.0,0.17,0.34,0.0,0.0,0.0,0.32,0.0,0.15,3
isr0j6,0.15,0.41,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,1
isrnlm,0.0,0.41,0.16,0.0,0.0,0.0,0.0,0.08,0.15,0.19,1
istsk7,0.0,0.04,0.0,0.0,0.35,0.0,0.25,0.0,0.21,0.15,4
isxj8m,0.0,0.08,0.13,0.34,0.0,0.0,0.0,0.0,0.44,0.0,8
isyw10,0.0,0.0,0.43,0.0,0.0,0.4,0.0,0.09,0.06,0.0,2
isz0ki,0.0,0.06,0.0,0.35,0.0,0.0,0.0,0.0,0.46,0.12,8
isz0xt,0.04,0.21,0.13,0.22,0.0,0.0,0.0,0.14,0.0,0.24,9
it3fch,0.37,0.23,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.2,0
it5bdx,0.0,0.29,0.58,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2
it6aos,0.0,0.12,0.0,0.29,0.24,0.0,0.0,0.2,0.1,0.05,3
it71qr,0.0,0.0,0.0,0.0,0.26,0.07,0.0,0.16,0.0,0.5,9
itcb7v,0.03,0.13,0.51,0.0,0.0,0.0,0.0,0.0,0.33,0.0,2
itdepq,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.53,9
itejve,0.0,0.17,0.38,0.0,0.0,0.25,0.0,0.13,0.0,0.07,2
ith9np,0.13,0.0,0.14,0.02,0.3,0.14,0.09,0.0,0.04,0.15,4
ithijz,0.0,0.0,0.26,0.0,0.25,0.12,0.22,0.0,0.0,0.15,2
itinn3,0.0,0.31,0.0,0.1,0.0,0.05,0.0,0.13,0.18,0.22,1
itjfik,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.73,0.0,0.0,7
itle6c,0.0,0.41,0.39,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1
itmfry,0.0,0.0,0.0,0.05,0.47,0.0,0.15,0.08,0.24,0.0,4
itp2s2,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
itptbc,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.29,0.42,9
itqxk3,0.0,0.35,0.0,0.2,0.0,0.11,0.0,0.0,0.19,0.14,1
itu0yd,0.0,0.41,0.06,0.42,0.0,0.0,0.06,0.0,0.0,0.05,3
iu7bjf,0.0,0.32,0.0,0.0,0.0,0.0,0.41,0.0,0.24,0.0,6
iu83pz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.46,7
iu9st5,0.0,0.0,0.0,0.46,0.0,0.0,0.27,0.0,0.0,0.26,3
iud8dr,0.04,0.0,0.0,0.0,0.0,0.29,0.0,0.64,0.0,0.0,7
iuem7k,0.0,0.0,0.32,0.24,0.12,0.0,0.0,0.0,0.3,0.0,2
iui6vc,0.0,0.59,0.0,0.0,0.0,0.13,0.14,0.0,0.13,0.0,1
iuj1os,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.09,0.0,0.13,2
iulocg,0.12,0.0,0.15,0.0,0.06,0.27,0.26,0.0,0.14,0.0,5
iuqv2e,0.02,0.0,0.0,0.13,0.25,0.0,0.52,0.03,0.06,0.0,6
iv4n4m,0.0,0.28,0.3,0.0,0.0,0.04,0.0,0.36,0.0,0.0,7
iv5t63,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.55,0.0,0.0,7
ivbhtg,0.0,0.0,0.0,0.3,0.0,0.22,0.0,0.0,0.23,0.24,3
ivcsi1,0.13,0.28,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.27,6
ivhxfk,0.0,0.51,0.21,0.0,0.0,0.02,0.0,0.0,0.0,0.25,1
ivq53b,0.0,0.12,0.59,0.0,0.0,0.0,0.0,0.0,0.29,0.0,2
ivqbyj,0.0,0.0,0.0,0.0,0.87,0.11,0.0,0.0,0.0,0.0,4
ivrqpd,0.0,0.32,0.15,0.15,0.26,0.0,0.11,0.0,0.0,0.0,1
ivxw09,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.42,0.0,0.32,7
iw5l8e,0.0,0.38,0.11,0.18,0.0,0.03,0.05,0.03,0.0,0.21,1
iwaf6o,0.0,0.08,0.4,0.07,0.0,0.0,0.0,0.11,0.0,0.32,2
iwe8qu,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
iwff20,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.14,0.0,0.41,6
iwgwxg,0.0,0.0,0.19,0.0,0.5,0.08,0.14,0.0,0.09,0.0,4
iwop3c,0.0,0.0,0.24,0.0,0.0,0.0,0.05,0.47,0.15,0.1,7
iwr0mw,0.0,0.12,0.06,0.01,0.12,0.15,0.04,0.0,0.47,0.04,8
ix17q2,0.0,0.32,0.13,0.25,0.07,0.0,0.19,0.0,0.0,0.03,1
ix2682,0.01,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,9
ix5iu8,0.06,0.46,0.17,0.12,0.0,0.0,0.13,0.0,0.0,0.05,1
ix7j6q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,7
ix8nmd,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
ixa1z8,0.0,0.0,0.24,0.07,0.0,0.0,0.0,0.67,0.0,0.0,7
ixaoz7,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.66,9
ixclgu,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.31,0.0,0.0,6
ixf093,0.0,0.0,0.0,0.28,0.32,0.0,0.0,0.0,0.0,0.39,9
ixhjln,0.0,0.33,0.0,0.13,0.0,0.0,0.14,0.0,0.35,0.04,8
iy04ij,0.0,0.0,0.31,0.0,0.33,0.0,0.06,0.0,0.0,0.28,4
iy06qi,0.0,0.0,0.0,0.04,0.0,0.0,0.27,0.0,0.55,0.14,8
iy33kx,0.0,0.0,0.0,0.05,0.49,0.0,0.2,0.0,0.0,0.25,4
iy36r5,0.0,0.0,0.59,0.34,0.0,0.0,0.0,0.0,0.0,0.06,2
iy39vs,0.0,0.0,0.65,0.0,0.0,0.32,0.0,0.0,0.0,0.0,2
iy3u2k,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.49,0.01,0.01,7
iy4415,0.0,0.0,0.18,0.55,0.24,0.0,0.0,0.0,0.0,0.0,3
iy9wb4,0.01,0.2,0.75,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
iydgag,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.01,0.01,7
iymkyi,0.01,0.33,0.01,0.01,0.2,0.01,0.01,0.43,0.01,0.01,7
iyp7yd,0.0,0.49,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,1
iyptvp,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.4,0.35,8
iyqmwh,0.0,0.0,0.48,0.0,0.0,0.0,0.16,0.34,0.0,0.0,2
iyrbrq,0.0,0.0,0.0,0.17,0.0,0.0,0.4,0.23,0.0,0.17,6
iywitv,0.0,0.3,0.4,0.0,0.11,0.0,0.0,0.18,0.0,0.0,2
iywxoq,0.0,0.0,0.02,0.4,0.0,0.0,0.2,0.15,0.21,0.0,3
iyxfdx,0.03,0.26,0.11,0.06,0.54,0.0,0.0,0.0,0.0,0.0,4
izh8z4,0.0,0.4,0.17,0.19,0.0,0.03,0.07,0.0,0.13,0.0,1
izm01m,0.01,0.03,0.1,0.0,0.0,0.0,0.09,0.0,0.77,0.0,8
izmum0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.26,0.0,0.4,9
izoz5q,0.0,0.0,0.0,0.0,0.03,0.43,0.0,0.0,0.28,0.26,5
izpgds,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.47,0.03,0.33,7
izt43i,0.03,0.33,0.0,0.07,0.07,0.0,0.09,0.04,0.31,0.06,1
iztvmw,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.58,0.01,8
izui4k,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.61,9
izw2hb,0.0,0.32,0.35,0.0,0.0,0.0,0.0,0.0,0.14,0.19,2
izwu9r,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.71,0.01,0.01,7
j03eaz,0.09,0.0,0.19,0.0,0.29,0.0,0.0,0.09,0.27,0.07,4
j0658o,0.0,0.0,0.0,0.35,0.0,0.12,0.06,0.22,0.23,0.0,3
j07mot,0.0,0.62,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.16,1
j09wfh,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.93,0.01,0.01,7
j0aqvo,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.15,1
j0c2me,0.0,0.25,0.0,0.0,0.0,0.37,0.0,0.15,0.22,0.0,5
j0g3jh,0.0,0.0,0.56,0.0,0.19,0.0,0.0,0.0,0.0,0.24,2
j0jn0k,0.0,0.0,0.27,0.22,0.0,0.0,0.0,0.0,0.0,0.49,9
j0n4gf,0.01,0.01,0.45,0.01,0.5,0.01,0.01,0.01,0.01,0.01,4
j0p1zl,0.0,0.0,0.0,0.0,0.0,0.54,0.29,0.14,0.0,0.0,5
j0pehu,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
j0xm29,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.62,9
j123bb,0.13,0.01,0.01,0.65,0.17,0.01,0.01,0.01,0.01,0.01,3
j151fo,0.0,0.2,0.22,0.0,0.12,0.06,0.11,0.0,0.26,0.03,8
j152so,0.0,0.11,0.4,0.0,0.2,0.11,0.0,0.0,0.0,0.18,2
j15mf9,0.0,0.08,0.0,0.04,0.0,0.0,0.05,0.17,0.0,0.65,9
j17e1i,0.11,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.45,9
j17n6l,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.9,0.01,0.01,7
j17uk1,0.0,0.0,0.0,0.0,0.08,0.0,0.34,0.11,0.46,0.0,8
j1crpo,0.0,0.43,0.0,0.17,0.0,0.0,0.0,0.37,0.0,0.0,1
j1dg4k,0.0,0.14,0.16,0.02,0.02,0.0,0.01,0.0,0.38,0.27,8
j1e07n,0.0,0.19,0.0,0.17,0.2,0.02,0.41,0.0,0.0,0.0,6
j1ezls,0.16,0.0,0.19,0.0,0.36,0.0,0.0,0.27,0.0,0.0,4
j1ise0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2
j1ptmp,0.0,0.0,0.17,0.0,0.0,0.0,0.52,0.0,0.0,0.29,6
j1szd5,0.01,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,3
j21xxk,0.0,0.15,0.71,0.0,0.0,0.0,0.0,0.11,0.0,0.0,2
j23k5l,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.73,0.0,8
j2430z,0.0,0.18,0.0,0.0,0.0,0.0,0.42,0.38,0.0,0.0,6
j29fxy,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.56,9
j29j2u,0.01,0.01,0.55,0.38,0.01,0.01,0.01,0.01,0.01,0.01,2
j2bn73,0.0,0.0,0.0,0.28,0.2,0.0,0.1,0.11,0.2,0.1,3
j2cs06,0.0,0.18,0.6,0.11,0.0,0.0,0.1,0.0,0.0,0.0,2
j2dgj0,0.0,0.0,0.5,0.0,0.0,0.0,0.08,0.0,0.41,0.0,2
j3379p,0.0,0.44,0.0,0.0,0.33,0.0,0.11,0.12,0.0,0.0,1
j34ejm,0.0,0.58,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1
j35dyt,0.0,0.26,0.07,0.17,0.3,0.0,0.0,0.0,0.2,0.0,4
j36las,0.0,0.37,0.45,0.08,0.0,0.0,0.0,0.0,0.08,0.0,2
j36mov,0.0,0.33,0.25,0.11,0.0,0.0,0.0,0.13,0.0,0.17,1
j37dhx,0.0,0.3,0.0,0.0,0.1,0.23,0.0,0.0,0.35,0.0,8
j3jvwa,0.0,0.08,0.0,0.36,0.18,0.0,0.15,0.0,0.22,0.0,3
j3jzh5,0.0,0.14,0.0,0.42,0.21,0.0,0.0,0.0,0.0,0.22,3
j3pwdv,0.0,0.0,0.0,0.29,0.38,0.0,0.0,0.29,0.0,0.0,4
j3qfa6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,8
j3qll2,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.19,0.15,2
j3rk4s,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.32,0.59,0.01,8
j3vrmg,0.0,0.0,0.0,0.0,0.04,0.25,0.23,0.0,0.47,0.0,8
j3w36c,0.0,0.0,0.15,0.0,0.13,0.0,0.0,0.0,0.0,0.7,9
j3ybtw,0.07,0.44,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,3
j3zbfk,0.0,0.24,0.0,0.0,0.0,0.24,0.15,0.24,0.0,0.13,1
j3zdn0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.54,9
j429xq,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.16,0.0,0.37,6
j44s8c,0.0,0.5,0.35,0.0,0.0,0.14,0.0,0.0,0.0,0.0,1
j48ys9,0.09,0.43,0.35,0.0,0.0,0.0,0.11,0.0,0.0,0.0,1
j4eo4z,0.0,0.0,0.0,0.0,0.0,0.07,0.38,0.13,0.41,0.0,8
j4fuaj,0.0,0.0,0.39,0.18,0.0,0.0,0.0,0.16,0.0,0.25,2
j4jth8,0.0,0.0,0.0,0.5,0.07,0.0,0.0,0.18,0.24,0.0,3
j4kpuf,0.0,0.18,0.18,0.06,0.0,0.2,0.31,0.06,0.0,0.0,6
j4o36p,0.0,0.16,0.01,0.08,0.0,0.0,0.29,0.25,0.2,0.0,6
j4p7gp,0.0,0.24,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,3
j4q493,0.17,0.01,0.45,0.01,0.23,0.01,0.01,0.01,0.01,0.11,2
j4ufm2,0.01,0.71,0.12,0.13,0.01,0.01,0.01,0.01,0.01,0.01,1
j4utay,0.01,0.73,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.01,1
j4xfqv,0.0,0.52,0.15,0.0,0.15,0.03,0.0,0.14,0.0,0.0,1
j4yf8p,0.0,0.0,0.54,0.0,0.06,0.0,0.0,0.13,0.0,0.26,2
j515ra,0.0,0.5,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.4,1
j51k1x,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
j53mtu,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.69,0.25,0.01,7
j541xb,0.01,0.79,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,1
j54rxi,0.0,0.48,0.0,0.4,0.0,0.0,0.0,0.0,0.11,0.0,1
j55ank,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.8,9
j564io,0.11,0.0,0.2,0.67,0.0,0.0,0.0,0.0,0.0,0.0,3
j5aig0,0.0,0.33,0.2,0.06,0.14,0.16,0.1,0.0,0.0,0.0,1
j5cua8,0.0,0.56,0.0,0.12,0.17,0.0,0.14,0.0,0.0,0.0,1
j5g1x1,0.02,0.34,0.3,0.0,0.0,0.0,0.15,0.0,0.18,0.0,1
j5gajn,0.0,0.0,0.74,0.11,0.0,0.0,0.0,0.12,0.0,0.0,2
j5j7o8,0.0,0.16,0.0,0.43,0.29,0.05,0.0,0.0,0.07,0.0,3
j5kjy8,0.0,0.07,0.06,0.24,0.29,0.0,0.14,0.0,0.0,0.2,4
j5lpx7,0.24,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.47,9
j5o7n9,0.0,0.0,0.23,0.0,0.0,0.0,0.22,0.14,0.4,0.0,8
j5paaa,0.0,0.0,0.0,0.29,0.28,0.14,0.0,0.0,0.26,0.0,3
j5rz2t,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.32,0.01,0.01,6
j5v280,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.5,9
j5yos9,0.02,0.21,0.21,0.18,0.2,0.05,0.12,0.0,0.0,0.0,1
j687p8,0.0,0.22,0.11,0.29,0.08,0.12,0.02,0.0,0.16,0.0,3
j698so,0.0,0.22,0.1,0.28,0.08,0.11,0.02,0.03,0.16,0.0,3
j6bm1k,0.34,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
j6bwnv,0.0,0.0,0.15,0.0,0.0,0.13,0.0,0.0,0.45,0.26,8
j6coyo,0.0,0.0,0.11,0.19,0.0,0.49,0.1,0.0,0.1,0.0,5
j6iujr,0.0,0.56,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.23,1
j6jbj1,0.0,0.0,0.23,0.0,0.0,0.0,0.42,0.0,0.33,0.0,6
j6jt58,0.0,0.0,0.85,0.0,0.0,0.0,0.12,0.0,0.0,0.0,2
j6q1s1,0.02,0.38,0.0,0.32,0.0,0.0,0.0,0.07,0.0,0.21,1
j6qkur,0.0,0.35,0.0,0.29,0.0,0.0,0.0,0.0,0.35,0.0,1
j6sjgw,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.01,0.37,4
j6twp8,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
j6ybiy,0.0,0.0,0.0,0.0,0.18,0.07,0.0,0.23,0.07,0.43,9
j704cb,0.01,0.01,0.01,0.01,0.01,0.43,0.51,0.01,0.01,0.01,6
j70td5,0.0,0.0,0.0,0.0,0.22,0.25,0.51,0.0,0.0,0.0,6
j73m2t,0.0,0.0,0.15,0.21,0.09,0.0,0.18,0.2,0.0,0.16,3
j75ncd,0.0,0.0,0.44,0.0,0.33,0.0,0.0,0.0,0.22,0.0,2
j77ho5,0.0,0.0,0.75,0.06,0.0,0.0,0.05,0.0,0.11,0.0,2
j77t6v,0.01,0.2,0.11,0.06,0.0,0.0,0.61,0.0,0.0,0.0,6
j7aet9,0.0,0.39,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
j7eg3s,0.06,0.0,0.0,0.0,0.09,0.08,0.0,0.0,0.76,0.02,8
j7eoff,0.0,0.29,0.19,0.51,0.0,0.0,0.0,0.0,0.0,0.0,3
j7f1az,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.06,0.0,0.0,2
j7lsx1,0.0,0.0,0.0,0.16,0.29,0.26,0.0,0.27,0.0,0.0,4
j7nb1s,0.0,0.0,0.0,0.22,0.34,0.0,0.0,0.0,0.31,0.12,4
j7o2gs,0.0,0.41,0.29,0.0,0.0,0.28,0.0,0.0,0.0,0.0,1
j7og1r,0.0,0.0,0.42,0.0,0.25,0.11,0.0,0.0,0.22,0.0,2
j7pjez,0.0,0.0,0.0,0.0,0.28,0.13,0.12,0.0,0.1,0.36,9
j7pl13,0.01,0.01,0.23,0.01,0.01,0.33,0.4,0.01,0.01,0.01,6
j7r68b,0.0,0.07,0.56,0.14,0.09,0.0,0.0,0.0,0.0,0.13,2
j7umrp,0.01,0.28,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.4,9
j803o5,0.01,0.29,0.01,0.66,0.01,0.01,0.01,0.01,0.01,0.01,3
j803t3,0.0,0.0,0.19,0.0,0.45,0.0,0.14,0.07,0.07,0.08,4
j86zds,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.13,0.0,0.0,2
j870jo,0.0,0.14,0.0,0.04,0.18,0.29,0.0,0.0,0.0,0.35,9
j8ca1c,0.0,0.25,0.0,0.0,0.0,0.29,0.0,0.45,0.0,0.0,7
j8d4sh,0.0,0.0,0.0,0.0,0.12,0.21,0.0,0.18,0.0,0.48,9
j8fjl9,0.0,0.0,0.0,0.0,0.0,0.31,0.59,0.0,0.09,0.0,6
j8gvvy,0.0,0.07,0.0,0.27,0.38,0.25,0.0,0.0,0.0,0.0,4
j8jyhq,0.0,0.43,0.1,0.29,0.0,0.0,0.0,0.14,0.0,0.03,1
j8m9z3,0.06,0.25,0.0,0.0,0.34,0.0,0.04,0.11,0.19,0.0,4
j8mauu,0.0,0.0,0.0,0.23,0.0,0.0,0.74,0.0,0.0,0.0,6
j8o3lr,0.0,0.58,0.0,0.33,0.09,0.0,0.0,0.0,0.0,0.0,1
j8ohk7,0.0,0.0,0.0,0.0,0.1,0.0,0.87,0.0,0.0,0.0,6
j8rbhx,0.01,0.34,0.0,0.09,0.25,0.0,0.09,0.0,0.23,0.0,1
j8sa02,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,6
j8snmx,0.01,0.01,0.01,0.18,0.01,0.1,0.01,0.18,0.01,0.5,9
j8vsod,0.0,0.0,0.0,0.16,0.14,0.02,0.08,0.06,0.53,0.0,8
j8vyta,0.0,0.0,0.64,0.17,0.0,0.0,0.01,0.04,0.13,0.0,2
j8wriq,0.02,0.43,0.32,0.0,0.0,0.06,0.15,0.0,0.0,0.0,1
j9117v,0.02,0.0,0.14,0.0,0.0,0.09,0.18,0.05,0.3,0.21,8
j917fk,0.01,0.03,0.15,0.16,0.48,0.05,0.07,0.05,0.0,0.0,4
j91scp,0.0,0.11,0.06,0.05,0.06,0.0,0.0,0.12,0.46,0.13,8
j93dzg,0.0,0.16,0.0,0.0,0.66,0.0,0.09,0.09,0.0,0.0,4
j94do0,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.88,9
j9epji,0.0,0.37,0.0,0.14,0.05,0.0,0.0,0.0,0.37,0.06,1
j9f2aq,0.0,0.07,0.08,0.0,0.16,0.0,0.29,0.07,0.13,0.2,6
j9kdo7,0.0,0.34,0.26,0.0,0.0,0.0,0.23,0.16,0.0,0.0,1
j9noga,0.03,0.24,0.0,0.0,0.0,0.21,0.27,0.0,0.24,0.0,6
j9ntwj,0.01,0.01,0.22,0.74,0.01,0.01,0.01,0.01,0.01,0.01,3
j9o3g3,0.41,0.39,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0
j9trfo,0.12,0.0,0.06,0.7,0.0,0.09,0.0,0.0,0.0,0.0,3
j9vmof,0.0,0.0,0.19,0.0,0.24,0.31,0.0,0.0,0.15,0.11,5
j9wz8o,0.13,0.0,0.1,0.19,0.0,0.0,0.0,0.2,0.37,0.0,8
j9x00q,0.28,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.51,9
j9x6td,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.38,0.01,0.38,7
j9z16o,0.0,0.29,0.61,0.0,0.0,0.0,0.0,0.08,0.0,0.0,2
ja3zrp,0.11,0.01,0.58,0.27,0.01,0.01,0.01,0.01,0.01,0.01,2
ja62w9,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.3,3
ja8tr5,0.0,0.0,0.82,0.0,0.0,0.17,0.0,0.0,0.0,0.0,2
ja9920,0.0,0.3,0.21,0.25,0.0,0.0,0.0,0.0,0.23,0.0,1
jaess1,0.07,0.13,0.49,0.0,0.0,0.0,0.0,0.22,0.0,0.08,2
jaetcx,0.0,0.0,0.32,0.31,0.19,0.0,0.0,0.17,0.0,0.0,2
jaioqx,0.0,0.0,0.0,0.72,0.26,0.0,0.0,0.0,0.0,0.0,3
jamfvu,0.0,0.0,0.0,0.0,0.2,0.04,0.22,0.14,0.0,0.39,9
jap8kc,0.0,0.18,0.09,0.21,0.0,0.05,0.16,0.31,0.0,0.0,7
japxfr,0.0,0.19,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.63,9
jaqmhq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.19,0.0,7
java9b,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,7
jawoxx,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.4,0.23,8
jayu7c,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.76,0.1,0.01,7
jb27u3,0.0,0.0,0.35,0.0,0.21,0.0,0.0,0.0,0.18,0.26,2
jb2fah,0.0,0.34,0.0,0.0,0.31,0.28,0.0,0.0,0.0,0.07,1
jb4lwt,0.0,0.45,0.0,0.04,0.0,0.0,0.25,0.0,0.15,0.11,1
jb97fd,0.0,0.24,0.0,0.0,0.1,0.07,0.17,0.0,0.31,0.1,8
jbbzsn,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.61,0.01,0.01,7
jbd8h4,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.56,9
jbfbge,0.0,0.0,0.26,0.13,0.0,0.0,0.0,0.6,0.0,0.0,7
jbgpxm,0.0,0.35,0.0,0.0,0.0,0.0,0.19,0.43,0.0,0.0,7
jblpa8,0.0,0.54,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.05,1
jbm6c2,0.07,0.0,0.0,0.0,0.0,0.25,0.0,0.67,0.0,0.0,7
jbxots,0.0,0.11,0.0,0.25,0.18,0.0,0.15,0.06,0.25,0.0,3
jbyglp,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.28,7
jbym7x,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.1,0.53,0.2,8
jbz2d8,0.09,0.09,0.0,0.41,0.0,0.06,0.0,0.0,0.0,0.35,3
jc0n2h,0.04,0.0,0.43,0.0,0.06,0.14,0.0,0.0,0.12,0.2,2
jc1nyi,0.05,0.18,0.17,0.0,0.52,0.0,0.0,0.07,0.0,0.0,4
jc3b04,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.11,6
jc3g92,0.0,0.0,0.0,0.41,0.0,0.0,0.05,0.52,0.0,0.0,7
jc92q2,0.01,0.01,0.01,0.52,0.01,0.01,0.01,0.38,0.01,0.01,3
jcaodp,0.0,0.31,0.0,0.11,0.29,0.04,0.21,0.0,0.0,0.04,1
jcdy5m,0.0,0.0,0.41,0.0,0.46,0.0,0.0,0.0,0.0,0.13,4
jce8cu,0.01,0.01,0.01,0.44,0.01,0.01,0.49,0.01,0.01,0.01,6
jcfzv5,0.03,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.7,0.0,8
jchq71,0.0,0.18,0.0,0.05,0.25,0.0,0.24,0.0,0.28,0.0,8
jckglc,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,4
jcn5sk,0.1,0.01,0.01,0.01,0.09,0.01,0.01,0.48,0.01,0.3,7
jcq5b2,0.0,0.0,0.3,0.53,0.04,0.09,0.0,0.04,0.0,0.0,3
jcu2at,0.0,0.15,0.37,0.02,0.0,0.0,0.26,0.0,0.19,0.0,2
jd0eqt,0.0,0.34,0.15,0.16,0.06,0.0,0.0,0.0,0.29,0.0,1
jd1x4m,0.0,0.3,0.0,0.0,0.0,0.0,0.37,0.0,0.31,0.0,6
jd3an8,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.65,0.01,0.01,7
jd5o89,0.06,0.26,0.0,0.0,0.19,0.0,0.48,0.0,0.0,0.0,6
jdblic,0.04,0.0,0.09,0.8,0.05,0.0,0.0,0.0,0.0,0.0,3
