,t0 amp,t1 feel,t2 know,t3 feel,t4 ultrasound,t5 work,t6 nt,t7 doctor,t8 year,t9 surgery,t10 weight,t11 hysterectomy,t12 help,t13 gynaecologist,t14 period,t15 control,t16 lap,t17 endometriosis,t18 period,t19 share,dominant_topic
hdjg09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1,16
hdjywg,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.09,0.09,15
hdko9u,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,14
hdlgls,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.24,0.1,0.0,0.0,2
hdpdlv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.19,0.02,17
he1pir,0.0,0.0,0.08,0.08,0.0,0.0,0.18,0.14,0.1,0.38,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
he2a2j,0.0,0.0,0.26,0.13,0.0,0.0,0.03,0.0,0.0,0.45,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,9
he54ut,0.0,0.12,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.17,0.39,0.0,0.0,0.0,0.0,15
hedohv,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.24,16
heh4zd,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0.01,0.01,17
hej7ky,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.42,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.0,0.0,10
hepfbz,0.02,0.0,0.14,0.0,0.09,0.0,0.05,0.08,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.05,8
hesjnm,0.0,0.0,0.17,0.0,0.24,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,18
hf1f24,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,7
hf2bia,0.0,0.0,0.0,0.32,0.0,0.0,0.13,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,14
hf374n,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.3,0.33,0.0,0.0,0.0,0.0,0.01,0.0,0.33,0.0,0.0,0.0,0.0,8
hf45an,0.01,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.15,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.17,0.09,0.35,0.1,18
hf58ag,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
hf7ur9,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.43,0.0,18
hfaktu,0.04,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,10
hfazwb,0.02,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.1,0.17,0.0,0.16,0.0,0.01,0.0,0.23,0.04,0.09,0.0,0.0,15
hfc52s,0.0,0.0,0.0,0.27,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,4
hfeb9x,0.0,0.37,0.23,0.06,0.0,0.01,0.12,0.08,0.02,0.07,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
hfhwg1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.09,0.06,0.0,0.21,0.0,0.0,0.0,0.41,0.0,18
hfidga,0.0,0.0,0.18,0.15,0.0,0.0,0.07,0.12,0.0,0.35,0.0,0.0,0.02,0.01,0.08,0.0,0.0,0.0,0.0,0.0,9
hfizl4,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.0,0.02,0.0,0.0,0.06,0.0,0.05,0.72,0.0,18
hfj0a0,0.01,0.14,0.0,0.12,0.08,0.0,0.0,0.0,0.29,0.24,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
hfnw76,0.0,0.0,0.07,0.0,0.06,0.0,0.07,0.0,0.31,0.03,0.0,0.0,0.0,0.0,0.02,0.13,0.0,0.0,0.3,0.0,8
hfogx6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.22,0.37,0.0,0.0,0.0,0.0,0.0,0.08,0.21,0.0,0.0,0.0,0.09,8
hfpab8,0.0,0.29,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,2
hfqh6o,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.2,0.22,0.0,0.0,7
hfqzhi,0.0,0.17,0.18,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.06,10
hfsae8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.26,0.08,0.02,0.0,0.0,0.02,0.06,0.24,0.13,0.13,0.0,0.0,8
hftky9,0.0,0.0,0.0,0.04,0.48,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.28,0.0,4
hfyy5a,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.31,0.2,0.14,0.0,0.0,0.0,14
hg2dbw,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.07,0.0,0.05,0.0,0.0,0.17,0.0,0.0,0.52,0.05,18
hg5pqr,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,1
hg866p,0.0,0.08,0.21,0.0,0.0,0.0,0.0,0.17,0.11,0.21,0.0,0.07,0.0,0.01,0.0,0.03,0.0,0.0,0.11,0.0,2
hg961n,0.0,0.0,0.11,0.0,0.05,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.23,0.0,0.0,0.08,8
hge520,0.0,0.62,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
hgevtp,0.0,0.0,0.0,0.28,0.24,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.21,0.01,0.0,0.0,0.0,0.0,3
hgfmmj,0.0,0.0,0.41,0.25,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
hgfuk8,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2
hggmdv,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,8
hghaz6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,9
hgmj8n,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.49,0.03,18
hgnw35,0.0,0.09,0.1,0.0,0.0,0.01,0.0,0.0,0.38,0.13,0.12,0.13,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,8
hgumsi,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.1,0.0,0.0,16
hh04fd,0.01,0.01,0.01,0.29,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,7
hh0plh,0.0,0.11,0.17,0.0,0.23,0.0,0.0,0.0,0.0,0.12,0.0,0.02,0.0,0.0,0.15,0.0,0.0,0.0,0.16,0.04,4
hhdh7b,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,0.11,0.29,0.03,0.0,0.0,0.0,0.09,0.0,0.1,0.11,0.0,0.0,9
hhdij9,0.0,0.29,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.34,0.0,18
hhdijb,0.0,0.29,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.34,0.0,18
hhgv5x,0.0,0.37,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.28,0.0,1
hhhljj,0.0,0.25,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.23,0.18,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
hhlzoh,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,16
hhp8vk,0.02,0.1,0.0,0.0,0.02,0.02,0.08,0.14,0.01,0.26,0.0,0.08,0.0,0.03,0.0,0.16,0.09,0.0,0.0,0.0,9
hhxjj6,0.0,0.11,0.0,0.09,0.0,0.0,0.04,0.0,0.34,0.0,0.08,0.0,0.05,0.0,0.0,0.16,0.13,0.0,0.0,0.0,8
hi40nl,0.0,0.0,0.0,0.0,0.1,0.02,0.25,0.23,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,6
