,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
ej2cq6,0.2,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.19,0.07,0.0,0.0,0.17,0.1,0.0,0.0,0
ej8b9g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.06,0.0,0.12,0.0,0.06,0.05,0.0,0.0,0.1,0.25,9
ejac1g,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,16
ejcd9i,0.16,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.06,0.09,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.2,19
ejdlzh,0.0,0.0,0.21,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.16,0.0,0.04,0.35,0.06,0.0,0.0,16
eje7rg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.0,11
ejehz1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.76,0.0,0.0,17
ejgtm0,0.0,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
ejj26l,0.48,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0
ejj9oz,0.06,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.07,0.13,0.4,0.0,0.0,17
ejjf1z,0.0,0.0,0.1,0.12,0.3,0.02,0.06,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.09,0.0,4
ejjy6h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.24,0.0,0.27,0.0,0.0,0.0,0.0,0.18,0.0,0.0,7
ejk7tt,0.0,0.0,0.0,0.0,0.24,0.0,0.2,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.31,0.0,0.11,0.0,0.0,0.0,14
ejkwpu,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.26,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,11
ejnew6,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.16,17
ejrb9o,0.0,0.0,0.0,0.1,0.0,0.06,0.08,0.0,0.07,0.17,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
ejvto5,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.14,0.0,17
ejwijs,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,11
ejy555,0.1,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
ejypa7,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.29,0.0,17
ejzavz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,10
ejzjza,0.15,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.22,0.0,0.11,0.03,0.0,0.0,0.0,0.17,0.05,11
ejzspb,0.4,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.08,0.0,0.0,0.0,0
ek1e6t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,18
ek3fqx,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,10
ek47vz,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.23,0.01,0.01,0.52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10
ek5key,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.06,0.0,0.2,0.0,0.02,0.1,0.22,0.0,0.07,2
ek62bq,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.19,0.0,0.21,0.11,0.0,0.0,0.21,0.0,0.0,6
ek7jpn,0.17,0.0,0.0,0.0,0.23,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.35,0.02,0.0,17
ek9ced,0.2,0.0,0.18,0.14,0.0,0.04,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,8
ekem96,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.09,0.05,10
ekfobx,0.0,0.0,0.0,0.13,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.05,0.03,0.0,0.21,0.12,0.0,12
ekidmh,0.32,0.0,0.04,0.0,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.01,0.06,0.0,0.0,0.0,12
ekqrtp,0.45,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.03,0
ekr9pg,0.0,0.0,0.31,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
ekt79d,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,10
ektt2v,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,10
ekuajw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.04,0.0,0.0,0.11,0.0,0.0,0.0,0.19,0.42,0.0,0.0,17
ekvvk8,0.0,0.0,0.0,0.0,0.18,0.05,0.0,0.0,0.0,0.39,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
ekvzg7,0.31,0.0,0.09,0.0,0.0,0.0,0.1,0.19,0.0,0.0,0.03,0.0,0.0,0.0,0.08,0.02,0.16,0.0,0.0,0.0,0
ekwz1s,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.21,0.0,0.0,0.2,0.38,0.0,0.0,0.03,0.0,0.0,0.0,0.0,12
ekxqxg,0.0,0.0,0.0,0.0,0.31,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.0,0.0,0.0,0.27,0.0,0.08,4
ekxuiz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,18
eky3hn,0.0,0.0,0.24,0.25,0.11,0.0,0.0,0.13,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3
ekzw8n,0.0,0.11,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,3
el4n9b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,11
el7wip,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,12
el9jdi,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,11
elazem,0.22,0.03,0.18,0.0,0.17,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.0,0.0,0
eldh4o,0.0,0.0,0.0,0.23,0.47,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,4
eleezi,0.0,0.0,0.04,0.0,0.14,0.0,0.13,0.13,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.45,0.0,0.0,17
elefw3,0.0,0.0,0.07,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.51,0.0,18
elf4v4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0
elfulo,0.0,0.07,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0.51,0.0,0.0,0.0,0.0,0.0,0.12,0.04,12
elgy0p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.07,0.23,0.0,0.0,0.0,0.0,0.18,0.0,0.07,12
elnfc8,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.32,0.35,0.0,18
elpily,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.11,0.16,0.14,0.05,9
elq6fv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.1,0.42,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,11
elqdfr,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.48,0.0,0.0,17
elt5g8,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.18,0.01,0.01,0.35,0.11,0.09,0.01,0.01,0.01,0.01,0.01,0.01,11
eltqud,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.44,0.0,0.0,17
elu5po,0.0,0.13,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.1,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,10
elu9tw,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
elv80h,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.19,0.0,0.0,0.27,0.22,0.0,0.0,0.04,0.0,0.0,0.12,0.0,11
elvgx2,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.26,0.14,0.1,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,7
elyxjy,0.27,0.0,0.07,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.16,4
em1vj0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
em2a19,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
em33ak,0.0,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.07,0.05,12
em3i34,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
em3nei,0.0,0.0,0.16,0.0,0.65,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
em3nx8,0.0,0.05,0.0,0.17,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.05,0.39,0.0,0.02,0.0,0.0,0.2,0.0,0.0,12
em5i2r,0.0,0.03,0.0,0.06,0.0,0.0,0.08,0.08,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.09,0.0,0.06,0.0,11
em6t91,0.31,0.0,0.14,0.0,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0
embtky,0.0,0.0,0.0,0.0,0.47,0.07,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,4
emc24k,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.0,0.08,0.0,0.09,0.21,0.11,0.05,11
emecun,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.0,0.0,17
emjl32,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.03,0.0,0.62,0.0,0.0,17
emkka8,0.0,0.0,0.0,0.0,0.22,0.0,0.05,0.07,0.0,0.09,0.0,0.16,0.08,0.0,0.2,0.0,0.0,0.0,0.0,0.12,4
emnli0,0.0,0.0,0.08,0.14,0.41,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
emq9nr,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.13,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.21,0.0,17
ems6jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,8
emsrsp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.25,16
emv3v8,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.12,0.07,8
emwfv4,0.37,0.0,0.0,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0
emyj91,0.0,0.0,0.08,0.0,0.0,0.0,0.1,0.25,0.14,0.0,0.0,0.0,0.0,0.19,0.14,0.02,0.0,0.0,0.0,0.07,7
emyoqr,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6
emzdac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.08,0.0,0.03,0.09,0.0,0.4,0.03,0.14,17
en0278,0.64,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
en16by,0.0,0.0,0.07,0.0,0.27,0.0,0.0,0.0,0.19,0.0,0.0,0.12,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,14
en1dfw,0.0,0.0,0.03,0.0,0.23,0.0,0.0,0.16,0.0,0.0,0.04,0.0,0.09,0.0,0.22,0.02,0.0,0.0,0.07,0.13,4
en4pwu,0.0,0.0,0.0,0.0,0.17,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.27,0.0,0.0,0.0,0.0,0.36,0.13,0.0,17
en56n7,0.04,0.0,0.0,0.11,0.09,0.0,0.04,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.36,0.06,18
en5ab8,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.1,11
en6kaw,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.22,0.0,0.07,0.11,0.2,0.0,0.0,0.14,0.17,0.0,0.0,0.0,0.0,7
en9glj,0.17,0.01,0.15,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.38,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12
ena5ss,0.13,0.0,0.0,0.0,0.25,0.2,0.08,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,4
ena6j4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.13,0.0,17
ena97a,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.32,12
enek70,0.12,0.04,0.0,0.0,0.12,0.0,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03,0.0,0.0,0.0,0.0,14
enf8jc,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.02,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.32,0.28,0.0,0.0,16
engrbp,0.0,0.0,0.13,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.34,0.0,0.0,0.0,0.0,13
enjtmv,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.17,0.0,0.0,0.0,0.19,0.0,0.0,11
enlazy,0.08,0.0,0.0,0.09,0.0,0.06,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,8
enmmbc,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.27,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,11
enom9g,0.3,0.0,0.09,0.0,0.19,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.05,0.02,0.07,0.0,0.13,0.06,0.0,0.01,0
enxsep,0.0,0.13,0.07,0.0,0.0,0.08,0.0,0.0,0.06,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,11
enyexx,0.0,0.0,0.0,0.0,0.22,0.06,0.0,0.22,0.0,0.0,0.2,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,13
enzk0k,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.06,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,7
eo0bto,0.16,0.21,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.17,0.0,0.06,0.0,0.0,0.3,0.0,0.0,0.0,16
eo0gtk,0.27,0.0,0.0,0.0,0.27,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0
eo0xoq,0.13,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.03,0.03,0.11,0.0,0.0,0.0,11
eo1gxt,0.0,0.08,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11
eo1hq8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
eo41s1,0.0,0.06,0.02,0.15,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.49,0.0,0.0,17
eo8jz4,0.0,0.06,0.0,0.0,0.25,0.0,0.0,0.0,0.15,0.12,0.0,0.0,0.23,0.0,0.0,0.04,0.0,0.0,0.0,0.13,4
eob7fy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.19,0.19,0.0,0.0,0.0,0.11,0.0,11
eodbkk,0.0,0.0,0.05,0.0,0.27,0.0,0.0,0.09,0.27,0.0,0.0,0.0,0.23,0.0,0.0,0.06,0.0,0.0,0.0,0.0,4
eoehic,0.0,0.0,0.0,0.0,0.49,0.0,0.11,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,4
eogwwe,0.21,0.0,0.0,0.0,0.1,0.07,0.0,0.0,0.0,0.06,0.09,0.0,0.0,0.0,0.3,0.0,0.0,0.16,0.0,0.0,14
eoipvj,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
eoj44n,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.05,0.0,0.0,0.12,0.04,0.0,0.0,0.0,0.16,0.13,9
eojrxy,0.05,0.15,0.0,0.0,0.42,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.03,0.0,0.04,4
eokq94,0.09,0.0,0.0,0.08,0.18,0.0,0.0,0.11,0.0,0.08,0.05,0.14,0.0,0.0,0.13,0.0,0.0,0.0,0.13,0.0,4
eoli1y,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.2,0.07,0.0,0.11,0.0,0.06,0.0,0.08,0.0,0.0,0.14,4
eolils,0.07,0.03,0.0,0.0,0.1,0.0,0.0,0.02,0.31,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.03,0.0,0.31,0.0,8
eoml0s,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.19,0.0,0.14,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.12,0.09,8
eooirk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.34,0.15,0.0,0.12,0.0,0.02,0.14,0.0,0.0,0.0,0.0,0.0,8
eool4y,0.37,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0
eoqllo,0.0,0.0,0.06,0.0,0.18,0.0,0.0,0.0,0.05,0.0,0.0,0.16,0.19,0.26,0.0,0.06,0.0,0.0,0.0,0.03,13
eoqp99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.1,0.0,0.12,0.09,0.0,0.0,0.04,0.0,0.55,0.0,0.03,17
eostuu,0.0,0.0,0.0,0.07,0.19,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.14,0.0,0.18,0.0,8
eovcr0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.75,0.0,0.0,17
eovubr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.0,0.34,0.0,0.0,7
eowcaf,0.0,0.0,0.17,0.07,0.0,0.03,0.0,0.0,0.11,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.24,0.0,0.0,0.0,16
eowh5g,0.0,0.0,0.17,0.0,0.0,0.0,0.28,0.0,0.34,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,8
eoyuii,0.0,0.0,0.07,0.0,0.09,0.0,0.03,0.0,0.0,0.19,0.11,0.0,0.07,0.09,0.02,0.01,0.0,0.32,0.0,0.0,17
ep0d6b,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.26,0.1,0.0,0.0,6
ep0i96,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,10
ep1701,0.0,0.18,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.09,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,4
ep33jd,0.23,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.11,0.32,0.0,0.0,17
ep37p8,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.05,0.03,0.03,0.0,0.05,0.0,0.0,0.0,0.07,0.65,0.0,0.04,17
ep3sr4,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.13,0.1,0.0,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.48,0.07,18
ep4r4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.41,0.0,0.06,0.0,0.0,0.11,0.0,13
ep5i3r,0.0,0.0,0.05,0.0,0.73,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,4
ep6ric,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.0,0.0,0.0,0.03,0.0,0.0,0.37,0.11,18
ep73qj,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.23,0.33,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.16,0.0,10
ep7vzv,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.17,0.51,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,11
ep8e27,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.65,0.0,0.0,17
ep957o,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.13,0.0,0.09,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
ep9ne3,0.0,0.0,0.41,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.05,0.06,0.0,0.0,0.0,0.0,0.0,2
epa5hd,0.0,0.0,0.21,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
epazyt,0.0,0.0,0.38,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,2
epbkyy,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.17,0.06,0.0,0.0,0.02,0.07,0.0,0.06,0.0,0.1,0.37,0.0,0.07,17
epciae,0.03,0.2,0.0,0.0,0.11,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.02,17
epdaoe,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,6
epdmdt,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.41,0.19,0.0,0.0,0.07,0.0,0.0,0.0,0.0,11
