,t0 really,t1 symptom,t2 hour,t3 cyst,t4 life,t5 weight,t6 flare,t7 help,t8 back,t9 surgery,t10 endometriosis,t11 cramp,t12 lap,t13 bleeding,t14 pill,t15 didn,t16 want,t17 appointment,t18 ultrasound,t19 control,dominant_topic
yxe97,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,3
yynyd,0.0,0.0,0.12,0.0,0.4,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.09,0.17,4
z0uj9,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
z856l,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,17
z9y00,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.33,0.0,0.32,0.2,0.0,0.0,14
zcea8,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.06,0.18,0.0,0.0,0.0,0.39,0.2,0.04,17
zeqde,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.59,0.0,18
zj8rz,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,17
zl2kw,0.0,0.0,0.0,0.11,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.35,0.0,4
znspy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,10
zpf3v,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.86,0.01,0.01,0.01,16
zqlw9,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.22,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
zs9ug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.3,0.27,0.0,17
zwvto,0.0,0.0,0.0,0.32,0.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,4
zxr5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.08,0.0,0.0,0.0,0.72,0.0,0.0,17
zy5ic,0.2,0.0,0.04,0.0,0.35,0.0,0.0,0.05,0.0,0.0,0.0,0.17,0.0,0.0,0.05,0.0,0.0,0.0,0.11,0.03,4
1020vb,0.0,0.0,0.0,0.0,0.35,0.0,0.09,0.22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.11,4
106prs,0.0,0.0,0.0,0.02,0.21,0.0,0.0,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.18,0.0,16
10b7jm,0.01,0.01,0.01,0.26,0.51,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
10i1ne,0.0,0.0,0.06,0.0,0.45,0.02,0.0,0.0,0.11,0.0,0.0,0.13,0.0,0.15,0.0,0.0,0.0,0.0,0.07,0.0,4
10jk3y,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.09,0.0,0.0,0.0,0.29,0.0,0.24,0.0,0
10mgzn,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.0,0.27,0.11,0.0,0.0,0.0,0.0,0.06,0.14,0.22,0.07,10
10r13y,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.19,0.0,0.08,0.05,0.0,0.0,0.0,0.06,0.0,0.07,0.47,0.0,0.0,17
10vmnz,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
115f80,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.09,0.0,0.16,0.0,0.0,0.0,0.0,0.06,7
