,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
zwvto,0.0,0.0,0.0,0.0,0.33,0.11,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.29,0.0,4
zxr5a,0.0,0.0,0.34,0.0,0.0,0.07,0.0,0.0,0.07,0.04,0.0,0.0,0.47,0.0,0.0,12
zy5ic,0.21,0.0,0.0,0.0,0.17,0.03,0.02,0.17,0.07,0.0,0.03,0.29,0.0,0.0,0.0,11
1020vb,0.33,0.0,0.06,0.0,0.12,0.0,0.0,0.35,0.14,0.0,0.0,0.0,0.0,0.0,0.0,7
106prs,0.0,0.0,0.0,0.0,0.14,0.18,0.0,0.1,0.29,0.0,0.0,0.16,0.0,0.12,0.0,8
10b7jm,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.45,0.01,13
10i1ne,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.02,0.16,11
10jk3y,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.31,0.0,0
10mgzn,0.0,0.0,0.0,0.0,0.07,0.46,0.0,0.13,0.0,0.0,0.16,0.08,0.09,0.0,0.0,5
10r13y,0.14,0.0,0.2,0.1,0.09,0.0,0.0,0.0,0.18,0.09,0.06,0.0,0.0,0.0,0.13,2
10vmnz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.5,0.01,0.25,0.01,11
115f80,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.32,0.0,0.0,0.0,0.11,0
117fxf,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.7,0.01,0.01,0.2,0.01,0.01,0.01,8
119a2h,0.28,0.02,0.02,0.02,0.02,0.34,0.02,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0.02,5
11ev0c,0.0,0.0,0.0,0.0,0.24,0.29,0.0,0.0,0.0,0.0,0.24,0.0,0.17,0.0,0.05,5
11kngk,0.7,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11lsez,0.17,0.0,0.0,0.02,0.16,0.0,0.0,0.0,0.12,0.04,0.08,0.18,0.0,0.16,0.06,11
11mnlm,0.0,0.0,0.13,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,4
11ms7o,0.34,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5
11ukbn,0.0,0.0,0.06,0.0,0.0,0.19,0.0,0.0,0.0,0.37,0.29,0.0,0.0,0.07,0.0,9
11uspq,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.17,0.28,0.42,0.0,0.0,0.0,0.0,10
11uvbi,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.27,0.0,0.0,0.59,0.0,13
11wu3o,0.0,0.0,0.06,0.22,0.0,0.1,0.04,0.0,0.0,0.24,0.31,0.0,0.0,0.0,0.0,10
11wyd1,0.07,0.0,0.0,0.07,0.09,0.16,0.02,0.19,0.0,0.0,0.0,0.39,0.0,0.0,0.0,11
123kgw,0.0,0.0,0.35,0.0,0.0,0.0,0.03,0.0,0.1,0.06,0.0,0.33,0.0,0.13,0.0,2
124m65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.21,0.24,0.0,0.0,0.05,8
125k60,0.18,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.18,0.05,8
12dglj,0.43,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.04,0.07,0
12qdx1,0.09,0.0,0.0,0.13,0.0,0.1,0.0,0.0,0.21,0.0,0.0,0.46,0.0,0.0,0.0,11
12qjih,0.2,0.0,0.07,0.0,0.0,0.0,0.0,0.03,0.18,0.08,0.13,0.27,0.0,0.0,0.04,11
12s029,0.0,0.0,0.0,0.45,0.0,0.24,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.06,0.0,3
12s5ht,0.0,0.0,0.15,0.0,0.21,0.0,0.11,0.12,0.31,0.0,0.0,0.0,0.0,0.08,0.0,8
12uynl,0.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0
12ynjw,0.0,0.0,0.26,0.0,0.09,0.15,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,8
12z44y,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.52,0.0,0.26,0.0,0.0,0.0,0.12,8
