,t0 really,t1 stomach,t2 amp,t3 lap,t4 said,t5 pregnant,t6 pad,t7 control,t8 work,t9 surgery,t10 experience,t11 cramp,t12 bleeding,t13 cyst,t14 effect,dominant_topic
fdyp7h,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.05,0.18,0.0,0.0,0.0,0.59,0.0,13
fdyqsx,0.37,0.06,0.26,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fdzr8c,0.0,0.02,0.0,0.0,0.2,0.0,0.04,0.16,0.26,0.0,0.0,0.27,0.0,0.03,0.0,11
fdzuhq,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.29,0.0,0.13,0.0,0.0,0.0,0.0,7
fe02ci,0.0,0.0,0.0,0.1,0.0,0.24,0.0,0.19,0.0,0.0,0.0,0.29,0.17,0.0,0.0,11
fe5pe6,0.4,0.0,0.16,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0
fe5xep,0.0,0.0,0.2,0.04,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.35,0.2,0.09,0.0,11
fe7zbx,0.0,0.0,0.17,0.24,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,9
fe942d,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.47,0.0,0.18,0.0,0.0,0.0,0.0,8
fedozu,0.0,0.0,0.0,0.06,0.2,0.07,0.0,0.3,0.1,0.15,0.0,0.0,0.0,0.0,0.12,7
feecho,0.0,0.0,0.0,0.0,0.11,0.07,0.0,0.11,0.07,0.14,0.0,0.19,0.29,0.0,0.0,12
fegjux,0.18,0.0,0.0,0.04,0.0,0.04,0.0,0.06,0.23,0.0,0.0,0.21,0.0,0.2,0.02,8
fegwhy,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.12,0.0,0.34,0.35,0.0,0.1,12
fei8gy,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.44,0.0,0.0,0.0,11
fej4ub,0.0,0.04,0.0,0.15,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.34,0.0,0.24,0.13,11
fejwxu,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
fekawo,0.0,0.0,0.21,0.0,0.0,0.0,0.01,0.05,0.0,0.08,0.0,0.05,0.15,0.44,0.0,13
fenq8t,0.0,0.05,0.31,0.0,0.0,0.0,0.03,0.19,0.0,0.12,0.0,0.15,0.14,0.0,0.0,2
feqdv7,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.58,0.01,0.01,0.01,11
feqsrw,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.57,0.0,0.0,12
fesgbs,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.33,0.01,0.01,0.01,0.01,7
fewwwc,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.45,0.0,0.0,0.0,11
fex4mf,0.16,0.0,0.0,0.05,0.0,0.03,0.0,0.21,0.0,0.0,0.0,0.52,0.0,0.03,0.0,11
fezh9l,0.21,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.0,11
fezox3,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.12,0.0,0.0,0.0,10
ff06xe,0.46,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.07,0.0,0
ff159d,0.26,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.01,0.0,0.0,0.0,0.0,8
ff1tra,0.16,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,14
ff80mj,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.26,0.0,0.0,0.09,0
ffa7s4,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.34,0.0,0.2,0.21,0.08,0.0,0.0,0.0,7
ffb8z7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.91,0.0,0.0,0.0,11
ffc3r4,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.35,0.0,0.14,0.22,0.0,0.0,0.0,0.0,7
ffeaev,0.01,0.15,0.55,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,2
fffy40,0.0,0.0,0.28,0.0,0.21,0.0,0.0,0.23,0.0,0.0,0.0,0.27,0.0,0.0,0.0,2
ffgvd7,0.41,0.0,0.0,0.0,0.17,0.19,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0
ffioxe,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.19,0.45,0.1,0.0,0.0,0.0,0.0,0.0,8
ffj1it,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.67,0.01,0.01,0.01,11
ffnd04,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.55,0.0,0.0,0.0,11
ffo4up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.09,0.0,0.31,0.0,8
ffov07,0.32,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.44,0.0,0.0,12
ffwlqa,0.19,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.49,0.0,0.0,12
ffxavk,0.2,0.0,0.06,0.06,0.19,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.26,0.07,0.07,12
ffxwpo,0.0,0.0,0.08,0.0,0.0,0.41,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.09,5
ffz1pn,0.15,0.0,0.03,0.0,0.0,0.13,0.0,0.0,0.11,0.19,0.09,0.0,0.0,0.05,0.25,14
fg0fzo,0.29,0.0,0.09,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.34,0.11,0.0,0.0,11
fg15o3,0.38,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.0,0.21,0.0,0.0,0
fg39xb,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,8
fg41zb,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fg43vv,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0
fg494p,0.0,0.0,0.24,0.0,0.34,0.0,0.02,0.0,0.13,0.19,0.0,0.0,0.0,0.08,0.0,4
fg5fv8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.59,0.0,0.08,0.0,0.0,10
fg5ii5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.06,0.13,0.39,0.0,0.0,0.27,11
fg748x,0.13,0.07,0.12,0.28,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,8
fg7c2j,0.24,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,13
fgce61,0.14,0.04,0.06,0.0,0.47,0.0,0.0,0.0,0.14,0.11,0.03,0.0,0.0,0.0,0.0,4
fge886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.28,0.0,0.08,8
fgfvfs,0.22,0.0,0.0,0.0,0.0,0.12,0.0,0.21,0.09,0.11,0.0,0.0,0.09,0.0,0.15,0
fgkhe8,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,3
fgkhh2,0.0,0.0,0.05,0.28,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.09,0.0,0.08,0.0,7
fgm5pv,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,4
fgmmxi,0.38,0.0,0.0,0.0,0.0,0.15,0.0,0.09,0.0,0.16,0.0,0.0,0.22,0.0,0.0,0
fgn8f6,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.37,0.0,0
fgn8ns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.06,0.0,0.11,0.5,0.0,13
fgntoz,0.42,0.0,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0
fgqlop,0.11,0.0,0.0,0.0,0.17,0.0,0.11,0.0,0.0,0.17,0.24,0.14,0.0,0.0,0.04,10
fgqlrb,0.16,0.0,0.0,0.07,0.06,0.06,0.01,0.09,0.07,0.19,0.08,0.0,0.0,0.12,0.08,9
fgyynd,0.09,0.0,0.04,0.0,0.19,0.01,0.01,0.05,0.0,0.0,0.0,0.29,0.28,0.0,0.04,11
fh0ol0,0.11,0.03,0.07,0.0,0.54,0.0,0.0,0.03,0.12,0.0,0.09,0.0,0.0,0.0,0.0,4
fh3sbr,0.15,0.0,0.12,0.16,0.0,0.09,0.0,0.36,0.0,0.0,0.0,0.0,0.12,0.0,0.0,7
fh5x5z,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.82,0.0,0.0,0.09,0.0,0.0,0.0,8
fh6cq4,0.11,0.0,0.0,0.12,0.2,0.02,0.0,0.4,0.11,0.0,0.0,0.0,0.0,0.04,0.0,7
fh6ctj,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.47,0.15,0.24,0.0,0.0,0.0,0.0,8
fh7440,0.47,0.01,0.01,0.45,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
fh956b,0.01,0.01,0.01,0.01,0.01,0.42,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,5
fhaw5l,0.14,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.19,0.08,0.14,0.0,0.0,0.0,0.0,3
fhb5f6,0.05,0.02,0.0,0.0,0.14,0.03,0.03,0.09,0.14,0.0,0.06,0.19,0.15,0.09,0.02,11
fhd4h3,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.06,0.0,0.23,0.0,0.13,0.0,8
fhd4yi,0.68,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.0,0
fhdk74,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.28,0.0,8
fherax,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.0,0.35,0.23,0.0,0.06,11
fhex3h,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.34,0.0,0.06,0.0,0.0,0.0,0.33,0.0,7
fhg07u,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.33,0.46,0.0,0.0,12
fhgazi,0.01,0.01,0.13,0.27,0.01,0.01,0.01,0.01,0.01,0.24,0.3,0.01,0.01,0.01,0.01,10
fhgi2y,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
fhgmy7,0.33,0.0,0.0,0.19,0.0,0.14,0.0,0.0,0.0,0.13,0.0,0.0,0.21,0.0,0.0,0
fhhfl8,0.66,0.0,0.09,0.0,0.03,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.08,0
fhj4yd,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.1,0.0,11
fhq8so,0.0,0.0,0.18,0.0,0.35,0.0,0.0,0.0,0.0,0.17,0.0,0.12,0.0,0.14,0.02,4
fhrt6m,0.0,0.08,0.15,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,3
fht1lu,0.29,0.0,0.08,0.18,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
fhtlo9,0.34,0.02,0.0,0.16,0.17,0.07,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0
fhtxhb,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.25,0.0,0.0,0.19,0.37,0.14,0.0,0.0,11
fhw3on,0.0,0.0,0.23,0.0,0.09,0.04,0.0,0.24,0.0,0.0,0.0,0.19,0.2,0.0,0.0,7
fhw7v5,0.17,0.0,0.29,0.0,0.36,0.04,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4
fhxx0s,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.19,0.21,0.0,0.2,0.0,0.18,0.0,9
fi5g4j,0.0,0.0,0.0,0.24,0.17,0.0,0.0,0.0,0.19,0.39,0.0,0.0,0.0,0.0,0.0,9
fi5nnr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.0,0.0,0.43,0.15,0.16,0.0,11
fi5x2r,0.0,0.0,0.06,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.35,0.0,12
fi9piy,0.0,0.0,0.03,0.1,0.0,0.0,0.0,0.0,0.03,0.23,0.0,0.14,0.0,0.46,0.0,13
fid9ze,0.0,0.02,0.2,0.0,0.22,0.0,0.03,0.0,0.2,0.0,0.0,0.06,0.0,0.26,0.0,13
fihig5,0.14,0.0,0.24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,13
fiksjf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.46,7
filrjn,0.19,0.0,0.03,0.07,0.0,0.17,0.0,0.0,0.32,0.0,0.22,0.0,0.0,0.0,0.0,8
filxf5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.28,0.0,0.0,0.0,0.44,14
fimv9t,0.21,0.08,0.0,0.08,0.0,0.0,0.03,0.15,0.0,0.07,0.0,0.21,0.16,0.0,0.0,0
finahz,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.01,0.01,0.01,0.21,8
fip3lj,0.24,0.0,0.03,0.0,0.17,0.11,0.02,0.0,0.0,0.0,0.0,0.34,0.08,0.0,0.0,11
fiq6hj,0.17,0.0,0.0,0.0,0.11,0.05,0.03,0.0,0.3,0.0,0.0,0.33,0.0,0.0,0.0,11
fiqheg,0.31,0.0,0.12,0.18,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0
firovm,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,3
fiuqhk,0.12,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.19,0.2,0.0,11
fivvdn,0.19,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,2
fivyfl,0.24,0.0,0.28,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.0,2
fixvfu,0.1,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.19,0.0,0.09,11
fiyk26,0.12,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.05,0.02,0.0,4
fj3nkf,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,2
fjb967,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.33,0.0,0.0,0.21,0.09,0.0,0.0,0.0,4
fjc72i,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.53,0.0,13
fjcv1r,0.1,0.0,0.0,0.07,0.24,0.19,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,11
fjhoau,0.17,0.0,0.07,0.0,0.15,0.0,0.0,0.0,0.17,0.03,0.0,0.4,0.0,0.0,0.0,11
fjiabv,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.04,0.33,0.0,0.3,0.0,0.22,0.0,0.0,8
fjli51,0.0,0.0,0.0,0.13,0.24,0.0,0.0,0.1,0.19,0.0,0.06,0.0,0.27,0.0,0.0,12
fjmczc,0.0,0.0,0.0,0.14,0.25,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.11,0.07,0.0,8
fjmfae,0.0,0.0,0.15,0.0,0.44,0.26,0.0,0.0,0.0,0.07,0.0,0.0,0.08,0.0,0.0,4
fjs2el,0.29,0.0,0.0,0.0,0.2,0.06,0.0,0.06,0.0,0.05,0.1,0.07,0.05,0.12,0.0,0
fjv8q8,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.41,0.0,0.03,0.12,0.36,0.0,0.0,0.0,7
fjx8pt,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.01,10
fjzstd,0.0,0.0,0.0,0.0,0.23,0.0,0.27,0.0,0.46,0.0,0.0,0.03,0.0,0.0,0.0,8
fk1ppn,0.0,0.02,0.0,0.1,0.0,0.0,0.03,0.0,0.14,0.0,0.1,0.52,0.08,0.0,0.0,11
fk34oo,0.0,0.0,0.0,0.0,0.65,0.05,0.05,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.06,4
fk3573,0.38,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.14,0.0,0.25,0.0,0.07,0
fk5npx,0.0,0.0,0.24,0.29,0.0,0.0,0.0,0.0,0.33,0.0,0.02,0.1,0.0,0.0,0.0,8
fk5vd3,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.28,0.28,0.0,0.11,11
fk6vbv,0.0,0.0,0.0,0.11,0.17,0.04,0.0,0.2,0.19,0.0,0.1,0.0,0.0,0.0,0.18,7
fkdvps,0.4,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.23,0
fkg7xh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.63,0.0,13
fkgoel,0.0,0.0,0.12,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,4
fkhffj,0.25,0.0,0.0,0.0,0.34,0.0,0.03,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,8
fkhsvz,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.13,0.0,0.0,0.17,0.0,0
fklexa,0.0,0.0,0.0,0.15,0.46,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.24,0.0,0.0,4
fklw20,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.23,0.0,0.0,0.39,0.0,0.0,0.0,11
fkmvh8,0.0,0.03,0.13,0.0,0.2,0.0,0.0,0.0,0.0,0.15,0.0,0.45,0.0,0.0,0.03,11
fkr3hf,0.43,0.0,0.0,0.0,0.22,0.0,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0
fkt4qb,0.0,0.15,0.13,0.0,0.0,0.01,0.06,0.0,0.11,0.0,0.0,0.27,0.0,0.26,0.0,11
fktgpa,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.42,0.0,0.0,0.0,0.0,10
fktppw,0.0,0.08,0.0,0.0,0.0,0.0,0.05,0.0,0.41,0.0,0.0,0.21,0.21,0.0,0.0,8
fkvbdl,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,12
fkw6gd,0.19,0.05,0.0,0.0,0.0,0.02,0.0,0.28,0.22,0.0,0.0,0.24,0.0,0.0,0.0,7
fkxvme,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.38,0.42,0.01,0.01,0.01,11
fkyssw,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.1,0.05,0.0,0.0,0.0,8
fl1o0j,0.4,0.0,0.0,0.27,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fl3aje,0.0,0.05,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.35,0.0,0.0,12
fl4za7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.29,0.0,0.0,0.17,0.0,0.0,8
fl6uiw,0.36,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.22,0.0,0
flal9n,0.11,0.0,0.0,0.12,0.0,0.0,0.03,0.12,0.18,0.0,0.12,0.14,0.18,0.0,0.0,8
flatix,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.33,0.0,0.0,0.0,0.13,0.47,0.0,0.0,12
fli5c7,0.01,0.01,0.54,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.37,0.01,0.01,0.01,0.01,2
flnbid,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.25,0.2,0.21,0.15,0.0,0.0,9
flq13o,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.22,0.31,0.0,0.0,12
flurfw,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7
flvvw4,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.38,0.0,0.2,0.31,0.0,0.0,0.0,8
flw9ex,0.0,0.02,0.06,0.0,0.0,0.0,0.01,0.16,0.12,0.0,0.04,0.23,0.12,0.21,0.02,11
flxsjq,0.0,0.0,0.0,0.0,0.23,0.0,0.15,0.08,0.15,0.0,0.0,0.37,0.0,0.0,0.0,11
fm0lho,0.43,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0
fm10m4,0.0,0.0,0.0,0.19,0.33,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.08,0.28,0.0,4
fm15lf,0.0,0.01,0.0,0.0,0.56,0.0,0.01,0.13,0.09,0.0,0.0,0.07,0.12,0.0,0.0,4
fm28k6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,0.29,0.34,0.04,13
fm3b0m,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.69,0.02,0.02,0.02,0.02,0.02,9
fm4pbt,0.0,0.0,0.0,0.22,0.12,0.0,0.06,0.0,0.58,0.0,0.01,0.0,0.0,0.0,0.0,8
fm4tbh,0.81,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fm6evq,0.0,0.04,0.17,0.0,0.0,0.04,0.03,0.0,0.0,0.09,0.09,0.1,0.07,0.36,0.0,13
fm8a79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.24,0.01,0.01,0.57,0.13,0.01,0.01,11
fm9qbq,0.0,0.0,0.0,0.0,0.13,0.06,0.01,0.13,0.19,0.0,0.0,0.31,0.1,0.06,0.0,11
fmccnm,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.51,0.01,0.01,0.01,11
fmjodl,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.06,0.0,0.0,0.16,0.19,0.12,0.0,0.19,4
fmzvsl,0.23,0.0,0.16,0.0,0.12,0.01,0.0,0.01,0.24,0.09,0.0,0.06,0.07,0.0,0.01,8
fn3zbj,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.17,0.0,0.0,0.0,0.0,8
fn68fh,0.0,0.0,0.0,0.0,0.27,0.1,0.0,0.0,0.0,0.16,0.0,0.21,0.0,0.24,0.0,4
fn7tlq,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.13,0
fn9ed4,0.0,0.0,0.08,0.0,0.1,0.08,0.04,0.32,0.0,0.0,0.08,0.29,0.0,0.0,0.0,7
fncg6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.49,0.0,0.36,0.0,11
fnmhqk,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0
fnmknx,0.22,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.53,0.04,0.1,0.0,0.0,0.0,0.0,8
fnn42e,0.24,0.01,0.0,0.09,0.24,0.0,0.0,0.07,0.05,0.06,0.0,0.05,0.13,0.06,0.0,0
fnnacy,0.0,0.05,0.0,0.0,0.16,0.0,0.0,0.0,0.39,0.0,0.0,0.25,0.0,0.13,0.0,8
fnp4ax,0.14,0.0,0.09,0.1,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.23,0.0,0.0,0.0,9
fnq4y3,0.0,0.0,0.49,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2
fnrm58,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.47,0.0,0.06,0.0,11
fnxal3,0.0,0.03,0.0,0.0,0.29,0.0,0.0,0.09,0.0,0.0,0.0,0.26,0.0,0.32,0.0,13
fnzgh8,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.11,0.0,0.0,0.0,0.0,0.48,0.18,13
fo0fwe,0.48,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.02,0
fo18bj,0.0,0.03,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.0,0.59,0.12,0.05,0.05,11
fob25p,0.0,0.0,0.14,0.17,0.0,0.12,0.0,0.0,0.41,0.0,0.14,0.0,0.0,0.0,0.0,8
fobeps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.7,0.0,0.0,0.0,11
fohofv,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.11,0.14,0.0,0.0,0.0,8
fojdft,0.0,0.02,0.1,0.0,0.3,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,8
fojh1n,0.39,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.18,0.06,0.0,0.06,0.0,0.27,0.0,0
fol0ga,0.13,0.12,0.0,0.0,0.0,0.0,0.13,0.0,0.44,0.04,0.12,0.0,0.0,0.0,0.0,8
foqnbl,0.19,0.0,0.05,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,10
fov5gl,0.56,0.15,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fp3fg8,0.0,0.01,0.0,0.0,0.17,0.01,0.04,0.0,0.0,0.01,0.0,0.14,0.5,0.12,0.0,12
fp3nvd,0.17,0.0,0.0,0.0,0.06,0.22,0.0,0.29,0.0,0.0,0.0,0.25,0.0,0.0,0.0,7
fp7swq,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.24,0.0,11
