,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
j62ap5,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.5,0.0,8
j62bli,0.38,0.0,0.0,0.34,0.14,0.0,0.0,0.0,0.12,0.0,0
j6407a,0.0,0.33,0.0,0.28,0.21,0.0,0.0,0.0,0.17,0.0,1
j64ayo,0.2,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.55,9
j666tp,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.17,0.0,0.44,9
j668zx,0.36,0.15,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,4
j66de4,0.13,0.0,0.0,0.0,0.0,0.2,0.64,0.0,0.0,0.0,6
j686hb,0.0,0.0,0.0,0.15,0.17,0.0,0.66,0.0,0.0,0.0,6
j699yf,0.0,0.0,0.32,0.06,0.0,0.12,0.0,0.44,0.0,0.05,7
j6aali,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.85,0.0,0.0,7
j6cvqe,0.0,0.03,0.09,0.16,0.0,0.38,0.0,0.0,0.0,0.33,5
j6debs,0.0,0.4,0.43,0.0,0.0,0.15,0.0,0.0,0.0,0.0,2
j6gjxi,0.0,0.0,0.0,0.24,0.11,0.0,0.0,0.64,0.0,0.0,7
j6gmvb,0.0,0.15,0.0,0.14,0.63,0.0,0.0,0.0,0.0,0.07,4
j6guoa,0.09,0.0,0.0,0.0,0.0,0.04,0.0,0.74,0.0,0.12,7
j6h3qp,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
j6jbh2,0.01,0.12,0.01,0.49,0.01,0.01,0.01,0.01,0.15,0.21,3
j6k5o8,0.0,0.13,0.02,0.07,0.18,0.15,0.0,0.46,0.0,0.0,7
j6l09k,0.0,0.0,0.05,0.0,0.26,0.0,0.02,0.14,0.31,0.21,8
j6lw1f,0.0,0.09,0.2,0.24,0.18,0.24,0.05,0.0,0.0,0.0,3
j6ojv9,0.09,0.0,0.0,0.17,0.0,0.03,0.03,0.29,0.27,0.12,7
j6p8z3,0.05,0.4,0.0,0.0,0.44,0.0,0.0,0.1,0.0,0.0,4
j6swj4,0.0,0.0,0.0,0.0,0.31,0.0,0.07,0.2,0.32,0.07,8
