,t0 control,t1 bowel,t2 amp,t3 surgery,t4 got,t5 symptom,t6 back,t7 symptom,t8 want,t9 surgery,dominant_topic
5nsr3v,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.36,2
5nswqq,0.11,0.0,0.12,0.0,0.22,0.0,0.0,0.3,0.05,0.18,7
5nszk2,0.39,0.17,0.05,0.0,0.13,0.0,0.25,0.0,0.0,0.0,0
5ntlkc,0.15,0.07,0.0,0.17,0.28,0.0,0.33,0.0,0.0,0.0,6
5nu8pa,0.9,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.0,0
5nx32u,0.31,0.03,0.0,0.19,0.0,0.06,0.0,0.31,0.09,0.0,0
5nxk2l,0.04,0.0,0.3,0.01,0.1,0.17,0.0,0.0,0.38,0.0,8
5nxr2f,0.0,0.52,0.14,0.09,0.14,0.0,0.1,0.0,0.0,0.0,1
5o3qg2,0.2,0.0,0.0,0.07,0.34,0.16,0.0,0.03,0.2,0.0,4
5o7gt3,0.0,0.0,0.08,0.45,0.32,0.0,0.0,0.0,0.13,0.0,3
5o8t5j,0.3,0.05,0.0,0.1,0.0,0.04,0.06,0.0,0.45,0.0,8
5o9sqa,0.24,0.0,0.0,0.12,0.51,0.0,0.0,0.0,0.07,0.07,4
5ocwgi,0.0,0.0,0.02,0.0,0.11,0.0,0.21,0.38,0.28,0.0,7
5of9qa,0.0,0.04,0.04,0.07,0.0,0.0,0.38,0.21,0.05,0.2,6
5ojev1,0.12,0.09,0.0,0.11,0.38,0.0,0.0,0.0,0.3,0.0,4
5oku9p,0.19,0.0,0.0,0.23,0.0,0.0,0.0,0.23,0.35,0.0,8
5oo3pd,0.0,0.0,0.0,0.29,0.32,0.19,0.16,0.0,0.0,0.04,4
5ooix1,0.27,0.28,0.0,0.15,0.0,0.09,0.04,0.0,0.17,0.0,1
5opgdi,0.01,0.46,0.01,0.1,0.01,0.01,0.01,0.01,0.4,0.01,1
5oq95e,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.42,5
5oq9jz,0.43,0.0,0.0,0.11,0.0,0.09,0.0,0.0,0.28,0.09,0
5oshm7,0.0,0.0,0.0,0.43,0.0,0.0,0.54,0.0,0.0,0.0,6
5otika,0.0,0.0,0.0,0.21,0.0,0.0,0.3,0.0,0.0,0.46,9
5otqlc,0.11,0.0,0.0,0.29,0.0,0.0,0.0,0.13,0.2,0.26,3
5otr1e,0.2,0.0,0.0,0.0,0.0,0.31,0.08,0.0,0.15,0.24,5
5ou873,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
5ouo1m,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.59,0.0,0.02,7
5owqw8,0.0,0.0,0.07,0.45,0.0,0.3,0.0,0.05,0.12,0.0,3
5oxxm9,0.14,0.0,0.0,0.21,0.0,0.0,0.0,0.42,0.23,0.0,7
5ozh7i,0.06,0.0,0.47,0.0,0.0,0.0,0.34,0.0,0.0,0.13,2
5ozzuq,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.19,0.17,0.17,4
5p3ip5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.88,0.0,8
5p7t95,0.09,0.0,0.0,0.0,0.2,0.0,0.03,0.1,0.05,0.52,9
5pd14i,0.02,0.02,0.02,0.32,0.52,0.02,0.02,0.02,0.02,0.02,4
5piong,0.0,0.35,0.0,0.0,0.0,0.25,0.0,0.17,0.0,0.22,1
5pl3a0,0.0,0.06,0.0,0.1,0.19,0.05,0.0,0.0,0.35,0.24,8
5plk38,0.0,0.0,0.0,0.17,0.09,0.0,0.0,0.0,0.59,0.13,8
5pqo5e,0.0,0.0,0.15,0.49,0.0,0.0,0.0,0.34,0.0,0.0,3
5pv9vk,0.0,0.0,0.0,0.19,0.0,0.0,0.14,0.27,0.32,0.07,8
5pw6ct,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,8
5pydi7,0.0,0.04,0.0,0.2,0.0,0.27,0.0,0.0,0.47,0.0,8
5pyf5l,0.0,0.0,0.0,0.0,0.32,0.0,0.25,0.19,0.0,0.22,4
5pyuq3,0.0,0.19,0.06,0.21,0.15,0.0,0.21,0.0,0.0,0.17,3
5pzco0,0.3,0.0,0.11,0.06,0.11,0.0,0.0,0.0,0.42,0.0,8
5pzqg0,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.0,0.32,0.4,9
5pzyrh,0.0,0.0,0.43,0.12,0.0,0.0,0.0,0.0,0.43,0.0,2
5q223e,0.67,0.01,0.01,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0
5q2a84,0.0,0.0,0.0,0.34,0.37,0.0,0.06,0.0,0.0,0.22,4
5q4j9v,0.54,0.0,0.0,0.0,0.0,0.05,0.0,0.24,0.0,0.17,0
5q517p,0.14,0.1,0.0,0.0,0.0,0.09,0.22,0.23,0.22,0.0,7
5q575d,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.7,9
5q8osl,0.0,0.06,0.0,0.31,0.4,0.0,0.0,0.0,0.0,0.22,4
5q94pm,0.11,0.11,0.0,0.29,0.0,0.0,0.07,0.11,0.0,0.29,3
5qbta2,0.0,0.0,0.02,0.0,0.0,0.17,0.43,0.28,0.0,0.09,6
5qdqyb,0.0,0.03,0.0,0.0,0.61,0.0,0.16,0.0,0.0,0.19,4
5qei6v,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.11,0.83,9
5qiifv,0.0,0.0,0.06,0.0,0.22,0.0,0.0,0.36,0.34,0.0,7
5qq6ep,0.0,0.03,0.2,0.2,0.0,0.0,0.0,0.0,0.3,0.26,8
5qt9z1,0.0,0.0,0.0,0.32,0.28,0.0,0.0,0.0,0.39,0.0,8
5r3h4l,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,3
5rljod,0.0,0.0,0.0,0.16,0.26,0.0,0.0,0.28,0.15,0.15,7
5rpyd3,0.0,0.0,0.04,0.0,0.0,0.0,0.22,0.73,0.0,0.0,7
5rrcbf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.49,0.0,8
5ru0lw,0.58,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0
5rv1hk,0.13,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.17,0.42,9
5rvbui,0.01,0.01,0.01,0.01,0.01,0.01,0.56,0.39,0.01,0.01,6
5rw6ak,0.0,0.25,0.0,0.14,0.15,0.0,0.28,0.0,0.0,0.17,6
5rwcrq,0.0,0.0,0.0,0.25,0.6,0.0,0.09,0.06,0.0,0.0,4
5rxcdu,0.01,0.01,0.57,0.01,0.37,0.01,0.01,0.01,0.01,0.01,2
5rxjfr,0.33,0.0,0.31,0.27,0.0,0.0,0.0,0.07,0.0,0.0,0
5rz8yw,0.17,0.0,0.22,0.0,0.3,0.0,0.0,0.0,0.0,0.28,4
5rzads,0.0,0.0,0.0,0.3,0.24,0.28,0.0,0.0,0.18,0.0,3
5s16zr,0.31,0.0,0.0,0.12,0.0,0.0,0.3,0.27,0.0,0.0,0
5sao1h,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.49,0.0,8
5sdvgg,0.0,0.0,0.0,0.0,0.36,0.13,0.18,0.25,0.07,0.0,4
5sfhbp,0.07,0.18,0.0,0.0,0.0,0.11,0.0,0.64,0.0,0.0,7
5sggy4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.49,0.3,0.0,7
5shp36,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.32,0.55,0.0,8
5sitpo,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.32,0.4,9
5sj8du,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.51,0.19,0.06,7
5sn75y,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.45,0.0,4
5snxxe,0.25,0.0,0.0,0.0,0.24,0.0,0.0,0.23,0.24,0.04,0
5sp3w7,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,3
5spctc,0.01,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,5
5srlrk,0.0,0.0,0.0,0.08,0.27,0.0,0.05,0.13,0.3,0.16,8
5sx2c1,0.0,0.0,0.0,0.24,0.2,0.0,0.22,0.0,0.0,0.33,9
5sxs3u,0.0,0.05,0.12,0.0,0.0,0.04,0.0,0.33,0.33,0.13,7
5t0b5k,0.55,0.01,0.01,0.4,0.01,0.01,0.01,0.01,0.01,0.01,0
5t2q95,0.0,0.0,0.09,0.08,0.0,0.0,0.05,0.25,0.0,0.52,9
5t6qu9,0.21,0.0,0.0,0.0,0.0,0.0,0.11,0.43,0.14,0.11,7
5t8tpf,0.54,0.0,0.15,0.09,0.0,0.0,0.0,0.21,0.0,0.0,0
5t999g,0.41,0.0,0.0,0.15,0.16,0.0,0.0,0.27,0.0,0.0,0
5t9lc0,0.33,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.0,0.3,0
5tae0o,0.0,0.09,0.05,0.0,0.46,0.0,0.12,0.16,0.12,0.0,4
5tb2en,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.31,0.0,0.47,9
5tj3z3,0.0,0.0,0.0,0.25,0.0,0.21,0.0,0.11,0.17,0.26,9
5tn1so,0.0,0.0,0.0,0.29,0.0,0.29,0.0,0.0,0.0,0.38,9
5tt3xc,0.03,0.16,0.0,0.45,0.0,0.0,0.0,0.0,0.35,0.0,3
5u3g0e,0.0,0.0,0.06,0.26,0.24,0.16,0.06,0.0,0.0,0.21,3
5u7sw8,0.11,0.03,0.09,0.02,0.0,0.09,0.0,0.12,0.4,0.13,8
5u89u5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
5ua2xp,0.0,0.0,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.64,9
5ubiqk,0.03,0.0,0.09,0.0,0.4,0.0,0.0,0.0,0.16,0.32,4
5ubruu,0.0,0.06,0.0,0.18,0.43,0.0,0.0,0.1,0.13,0.09,4
5uhwei,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.52,0.38,8
5uidbn,0.46,0.0,0.0,0.21,0.0,0.0,0.0,0.11,0.13,0.09,0
5un1sq,0.0,0.0,0.0,0.32,0.17,0.0,0.0,0.0,0.5,0.0,8
5un7t8,0.0,0.0,0.0,0.23,0.0,0.17,0.0,0.0,0.0,0.57,9
5uran7,0.1,0.0,0.17,0.16,0.0,0.0,0.0,0.48,0.0,0.08,7
5urgkg,0.0,0.09,0.0,0.0,0.2,0.0,0.22,0.25,0.0,0.24,7
5uuf51,0.01,0.01,0.72,0.01,0.17,0.01,0.01,0.01,0.01,0.01,2
5uviqv,0.47,0.38,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.01,0
5uxa55,0.0,0.1,0.0,0.0,0.05,0.0,0.2,0.48,0.17,0.0,7
5v0nyj,0.0,0.0,0.21,0.24,0.0,0.0,0.0,0.0,0.54,0.0,8
5v286a,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.46,0.0,6
5v2net,0.05,0.1,0.08,0.06,0.19,0.0,0.0,0.47,0.0,0.06,7
5v5fpb,0.0,0.0,0.31,0.38,0.03,0.0,0.0,0.0,0.27,0.0,3
5v5mqf,0.45,0.01,0.01,0.01,0.01,0.47,0.01,0.01,0.01,0.01,5
5v5sk3,0.03,0.0,0.21,0.37,0.13,0.0,0.0,0.25,0.0,0.0,3
5v5wq9,0.26,0.0,0.04,0.06,0.0,0.0,0.04,0.36,0.23,0.0,7
5v8hqj,0.54,0.0,0.08,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0
5v8k5t,0.0,0.06,0.01,0.31,0.0,0.0,0.0,0.3,0.18,0.13,3
5v8x04,0.01,0.48,0.23,0.01,0.23,0.01,0.01,0.01,0.01,0.01,1
5vc8in,0.3,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
5vd1fy,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
5vdcuh,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.28,0.31,3
5vdp6f,0.01,0.01,0.28,0.18,0.01,0.01,0.01,0.48,0.01,0.01,7
5ve3i1,0.15,0.0,0.21,0.34,0.19,0.0,0.0,0.0,0.0,0.11,3
5vftdv,0.57,0.01,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5vgvsi,0.02,0.0,0.0,0.0,0.44,0.0,0.2,0.0,0.16,0.18,4
5vijxl,0.02,0.04,0.0,0.15,0.44,0.0,0.12,0.0,0.2,0.04,4
5vjnm1,0.0,0.14,0.0,0.26,0.0,0.0,0.21,0.06,0.32,0.0,8
5vjuki,0.0,0.29,0.21,0.17,0.0,0.0,0.0,0.13,0.0,0.19,1
5vktce,0.62,0.0,0.0,0.11,0.0,0.05,0.0,0.0,0.0,0.2,0
5vlpwg,0.16,0.0,0.0,0.05,0.0,0.05,0.0,0.17,0.56,0.0,8
5vp09b,0.15,0.0,0.12,0.04,0.18,0.07,0.0,0.15,0.18,0.12,4
5vpb1p,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.43,0.0,8
5vt4cj,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.36,9
5vt8ef,0.0,0.22,0.06,0.54,0.0,0.0,0.0,0.0,0.0,0.16,3
5vvgb9,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.4,0.18,0.23,7
5vvovj,0.38,0.0,0.0,0.04,0.0,0.38,0.0,0.0,0.19,0.0,0
5vxfjq,0.0,0.07,0.0,0.17,0.24,0.0,0.14,0.15,0.23,0.0,4
5vxnmz,0.0,0.05,0.08,0.08,0.71,0.0,0.0,0.0,0.0,0.07,4
5vy7c8,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.63,0.0,0.29,7
5vytmg,0.0,0.09,0.55,0.2,0.0,0.14,0.0,0.0,0.0,0.0,2
5vzs86,0.33,0.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
5w1w45,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.63,9
5w23cg,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.13,0.0,0.26,3
5w5h3u,0.0,0.0,0.02,0.07,0.14,0.05,0.1,0.4,0.0,0.21,7
5w6s2k,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.5,9
5wa2w6,0.03,0.06,0.0,0.23,0.26,0.0,0.2,0.0,0.23,0.0,4
5wa8uf,0.05,0.0,0.13,0.0,0.0,0.02,0.0,0.03,0.76,0.0,8
5wancv,0.31,0.05,0.0,0.0,0.27,0.06,0.23,0.0,0.08,0.0,0
5wi16d,0.0,0.0,0.04,0.0,0.0,0.47,0.32,0.15,0.0,0.0,5
5wi5p7,0.2,0.0,0.0,0.21,0.05,0.0,0.0,0.32,0.12,0.11,7
5wtxc8,0.0,0.0,0.15,0.0,0.22,0.0,0.44,0.0,0.0,0.17,6
5wwp8d,0.1,0.01,0.78,0.08,0.01,0.01,0.01,0.01,0.01,0.01,2
5wybk0,0.2,0.0,0.3,0.47,0.0,0.0,0.0,0.0,0.0,0.0,3
5wzjnp,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.42,2
5x2nyo,0.0,0.15,0.0,0.18,0.26,0.0,0.06,0.0,0.34,0.0,8
5x471g,0.43,0.0,0.0,0.05,0.0,0.0,0.1,0.12,0.1,0.19,0
5x5v3c,0.16,0.08,0.0,0.0,0.18,0.0,0.05,0.2,0.27,0.06,8
5x62jb,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.41,0.22,8
5xbtz4,0.27,0.14,0.0,0.06,0.0,0.0,0.22,0.3,0.0,0.0,7
5xcwtn,0.0,0.15,0.0,0.28,0.0,0.0,0.0,0.0,0.32,0.25,8
5xgkxu,0.03,0.0,0.07,0.08,0.07,0.05,0.0,0.0,0.69,0.0,8
5xgxfj,0.0,0.0,0.0,0.27,0.28,0.0,0.0,0.0,0.0,0.43,9
5xhur5,0.11,0.0,0.0,0.41,0.28,0.0,0.0,0.0,0.18,0.0,3
5xip6p,0.0,0.26,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,6
5xizz8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.47,0.0,7
5xjw4s,0.36,0.26,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.26,0
5xkatd,0.38,0.1,0.0,0.0,0.0,0.0,0.21,0.13,0.0,0.18,0
5xldss,0.09,0.0,0.22,0.0,0.29,0.0,0.0,0.04,0.22,0.14,4
5xn6m2,0.0,0.0,0.61,0.15,0.22,0.0,0.0,0.0,0.0,0.0,2
5xp8c4,0.18,0.02,0.0,0.16,0.33,0.0,0.0,0.0,0.3,0.0,4
5xpskx,0.0,0.0,0.06,0.13,0.0,0.0,0.07,0.16,0.56,0.0,8
5xqvre,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.15,0.0,0.51,9
5xr3qv,0.03,0.12,0.0,0.0,0.43,0.0,0.19,0.0,0.0,0.22,4
5xxvh4,0.31,0.0,0.0,0.28,0.22,0.05,0.0,0.05,0.09,0.0,0
5y0f4h,0.0,0.0,0.0,0.53,0.0,0.15,0.0,0.0,0.29,0.0,3
5y4ddg,0.0,0.0,0.18,0.0,0.0,0.0,0.21,0.0,0.2,0.4,9
5y51ch,0.51,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5y5wrk,0.2,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.57,9
5y691v,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5y7vfg,0.0,0.0,0.0,0.3,0.0,0.0,0.03,0.31,0.28,0.07,7
5y807d,0.0,0.0,0.06,0.2,0.21,0.0,0.0,0.26,0.13,0.14,7
5y8duc,0.81,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
5y9hy5,0.0,0.07,0.0,0.0,0.22,0.04,0.0,0.27,0.38,0.0,8
5y9r9g,0.0,0.0,0.0,0.31,0.27,0.0,0.0,0.0,0.4,0.0,8
5yasd7,0.26,0.1,0.0,0.14,0.21,0.0,0.0,0.0,0.12,0.18,0
5yb52l,0.16,0.0,0.12,0.61,0.0,0.0,0.1,0.0,0.0,0.0,3
5ybfqp,0.14,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5yboff,0.03,0.0,0.0,0.0,0.34,0.04,0.18,0.11,0.0,0.29,4
5yc2k0,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.01,0.42,6
5yf3bd,0.01,0.01,0.07,0.68,0.01,0.01,0.01,0.01,0.01,0.21,3
5yh435,0.0,0.0,0.0,0.04,0.0,0.15,0.04,0.55,0.21,0.0,7
5yi1n3,0.0,0.0,0.0,0.18,0.06,0.0,0.09,0.0,0.56,0.1,8
5ykomq,0.06,0.0,0.04,0.13,0.23,0.0,0.34,0.11,0.0,0.09,6
5ym531,0.0,0.0,0.0,0.26,0.61,0.0,0.0,0.0,0.12,0.0,4
5ympd1,0.0,0.0,0.0,0.33,0.53,0.0,0.0,0.0,0.0,0.13,4
5ynrqj,0.0,0.0,0.03,0.0,0.43,0.0,0.12,0.0,0.22,0.2,4
5yqxyk,0.54,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0
5yxhqq,0.0,0.09,0.0,0.06,0.0,0.11,0.11,0.49,0.14,0.0,7
5yynau,0.0,0.0,0.0,0.0,0.5,0.0,0.49,0.0,0.0,0.0,4
5yyxj4,0.0,0.09,0.03,0.11,0.59,0.0,0.03,0.0,0.0,0.15,4
5yzyst,0.0,0.0,0.06,0.25,0.0,0.0,0.0,0.41,0.28,0.0,7
5z0bs0,0.17,0.05,0.04,0.08,0.0,0.0,0.02,0.44,0.2,0.01,7
5z1a4o,0.0,0.0,0.0,0.39,0.32,0.0,0.26,0.0,0.0,0.0,3
5z3729,0.12,0.0,0.02,0.26,0.0,0.0,0.0,0.12,0.47,0.0,8
5z5suq,0.24,0.0,0.0,0.13,0.0,0.19,0.14,0.0,0.29,0.0,8
5z73mn,0.0,0.23,0.14,0.0,0.18,0.14,0.0,0.13,0.0,0.18,1
5z7ikx,0.37,0.0,0.0,0.1,0.0,0.0,0.0,0.13,0.1,0.3,0
5za3e5,0.07,0.03,0.0,0.0,0.43,0.0,0.07,0.0,0.4,0.0,4
5zcfyx,0.0,0.0,0.0,0.26,0.38,0.0,0.0,0.0,0.35,0.0,4
5zd2d9,0.0,0.41,0.0,0.08,0.22,0.0,0.0,0.0,0.0,0.28,1
5zd324,0.0,0.18,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,4
5zdco2,0.0,0.0,0.0,0.13,0.0,0.0,0.84,0.0,0.0,0.0,6
5zffm2,0.0,0.26,0.0,0.31,0.41,0.0,0.0,0.0,0.0,0.0,4
5zg8le,0.17,0.0,0.22,0.06,0.0,0.06,0.0,0.0,0.46,0.02,8
5zimdd,0.01,0.01,0.18,0.01,0.78,0.01,0.01,0.01,0.01,0.01,4
5zlvv1,0.05,0.04,0.03,0.0,0.0,0.12,0.16,0.0,0.25,0.34,9
5zo7f5,0.31,0.15,0.0,0.0,0.0,0.0,0.08,0.44,0.0,0.0,7
5zoc22,0.0,0.04,0.0,0.31,0.21,0.0,0.0,0.07,0.3,0.06,3
5zqkup,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.72,0.0,0.05,7
5zqvsi,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.53,0.0,8
5zr1g3,0.36,0.0,0.0,0.0,0.4,0.0,0.06,0.17,0.0,0.0,4
5zrch5,0.0,0.0,0.0,0.15,0.0,0.0,0.14,0.0,0.68,0.0,8
5zs0m7,0.26,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.13,0.0,3
5zspxz,0.24,0.29,0.0,0.24,0.0,0.2,0.0,0.0,0.0,0.0,1
5zsz2v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.25,0.25,7
5ztbc3,0.0,0.0,0.07,0.15,0.4,0.04,0.05,0.0,0.29,0.0,4
5zv9as,0.4,0.01,0.56,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
5zvelz,0.0,0.11,0.05,0.32,0.06,0.1,0.0,0.36,0.0,0.0,7
5zw9v1,0.16,0.0,0.0,0.33,0.0,0.04,0.0,0.2,0.16,0.09,3
5zzbj2,0.02,0.67,0.19,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
6006ip,0.0,0.0,0.0,0.0,0.0,0.07,0.25,0.0,0.66,0.0,8
604awi,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.26,0.39,9
606u7b,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.4,0.01,0.01,3
607fcz,0.01,0.01,0.54,0.42,0.01,0.01,0.01,0.01,0.01,0.01,2
6096oo,0.0,0.0,0.0,0.34,0.0,0.23,0.0,0.0,0.0,0.42,9
609ma2,0.36,0.19,0.0,0.0,0.23,0.0,0.0,0.15,0.0,0.07,0
60aq4h,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.1,0.42,3
60e33r,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.4,0.0,0.3,7
60ftkv,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.44,0.0,0.41,7
60idjf,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,8
60ihh8,0.0,0.05,0.04,0.11,0.0,0.0,0.11,0.19,0.0,0.5,9
60ihoa,0.07,0.0,0.04,0.43,0.14,0.0,0.0,0.0,0.26,0.06,3
60krzl,0.05,0.09,0.06,0.04,0.38,0.03,0.14,0.08,0.0,0.14,4
60ku5z,0.0,0.33,0.09,0.0,0.2,0.0,0.0,0.0,0.0,0.37,9
60o50r,0.23,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.1,0.0,4
60o90g,0.69,0.0,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0
60piiw,0.15,0.0,0.0,0.0,0.21,0.0,0.0,0.34,0.29,0.0,7
60plbk,0.21,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.62,0.0,8
60qeeq,0.01,0.01,0.22,0.01,0.01,0.29,0.01,0.01,0.01,0.45,9
60rb4a,0.01,0.01,0.01,0.19,0.37,0.01,0.01,0.01,0.4,0.01,8
60saeg,0.0,0.0,0.0,0.14,0.0,0.6,0.0,0.0,0.0,0.23,5
60t4eq,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,5
60ujnt,0.0,0.75,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1
60x79j,0.0,0.0,0.0,0.18,0.0,0.62,0.0,0.0,0.16,0.0,5
60z52o,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.23,0.28,4
61226n,0.0,0.0,0.0,0.17,0.45,0.0,0.0,0.0,0.21,0.17,4
616eme,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.69,0.11,8
619lno,0.23,0.05,0.14,0.35,0.0,0.22,0.0,0.0,0.0,0.0,3
61cum9,0.01,0.01,0.14,0.76,0.01,0.01,0.01,0.01,0.01,0.01,3
61da4r,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.76,9
61egwu,0.05,0.0,0.09,0.06,0.0,0.0,0.0,0.0,0.78,0.0,8
61fe93,0.38,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3
61ghr4,0.0,0.2,0.0,0.13,0.28,0.0,0.0,0.0,0.38,0.0,8
61go00,0.0,0.0,0.0,0.08,0.47,0.0,0.0,0.08,0.0,0.35,4
61gw0p,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.26,0.38,0.17,8
61j4ux,0.01,0.48,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,1
61jnm4,0.0,0.0,0.0,0.14,0.18,0.0,0.26,0.0,0.18,0.24,6
61jssz,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.28,0.17,0.22,3
61kcpl,0.0,0.0,0.0,0.48,0.22,0.0,0.0,0.28,0.0,0.0,3
61ndqu,0.07,0.0,0.0,0.0,0.0,0.0,0.43,0.49,0.0,0.0,7
61q6je,0.0,0.0,0.06,0.48,0.0,0.09,0.0,0.35,0.0,0.0,3
61qctw,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.78,0.0,0.0,7
61t5yc,0.38,0.0,0.18,0.22,0.0,0.07,0.0,0.0,0.0,0.14,0
61tgfn,0.13,0.0,0.03,0.27,0.12,0.0,0.05,0.0,0.0,0.39,9
61un13,0.23,0.0,0.11,0.0,0.0,0.08,0.08,0.5,0.0,0.0,7
61vysr,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.72,9
61xgxr,0.54,0.0,0.18,0.1,0.0,0.07,0.0,0.07,0.0,0.03,0
621qpz,0.06,0.0,0.05,0.0,0.03,0.05,0.01,0.03,0.69,0.08,8
622arf,0.0,0.0,0.05,0.07,0.0,0.0,0.19,0.69,0.0,0.0,7
6236bu,0.0,0.0,0.03,0.33,0.5,0.0,0.0,0.0,0.0,0.13,4
623vw9,0.08,0.43,0.0,0.0,0.0,0.0,0.12,0.33,0.0,0.03,1
6293p5,0.06,0.0,0.04,0.08,0.0,0.0,0.12,0.1,0.17,0.42,9
62ajkl,0.54,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0
62begl,0.17,0.0,0.17,0.11,0.17,0.0,0.0,0.0,0.13,0.24,9
