,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
584vjr,0.13,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.31,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.07,0.0,9
585h6q,0.0,0.22,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,9
586ect,0.07,0.0,0.33,0.36,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,3
589jth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.5,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,11
58dd75,0.0,0.0,0.41,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.02,0.0,0.3,0.0,0.08,0.1,2
58gll0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.0,0.01,0.11,0.47,0.0,0.0,0.17,16
58o68v,0.12,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03,0.45,0.11,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,9
58zipa,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.2,0.0,0.0,0.17,0.02,0.0,0.0,0.37,0.0,0.0,0.0,16
593d7u,0.0,0.0,0.0,0.21,0.08,0.0,0.08,0.0,0.0,0.18,0.08,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.06,0.0,15
596qk5,0.0,0.11,0.14,0.0,0.06,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.22,8
59bhe6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.71,0.0,0.0,0.0,16
59caat,0.0,0.0,0.08,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,17
59fp2j,0.23,0.0,0.0,0.29,0.0,0.0,0.14,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,3
59fr8m,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.08,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,8
59fxid,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.26,0.13,0.05,0.0,15
59jbex,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.72,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
59ma7n,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.25,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,16
59mfid,0.0,0.0,0.09,0.0,0.3,0.02,0.0,0.0,0.06,0.0,0.17,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,15
59snwe,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.42,0.0,0.0,0.0,16
59u66m,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.13,0.0,0.0,0.04,0.0,0.0,0.0,0.63,0.0,0.0,17
59vjqd,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.69,0.01,0.01,0.01,0.01,15
5a3eoj,0.05,0.0,0.0,0.0,0.18,0.06,0.0,0.18,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.16,0.25,0.0,0.0,0.0,16
5a4999,0.0,0.0,0.25,0.3,0.08,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3
5a5fpa,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,8
5a8jwm,0.0,0.0,0.0,0.0,0.42,0.0,0.02,0.0,0.0,0.24,0.11,0.08,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,4
5ahelp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.56,19
5akncj,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.14,0.0,0.0,0.0,0.2,0.14,0.0,0.37,0.08,0.0,0.03,0.0,15
5akrnr,0.0,0.0,0.12,0.0,0.22,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.06,0.0,0.0,15
5akuy2,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,15
5aqwb1,0.09,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.41,0.24,0.0,0.0,0.0,15
5as8cn,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5atyio,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.15,0.05,0.0,8
5avbqv,0.0,0.0,0.0,0.15,0.3,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.0,0.0,0.0,0.0,0.19,0.06,0.0,0.0,4
5awwiw,0.0,0.02,0.12,0.0,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.33,0.0,0.04,0.25,16
5axj83,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1
5az4h3,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.23,0.0,0.0,0.0,0.0,0.17,0.0,0.24,0.0,0.15,17
5azhar,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.2,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5b1so0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.22,0.14,0.0,0.0,0.14,0.06,0.0,9
5b1yt0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.33,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,15
5b20x5,0.06,0.0,0.0,0.11,0.17,0.0,0.0,0.0,0.0,0.12,0.04,0.11,0.0,0.0,0.0,0.0,0.14,0.0,0.1,0.15,4
5b8nu2,0.0,0.0,0.28,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.46,0.0,0.0,0.07,16
5ba63t,0.0,0.0,0.11,0.11,0.0,0.3,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.03,0.23,0.09,0.0,0.0,0.0,5
5bav5r,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
5be7kj,0.06,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.01,0.02,0.03,0.0,0.13,0.15,0.0,0.14,3
5becxa,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.07,0.0,15
5bf609,0.0,0.05,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,9
5bjnb8,0.0,0.0,0.0,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.0,0.03,0.02,0.06,0.3,0.0,0.0,17
5bk4q2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.11,0.15,0.08,0.0,0.0,0.0,0.0,0.3,0.08,0.22,0.0,0.02,15
5bo8w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.37,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2,9
5bp6rt,0.0,0.07,0.0,0.09,0.0,0.0,0.0,0.0,0.15,0.14,0.0,0.04,0.0,0.0,0.01,0.0,0.2,0.12,0.05,0.13,16
5bptqd,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.18,0.35,19
5bs5e3,0.0,0.0,0.0,0.07,0.12,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.18,0.0,0.0,0.0,0.5,0.0,0.0,0.0,16
5bsph2,0.15,0.0,0.0,0.14,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,4
5bttzk,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.39,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.18,0.2,8
5bxbdl,0.35,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.28,0.0,0.0,0.04,0.04,0.05,0.0,0.0,0.13,0.0,0.0,0.0,0
5bxklh,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.47,0.05,0.0,0.25,16
5c0s4x,0.0,0.0,0.0,0.14,0.1,0.0,0.0,0.06,0.0,0.05,0.0,0.0,0.11,0.0,0.0,0.0,0.38,0.0,0.05,0.11,16
5cahas,0.13,0.0,0.0,0.0,0.39,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.13,0.0,0.0,4
5cb74i,0.21,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.26,19
5cce8f,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.07,0.24,10
5ccehl,0.17,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,16
5ch5jj,0.49,0.0,0.17,0.06,0.0,0.0,0.09,0.0,0.0,0.0,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5cicxh,0.0,0.0,0.13,0.26,0.0,0.02,0.02,0.0,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.11,0.0,3
5ckod9,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.54,0.0,0.09,17
5cl2ov,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.11,0.38,0.28,0.0,0.0,0.0,0.0,0.0,0.09,0.0,11
5ct9du,0.64,0.0,0.0,0.11,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0
5cv92z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.0,0.0,0.0,0.23,0.08,0.0,0.0,0.0,0.08,0.0,0.0,8
5cw9ef,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.2,0.0,0.18,0.35,19
5cwm8f,0.32,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.16,0.18,0.0,0.02,0.0,0.02,0.0,0.16,0.0,0.0,0.0,0
5cyf40,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.44,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
5d4olc,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.11,0.0,0.52,0.0,0.0,0.0,0.0,15
5d6mgu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8
5dcabg,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.0,0.0,0.0,0.19,0.0,0.0,0.0,3
5dijxu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.17,0.0,0.0,8
5djvlq,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.09,0.08,0.0,0.15,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5dkaki,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.39,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
5dkdur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.17,0.0,0.0,0.0,15
5dkulm,0.0,0.0,0.0,0.07,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.09,0.0,0.53,0.0,0.0,0.0,0.0,15
5dn1sj,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,10
5dnpaq,0.06,0.0,0.0,0.2,0.0,0.03,0.0,0.07,0.22,0.13,0.0,0.0,0.0,0.0,0.06,0.17,0.06,0.0,0.0,0.0,8
5du66n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.55,0.2,0.0,0.0,0.18,15
5dv0zo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.66,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
5dzawm,0.0,0.0,0.0,0.06,0.24,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.37,0.0,0.16,0.0,0.0,15
5e3011,0.0,0.03,0.12,0.0,0.07,0.02,0.02,0.0,0.05,0.0,0.09,0.07,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.14,16
5e71qp,0.0,0.0,0.11,0.06,0.1,0.0,0.0,0.0,0.06,0.13,0.0,0.0,0.0,0.04,0.02,0.08,0.0,0.4,0.0,0.0,17
5eeyf8,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.33,0.13,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,8
5efqcj,0.0,0.0,0.0,0.55,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.09,0.0,3
5eisec,0.0,0.06,0.13,0.0,0.0,0.03,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.15,0.18,0.2,0.0,0.0,0.0,8
5ej2b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.8,0.0,0.0,0.0,16
5ej86p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.4,0.12,0.0,0.0,0.0,0.0,0.0,0.0,8
5elcme,0.0,0.0,0.17,0.03,0.0,0.0,0.0,0.06,0.0,0.15,0.04,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.16,16
5eljzv,0.13,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.02,0.28,0.24,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.03,9
5eu4ra,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.15,0.0,0.05,0.0,0.0,0.29,0.29,0.0,0.0,0.0,15
5ev0w3,0.0,0.0,0.2,0.08,0.0,0.0,0.15,0.07,0.14,0.09,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,2
5f1gmj,0.0,0.07,0.0,0.32,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.0,0.15,0.0,0.0,0.0,3
5f77el,0.0,0.0,0.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.14,0.42,0.05,0.0,17
5f8kp3,0.22,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,4
5f98vl,0.0,0.04,0.05,0.07,0.0,0.0,0.0,0.06,0.04,0.1,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.46,0.0,0.0,17
5fbsia,0.03,0.0,0.0,0.16,0.0,0.0,0.04,0.02,0.0,0.19,0.0,0.01,0.05,0.0,0.05,0.15,0.0,0.14,0.0,0.16,9
5fchah,0.0,0.0,0.11,0.0,0.0,0.03,0.02,0.0,0.0,0.13,0.1,0.0,0.0,0.03,0.0,0.0,0.41,0.0,0.08,0.09,16
5fd5pm,0.0,0.0,0.3,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.4,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,10
5fi0ym,0.06,0.0,0.0,0.0,0.0,0.0,0.26,0.1,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.23,0.0,0.0,0.0,6
5fk33u,0.07,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.22,0.17,0.0,0.0,0.05,0.0,0.0,0.0,0.22,0.11,0.0,0.0,8
5fk75r,0.02,0.0,0.05,0.21,0.03,0.0,0.1,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.1,0.04,16
5fmdqp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.18,0.0,0.0,0.0,0.0,0.26,0.0,0.0,10
5fmfog,0.0,0.0,0.17,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.22,0.36,0.0,0.0,0.0,0.0,15
5fvj42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.17,0.17,0.0,0.0,0.0,0.0,0.39,0.0,0.16,0.0,16
5fztte,0.29,0.0,0.0,0.26,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,16
5g1ukz,0.24,0.0,0.13,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.06,0.0,0.05,0.0,0.0,0.1,0.22,0.0,0.09,0.08,0
5g3ogi,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.07,0.03,0.0,0
5g47sl,0.02,0.0,0.0,0.05,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.52,0.12,0.0,0.0,0.0,0.18,0.0,0.0,0.0,11
5g5u7d,0.13,0.0,0.0,0.26,0.03,0.0,0.0,0.18,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,3
5g6uam,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,7
5g7zbl,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,16
5ga1w8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.1,0.05,0.0,0.01,0.0,0.0,0.06,0.0,0.0,0.07,8
5gbs42,0.01,0.01,0.01,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
5gg65y,0.19,0.11,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.32,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.0,9
5ggumf,0.01,0.01,0.01,0.32,0.01,0.2,0.01,0.01,0.24,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,3
5gh3cw,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.11,0.0,0.0,0.0,0.31,0.0,0.0,0.0,11
5gjus5,0.0,0.0,0.37,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.18,0.02,0.0,0.22,0.08,0.0,0.0,2
5go0p9,0.0,0.0,0.06,0.0,0.16,0.0,0.0,0.0,0.0,0.34,0.0,0.06,0.0,0.0,0.0,0.0,0.07,0.29,0.0,0.0,9
5go251,0.38,0.0,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.16,0.08,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0
5gov1l,0.0,0.0,0.16,0.08,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.21,11
5gv2og,0.07,0.0,0.18,0.0,0.14,0.03,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.06,0.0,16
5gvmuh,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,19
5h183y,0.03,0.0,0.1,0.09,0.0,0.0,0.0,0.0,0.39,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8
5h1gew,0.0,0.0,0.2,0.1,0.21,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4
5h5jqf,0.0,0.29,0.0,0.41,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
5h66aw,0.03,0.05,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.09,0.23,17
5h704j,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06,0.0,0.0,0.0,0.31,0.0,0.0,0.0,9
5h7ypx,0.09,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.03,0.0,4
5h9bab,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,17
5hc3ml,0.0,0.18,0.0,0.0,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.15,0.15,0.03,0.0,15
5herk9,0.0,0.0,0.06,0.0,0.19,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.09,0.0,0.0,0.17,0.13,0.0,0.25,19
5heuju,0.01,0.04,0.01,0.08,0.0,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.21,0.24,0.23,0.0,0.0,16
5hkels,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.04,0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.59,0.0,0.0,17
5hmaln,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.07,0.19,16
5hmwz7,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8
5hok6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.29,0.14,0.0,0.04,0.0,0.09,0.0,0.13,0.0,0.0,0.24,9
5hou9w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.18,0.04,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.24,16
5hsncx,0.0,0.16,0.0,0.09,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.37,0.18,0.0,0.0,0.0,15
5i0zir,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.15,0.0,0.0,0.0,0.0,0.24,0.0,0.23,0.0,0.0,9
5i3jm0,0.13,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,19
5i3xdl,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.38,0.0,0.0,17
5i4beo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.35,10
5i4bzk,0.0,0.0,0.08,0.15,0.0,0.0,0.0,0.03,0.0,0.27,0.07,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,0.08,9
5iccvo,0.0,0.0,0.0,0.29,0.0,0.04,0.09,0.06,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.12,0.15,0.0,0.0,0.2,3
5iew18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.37,19
5if1ax,0.02,0.0,0.06,0.17,0.0,0.0,0.0,0.0,0.03,0.4,0.06,0.0,0.0,0.0,0.03,0.0,0.17,0.0,0.05,0.0,9
5igas9,0.16,0.0,0.0,0.02,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.17,11
5iiz3k,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
5ijqll,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.25,0.03,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,16
5ik5e6,0.0,0.0,0.3,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.41,19
5im479,0.01,0.7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
5im4mu,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.23,0.2,0.0,0.0,0.16,15
5in3ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.42,0.0,0.0,17
5iok25,0.29,0.0,0.0,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.08,0.09,0.06,0.27,0
