,t0 cyst,t1 get,t2 help,t3 symptom,t4 control,t5 eat,t6 pelvic,t7 sex,t8 iud,t9 back,t10 surgery,t11 endometriosis,t12 amp,t13 flare,t14 nausea,t15 like,t16 nt,t17 period,t18 appointment,t19 doctor,dominant_topic
ghhmwq,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.06,0.0,0.0,0.19,0.0,0.0,0.0,0.15,9
ghhqf5,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.19,0.26,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.24,0.0,0.0,8
ghkq5u,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.03,0.67,0.0,0.0,0.0,0.0,15
ghkrvi,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.15,0.1,0.0,0.07,0.0,0.11,0.09,0.05,0.23,19
ghmg2c,0.1,0.1,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.33,0.05,0.0,0.0,0.03,0.04,0.07,0.0,0.21,0.0,0.0,9
gholon,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.0,0.17,0.0,0.0,0.08,0.0,0.0,0.18,0.0,0.0,0.39,19
ghpc81,0.0,0.23,0.0,0.0,0.43,0.0,0.06,0.0,0.0,0.0,0.19,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
ghtsnz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,19
ghv7ka,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.18,0.05,0.0,0.0,0.0,0.0,0.19,0.0,0.15,0.18,16
ghxs2g,0.29,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.36,0.0,0.0,17
ghzm2y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.61,0.0,0.0,0.0,16
gi252z,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5
gi3189,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.07,0.0,0.04,0.0,0.13,0.3,0.04,0.0,17
gi3ym0,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.33,0.24,0.06,0.0,0.15,15
gi47l8,0.0,0.0,0.0,0.05,0.0,0.06,0.0,0.06,0.0,0.09,0.0,0.0,0.0,0.1,0.0,0.0,0.52,0.12,0.0,0.0,16
gi4e6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.26,0.0,0.0,0.4,0.0,0.0,0.0,0.0,15
gi4k3k,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.27,0.0,0.18,0.11,2
gib23c,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
gicfuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.64,0.17,0.0,0.0,0.0,15
gidfau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.03,0.0,0.0,0.62,0.0,0.0,0.0,0.15,15
giebbu,0.0,0.0,0.0,0.3,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,0.06,0.0,0.13,0.0,0.0,0.0,0.0,3
giffha,0.25,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,4
gigtky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
giho7f,0.0,0.0,0.0,0.09,0.29,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.33,0.0,0.0,17
gik4po,0.13,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.47,0.0,0.0,17
gimojn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,15
ginnzn,0.0,0.03,0.5,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.03,0.01,0.05,2
gintz7,0.0,0.15,0.0,0.0,0.07,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.22,0.0,0.0,0.36,19
gio9uh,0.02,0.0,0.07,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.52,0.06,0.0,0.0,16
gioivg,0.0,0.04,0.07,0.07,0.16,0.04,0.08,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.04,0.21,0.0,0.23,0.0,0.0,17
