,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
a37rt2,0.0,0.04,0.0,0.03,0.19,0.0,0.0,0.0,0.42,0.0,0.0,0.21,0.11,0.0,0.0,8
a39fgc,0.07,0.01,0.24,0.08,0.21,0.0,0.0,0.0,0.0,0.04,0.33,0.0,0.03,0.0,0.0,10
a39x5l,0.0,0.03,0.02,0.1,0.18,0.05,0.07,0.0,0.11,0.0,0.0,0.12,0.25,0.02,0.07,12
a3amim,0.02,0.0,0.0,0.05,0.11,0.0,0.14,0.0,0.0,0.05,0.37,0.04,0.0,0.05,0.17,10
a3bo6p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.27,0.13,0.02,0.07,0.16,0.0,0.04,4
a3fnmi,0.37,0.0,0.36,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0
a3i3qq,0.0,0.0,0.0,0.07,0.2,0.02,0.08,0.0,0.0,0.0,0.0,0.4,0.22,0.0,0.0,11
a3idgo,0.0,0.08,0.0,0.06,0.39,0.0,0.21,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,4
a3ijfo,0.0,0.07,0.0,0.6,0.0,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,3
a3jj58,0.0,0.17,0.26,0.04,0.44,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4
a3k0yj,0.0,0.3,0.08,0.0,0.38,0.0,0.03,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4
a3l3di,0.13,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.13,0.0,0.0,0.27,0.0,0.2,0.0,11
a3n3ln,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.01,0.28,10
a3nyr6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.44,0.26,0.0,0.0,0.0,0.23,9
a3ot13,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.27,0.41,0.0,0.22,0.0,0.0,10
a3pfpj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.27,0.0,0.2,0.0,10
a3rqf6,0.0,0.05,0.0,0.41,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,3
a3s6eu,0.01,0.05,0.12,0.0,0.0,0.0,0.06,0.01,0.43,0.2,0.06,0.0,0.0,0.0,0.07,8
a3t4au,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.47,14
a3t5r7,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.62,14
a3u0vp,0.0,0.27,0.0,0.0,0.0,0.03,0.04,0.0,0.35,0.18,0.11,0.0,0.0,0.0,0.0,8
a3vmhh,0.0,0.0,0.27,0.21,0.0,0.0,0.0,0.05,0.0,0.13,0.32,0.0,0.0,0.0,0.0,10
a3vqqq,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.01,0.11,0.2,0.0,0.0,0.48,0.0,0.04,12
a3w7ar,0.01,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
a3zzdm,0.0,0.0,0.07,0.14,0.21,0.07,0.0,0.03,0.15,0.0,0.0,0.0,0.31,0.0,0.0,12
a42bp6,0.01,0.0,0.2,0.02,0.05,0.0,0.03,0.0,0.0,0.25,0.19,0.11,0.0,0.0,0.13,9
a42ck4,0.0,0.0,0.0,0.0,0.29,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
a44j9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.16,0.29,0.0,0.0,0.0,8
a47gdw,0.0,0.1,0.24,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,8
a47zpc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.12,0.16,0.0,0.31,9
a48mos,0.0,0.14,0.0,0.08,0.0,0.0,0.0,0.0,0.26,0.05,0.0,0.0,0.22,0.0,0.25,8
a4ayoq,0.14,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.44,0.0,0.13,0.0,0.0,0.0,9
a4eqn4,0.14,0.0,0.41,0.0,0.25,0.0,0.0,0.02,0.0,0.0,0.11,0.03,0.0,0.0,0.04,2
a4ndmo,0.0,0.0,0.05,0.0,0.41,0.0,0.08,0.0,0.07,0.0,0.38,0.0,0.0,0.0,0.0,4
a4oe20,0.0,0.03,0.17,0.02,0.0,0.04,0.04,0.04,0.0,0.39,0.21,0.0,0.0,0.0,0.04,9
a4omaz,0.19,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,2
a4qpyk,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.23,0.0,0.0,0.0,2
a4ryta,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.01,0.0,0.16,0.17,0.0,0.0,0.0,0.0,4
a4s0gl,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.32,8
a4udg0,0.0,0.0,0.0,0.0,0.18,0.05,0.08,0.02,0.0,0.0,0.11,0.11,0.12,0.05,0.28,14
a4ush6,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.18,0.0,0.23,0.0,0.0,1
a4xi27,0.0,0.1,0.0,0.0,0.44,0.07,0.0,0.0,0.0,0.19,0.06,0.0,0.04,0.0,0.09,4
a4z9mi,0.0,0.01,0.14,0.02,0.12,0.0,0.05,0.0,0.0,0.45,0.05,0.09,0.05,0.0,0.0,9
a50kp6,0.04,0.0,0.0,0.06,0.0,0.0,0.01,0.03,0.0,0.5,0.0,0.36,0.0,0.0,0.0,9
a51bp8,0.0,0.0,0.06,0.0,0.24,0.3,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,9
a52zh5,0.0,0.07,0.05,0.05,0.0,0.02,0.0,0.0,0.16,0.0,0.0,0.22,0.14,0.0,0.27,14
a53iqf,0.06,0.06,0.21,0.02,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.18,4
a53umo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.92,14
a546n3,0.02,0.11,0.0,0.0,0.73,0.0,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
a57fy4,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,2
a590j6,0.0,0.42,0.0,0.0,0.39,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.14,1
a59hpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.93,0.0,0.0,0.0,0.0,10
a5a379,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.39,0.08,0.0,0.0,0.26,0.04,0.0,8
a5ailq,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.25,0.17,0.0,0.0,10
a5bb18,0.0,0.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.37,0.0,0.0,0.0,11
a5bust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.32,0.29,0.0,0.25,0.0,0.0,9
a5drbq,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.31,0.0,0.0,0.0,0.27,0.0,0.22,8
a5ef8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.85,0.0,0.0,0.0,11
a5fcc6,0.21,0.0,0.0,0.0,0.41,0.0,0.03,0.0,0.0,0.0,0.22,0.11,0.0,0.0,0.0,4
a5fjm7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.51,0.0,0.09,0.0,11
a5i5ci,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.0,0.0,0.0,0.31,0.0,0.0,0.21,11
a5janm,0.04,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.45,0.0,0.0,0.0,11
a5m939,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.19,0.0,0.0,0.0,0.0,0
a5mjot,0.0,0.0,0.0,0.0,0.21,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.41,0.0,0.27,12
a5mvn0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.15,0.0,0.12,0.0,0.13,1
a5nm7c,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.15,0.28,0.0,0.0,0.22,0.0,0.28,9
a5nxgu,0.0,0.02,0.17,0.0,0.17,0.0,0.0,0.0,0.08,0.41,0.0,0.0,0.0,0.0,0.15,9
a5odt8,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.51,0.0,0.17,12
a5ottw,0.0,0.0,0.07,0.1,0.0,0.0,0.0,0.01,0.09,0.0,0.38,0.13,0.0,0.0,0.21,10
a5rsuk,0.0,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.42,0.3,0.0,0.0,0.11,0.0,9
a5x7m7,0.06,0.0,0.11,0.02,0.24,0.0,0.0,0.01,0.0,0.08,0.38,0.0,0.07,0.03,0.0,10
a5zzgn,0.0,0.0,0.05,0.0,0.18,0.04,0.05,0.0,0.35,0.0,0.06,0.04,0.15,0.0,0.08,8
a60ite,0.0,0.0,0.0,0.0,0.38,0.04,0.01,0.0,0.23,0.16,0.16,0.0,0.0,0.0,0.0,4
a61ms1,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.06,0.58,14
a627ux,0.09,0.0,0.17,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.17,0.34,0.0,0.0,0.16,11
a63ikt,0.02,0.07,0.0,0.04,0.27,0.0,0.1,0.0,0.0,0.0,0.16,0.33,0.0,0.0,0.0,11
a63wgm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.42,0.0,0.39,0.0,0.0,10
a6557l,0.0,0.05,0.0,0.08,0.0,0.0,0.2,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,10
a65ckh,0.0,0.0,0.08,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.15,4
a65q3z,0.03,0.02,0.02,0.03,0.26,0.01,0.02,0.0,0.18,0.4,0.0,0.0,0.02,0.0,0.0,9
a66s8j,0.0,0.0,0.65,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,2
a68lxt,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.03,0.35,0.05,0.09,0.0,0.26,0.0,0.1,8
a68s68,0.07,0.0,0.13,0.0,0.2,0.03,0.0,0.0,0.14,0.0,0.0,0.05,0.21,0.08,0.09,12
a69g0l,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.14,0.0,0.68,14
a6dy2u,0.0,0.03,0.0,0.0,0.22,0.0,0.0,0.01,0.0,0.0,0.16,0.25,0.0,0.0,0.31,14
a6e3ct,0.0,0.04,0.26,0.0,0.0,0.0,0.04,0.0,0.06,0.34,0.14,0.0,0.0,0.0,0.13,9
a6h4gb,0.0,0.0,0.0,0.35,0.23,0.0,0.05,0.04,0.19,0.0,0.0,0.0,0.13,0.01,0.0,3
a6js59,0.0,0.18,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,2
a6mxc7,0.0,0.0,0.0,0.19,0.0,0.0,0.08,0.0,0.0,0.05,0.0,0.2,0.29,0.0,0.19,12
a6rl3w,0.0,0.0,0.0,0.0,0.11,0.22,0.0,0.03,0.0,0.0,0.0,0.07,0.0,0.15,0.4,14
a6tbgy,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4,0.0,0.18,0.0,0.23,0.0,0.0,8
a6ub8i,0.0,0.0,0.26,0.0,0.0,0.0,0.05,0.0,0.1,0.23,0.0,0.34,0.0,0.0,0.0,11
a6uq45,0.03,0.03,0.03,0.03,0.03,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,6
a73e6f,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.45,14
a76eil,0.05,0.04,0.08,0.0,0.22,0.0,0.0,0.0,0.09,0.08,0.06,0.26,0.0,0.11,0.0,11
a780r4,0.0,0.0,0.05,0.0,0.13,0.01,0.03,0.0,0.25,0.06,0.0,0.0,0.25,0.0,0.22,8
a7apnh,0.0,0.0,0.0,0.05,0.18,0.01,0.09,0.0,0.2,0.0,0.16,0.04,0.0,0.06,0.21,14
a7bwl6,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.78,0.0,0.0,0.0,0.0,10
a7dke3,0.0,0.0,0.07,0.0,0.1,0.0,0.03,0.0,0.0,0.15,0.0,0.41,0.24,0.0,0.0,11
a7fjtv,0.15,0.01,0.01,0.01,0.77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
a7grl2,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.02,0.0,0.23,0.0,0.11,0.29,0.09,0.0,12
a7gtoc,0.0,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.1,0.0,0.4,0.2,0.08,0.0,0.0,10
a7h7x8,0.0,0.0,0.51,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,2
a7hk3w,0.23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.15,0.0,0.0,0.0,10
a7m9cj,0.03,0.0,0.0,0.0,0.0,0.1,0.07,0.03,0.0,0.52,0.0,0.0,0.0,0.0,0.24,9
a7mcsj,0.0,0.27,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.12,0.0,0.16,0.0,10
a7nc3z,0.0,0.0,0.0,0.0,0.18,0.26,0.0,0.0,0.0,0.0,0.33,0.12,0.0,0.0,0.1,10
a7ocd7,0.0,0.34,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.0,0.0,0.0,1
a7ohqt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.42,0.0,0.0,0.0,0.0,9
a7p5kk,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.52,14
a7qmsx,0.0,0.0,0.0,0.0,0.49,0.06,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,4
a7rx5h,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.27,0.0,0.07,0.0,0.0,0.0,4
a7slfs,0.0,0.0,0.0,0.0,0.2,0.02,0.08,0.0,0.06,0.04,0.3,0.0,0.0,0.0,0.28,10
a7spgk,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.35,0.0,0.08,0.0,0.36,0.0,0.18,12
a7spkb,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.08,0.0,0.09,0.0,0.12,8
a7u2o5,0.0,0.18,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,2
a7u3no,0.0,0.0,0.31,0.0,0.29,0.0,0.0,0.0,0.0,0.29,0.09,0.0,0.0,0.0,0.0,2
a7yarr,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.49,0.2,0.0,0.0,0.0,0.0,0.24,8
a7ze82,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.49,0.12,0.0,0.0,0.17,0.0,0.0,8
a7zm5m,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0
a839wv,0.0,0.02,0.0,0.11,0.0,0.3,0.0,0.0,0.16,0.0,0.0,0.1,0.3,0.0,0.0,5
a85l1l,0.0,0.02,0.0,0.0,0.26,0.0,0.06,0.03,0.16,0.0,0.0,0.0,0.39,0.0,0.06,12
a85xad,0.04,0.0,0.0,0.0,0.23,0.26,0.0,0.0,0.0,0.0,0.13,0.32,0.0,0.0,0.0,11
a85yv4,0.06,0.0,0.0,0.11,0.0,0.0,0.03,0.0,0.0,0.61,0.0,0.0,0.18,0.0,0.0,9
a87f6k,0.0,0.0,0.09,0.0,0.0,0.0,0.3,0.0,0.0,0.49,0.1,0.0,0.0,0.0,0.0,9
a88nxi,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.34,0.11,0.0,0.07,0.0,0.0,8
a8b8w4,0.09,0.0,0.07,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.12,4
a8dife,0.0,0.0,0.0,0.14,0.0,0.09,0.0,0.0,0.18,0.16,0.0,0.0,0.14,0.09,0.19,14
a8djuz,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.25,0.0,0.11,0.0,0.24,9
a8eot8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.17,0.16,0.0,0.17,8
a8heoe,0.0,0.02,0.01,0.2,0.11,0.02,0.09,0.01,0.0,0.1,0.0,0.19,0.16,0.0,0.1,3
a8k296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.13,0.0,9
a8nfb4,0.38,0.0,0.36,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0
a8s7fv,0.0,0.0,0.0,0.0,0.34,0.0,0.07,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.23,10
a8vchc,0.01,0.11,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,4
a8ww6h,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,9
a8x781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.0,0.0,0.0,0.51,0.0,0.3,12
a8y81p,0.0,0.0,0.12,0.0,0.54,0.0,0.08,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,4
a91my6,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.38,0.0,0.17,12
a96ahj,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,12
a998h6,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,0.01,9
a9b88s,0.0,0.0,0.0,0.0,0.12,0.04,0.1,0.02,0.16,0.05,0.11,0.0,0.17,0.08,0.14,12
a9bw2r,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.05,0.32,1
a9ish4,0.0,0.07,0.0,0.13,0.0,0.03,0.06,0.0,0.09,0.12,0.0,0.0,0.0,0.08,0.43,14
a9ju08,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.02,0.02,0.49,0.0,0.0,0.0,0.0,0.0,9
a9klvw,0.06,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.08,0.0,0.0,0.15,8
a9kr7s,0.0,0.0,0.0,0.0,0.67,0.1,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,4
a9l6rd,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.24,0.0,0.04,0.0,10
a9mkeb,0.0,0.05,0.11,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.37,0.13,0.0,0.09,0.0,10
a9n4ek,0.0,0.0,0.13,0.1,0.0,0.05,0.04,0.0,0.0,0.3,0.15,0.0,0.14,0.0,0.1,9
a9pljz,0.01,0.01,0.65,0.01,0.01,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.15,0.01,0.01,2
a9q3ge,0.0,0.07,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.31,12
a9sz5u,0.0,0.0,0.0,0.02,0.1,0.0,0.0,0.0,0.41,0.19,0.0,0.0,0.27,0.0,0.0,8
a9tbxn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.08,0.0,0.51,0.0,0.0,12
a9u66m,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,14
a9ud2d,0.0,0.0,0.08,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.04,0.0,4
a9xcf1,0.21,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.29,0.0,0.31,14
aa1lym,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.02,0.15,0.08,0.54,0.04,0.0,0.0,0.0,10
aa1n7w,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.02,0.15,0.08,0.54,0.04,0.0,0.0,0.0,10
aa2bsb,0.0,0.0,0.0,0.21,0.0,0.0,0.05,0.0,0.25,0.08,0.0,0.16,0.0,0.0,0.24,8
aa2oq3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.18,0.0,0.0,0.0,8
aa3t0w,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.27,0.44,14
aa4kzv,0.04,0.01,0.09,0.0,0.11,0.0,0.0,0.0,0.21,0.0,0.25,0.19,0.07,0.04,0.0,10
aa4l5a,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.22,0.0,0.0,0.18,0.26,0.0,0.0,4
aab205,0.0,0.13,0.27,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.21,8
aabr6m,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.0,0.0,0.0,0.35,14
aac4sn,0.12,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.15,0.03,4
aacmub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.37,0.0,0.29,12
aaevhw,0.0,0.0,0.0,0.0,0.25,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,5
aagvca,0.24,0.01,0.33,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.01,0.01,0.01,2
aajmps,0.0,0.0,0.63,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,2
aajnqi,0.0,0.0,0.55,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.12,2
aakx36,0.0,0.0,0.25,0.0,0.0,0.0,0.04,0.06,0.12,0.0,0.19,0.27,0.0,0.05,0.0,11
aapz80,0.0,0.0,0.17,0.03,0.0,0.02,0.0,0.02,0.11,0.0,0.0,0.06,0.15,0.0,0.44,14
aaqwc6,0.0,0.07,0.07,0.0,0.0,0.0,0.33,0.02,0.0,0.45,0.05,0.0,0.0,0.0,0.0,9
aar5eb,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.2,0.0,0.16,0.3,0.0,0.24,12
aatooy,0.0,0.07,0.0,0.0,0.27,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,14
aau26v,0.0,0.04,0.0,0.0,0.17,0.0,0.0,0.03,0.67,0.0,0.0,0.0,0.1,0.0,0.0,8
aav9nd,0.0,0.0,0.09,0.0,0.35,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.26,0.0,0.0,4
aaygbz,0.0,0.26,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.08,0.0,0.0,0.0,10
aaz47l,0.0,0.0,0.08,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.08,0.05,4
aaztuf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.51,0.0,0.0,0.0,0.45,0.0,0.0,8
ab16hb,0.04,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.54,0.09,0.05,0.0,0.17,0.0,0.0,8
ab29of,0.0,0.0,0.06,0.0,0.28,0.0,0.0,0.0,0.08,0.12,0.0,0.18,0.0,0.0,0.28,4
ab34zd,0.4,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
abm41j,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,12
abmmsx,0.0,0.0,0.2,0.1,0.0,0.12,0.0,0.03,0.14,0.24,0.0,0.0,0.0,0.16,0.0,9
abmnze,0.0,0.13,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,11
abmxbk,0.0,0.0,0.34,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,11
abn4uu,0.0,0.0,0.22,0.0,0.0,0.13,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.3,9
abns3s,0.01,0.01,0.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,2
abrjwv,0.0,0.0,0.0,0.0,0.2,0.0,0.23,0.0,0.0,0.07,0.0,0.26,0.22,0.0,0.0,11
absrbv,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.28,0.32,0.0,0.0,0.0,0.31,0.0,9
abumy3,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,2
abvquv,0.34,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.57,0.01,0.01,0.01,0.01,0.01,9
abw9lu,0.09,0.07,0.06,0.0,0.37,0.03,0.03,0.02,0.13,0.05,0.0,0.0,0.11,0.04,0.0,4
abxlux,0.0,0.32,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
aby7qd,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.05,0.13,0.36,0.08,0.21,12
ac07qm,0.0,0.16,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.12,0.0,0.0,4
ac0pcq,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.04,0.64,0.11,0.0,0.0,0.0,10
ac20ft,0.0,0.0,0.18,0.0,0.0,0.0,0.15,0.02,0.22,0.0,0.31,0.11,0.0,0.0,0.0,10
ac8qwm,0.18,0.0,0.0,0.0,0.55,0.0,0.0,0.03,0.0,0.11,0.0,0.12,0.0,0.0,0.0,4
ac8utj,0.0,0.02,0.07,0.0,0.08,0.0,0.0,0.0,0.0,0.33,0.43,0.0,0.06,0.0,0.0,10
