,t0 side,t1 amp,t2 experience,t3 blood,t4 nt,t5 weight,t6 pelvic,t7 didn,t8 control,t9 day,t10 surgery,t11 doctor,t12 period,t13 flare,t14 like,dominant_topic
jyzsq2,0.0,0.23,0.38,0.0,0.0,0.0,0.09,0.0,0.0,0.14,0.0,0.0,0.0,0.15,0.0,2
jz0ssb,0.14,0.02,0.0,0.0,0.21,0.0,0.0,0.0,0.33,0.0,0.09,0.15,0.0,0.06,0.0,8
jz0xi7,0.0,0.0,0.08,0.0,0.03,0.0,0.0,0.0,0.14,0.2,0.0,0.4,0.0,0.15,0.0,11
jz1ppa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.22,0.12,0.0,0.0,0.11,9
jz2b3p,0.0,0.0,0.44,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
jz2bzi,0.0,0.0,0.26,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.02,0.37,14
jz2wa6,0.1,0.0,0.13,0.0,0.34,0.0,0.0,0.0,0.0,0.15,0.21,0.0,0.0,0.06,0.0,4
jz3a5p,0.0,0.15,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,9
jz573m,0.03,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
jz5k41,0.0,0.0,0.05,0.0,0.4,0.1,0.07,0.12,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4
jz7i5c,0.17,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,4
jz9huy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.1,0.0,0.0,0.0,0.37,9
jzb07z,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,6
jzb9u2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.63,0.2,0.12,0.0,0.0,0.0,9
jzbwl1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.51,0.0,0.0,0.0,11
jzbyrc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,14
jzc2k6,0.0,0.0,0.0,0.0,0.07,0.0,0.08,0.0,0.45,0.0,0.0,0.0,0.35,0.04,0.0,8
jzekf3,0.0,0.04,0.0,0.0,0.17,0.1,0.05,0.0,0.0,0.0,0.28,0.04,0.0,0.06,0.27,10
jzf3x7,0.0,0.0,0.05,0.0,0.44,0.0,0.0,0.0,0.0,0.13,0.03,0.2,0.0,0.0,0.16,4
jzfiie,0.07,0.0,0.02,0.0,0.19,0.05,0.06,0.0,0.17,0.0,0.15,0.04,0.0,0.0,0.24,14
jzg8et,0.0,0.0,0.58,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,2
jzhgm7,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,9
jzhu3j,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.48,0.0,0.0,0.0,0.0,0.0,9
jziger,0.11,0.0,0.22,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,4
jzjs1n,0.03,0.0,0.35,0.0,0.3,0.0,0.0,0.02,0.0,0.26,0.0,0.0,0.0,0.03,0.0,2
jzkj7w,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.14,0.0,2
jzl18p,0.08,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.0,0.08,0.21,0.0,0.22,14
jzm2k0,0.0,0.34,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2
jzmc2g,0.0,0.0,0.21,0.0,0.28,0.0,0.0,0.07,0.06,0.0,0.14,0.23,0.0,0.0,0.0,4
jzmhc6,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.67,0.14,0.0,0.0,0.0,10
jzn4n1,0.02,0.12,0.05,0.0,0.0,0.0,0.06,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.16,8
jzqzx4,0.0,0.06,0.0,0.0,0.0,0.0,0.08,0.0,0.52,0.0,0.0,0.09,0.0,0.0,0.25,8
jzr6lf,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.21,0.0,0.2,0.0,0.0,0.06,0.08,4
jzryp2,0.0,0.0,0.21,0.0,0.5,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.02,0.17,0.0,4
jzs2on,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.84,14
jzt8y1,0.0,0.0,0.0,0.0,0.35,0.0,0.02,0.0,0.29,0.0,0.32,0.0,0.0,0.0,0.0,4
jztd1o,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.43,0.06,0.0,0.0,0.39,0.0,0.0,8
jzua3q,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.2,0.14,0.1,0.0,0.0,0.0,4
jzum0b,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.05,0.0,0.0,0.22,0.0,0.57,0.0,0.0,12
jzva73,0.0,0.02,0.0,0.21,0.2,0.0,0.0,0.03,0.06,0.25,0.0,0.23,0.0,0.0,0.0,9
jzvzbd,0.0,0.0,0.07,0.0,0.31,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.09,0.22,0.0,4
jzx2pp,0.0,0.17,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,4
jzxkkr,0.0,0.0,0.28,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,4
jzya22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.38,0.56,0.0,0.0,0.0,11
jzzdcp,0.0,0.0,0.45,0.35,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2
jzzmuu,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.8,14
k005i2,0.0,0.01,0.0,0.0,0.37,0.04,0.0,0.0,0.03,0.06,0.0,0.07,0.32,0.04,0.06,4
k00zka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.36,0.0,0.0,0.0,0.45,14
k01sgn,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,12
k02kbj,0.07,0.21,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
k02zlp,0.0,0.09,0.0,0.0,0.57,0.0,0.06,0.0,0.0,0.0,0.12,0.0,0.06,0.08,0.0,4
k03v0a,0.0,0.0,0.19,0.11,0.0,0.0,0.32,0.0,0.0,0.0,0.31,0.0,0.0,0.05,0.0,6
k03yd3,0.0,0.25,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,2
k03yha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.58,0.0,0.12,12
k04e8v,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.41,10
k05fvr,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.24,0.15,0.0,0.11,0.0,0.43,14
k0766x,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.19,0.0,0.32,0.23,0.11,0.0,0.04,10
k07e2q,0.0,0.13,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.07,0.0,0.0,9
k080rn,0.03,0.0,0.0,0.0,0.22,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.41,0.05,0.24,12
k08e6r,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.45,0.0,0.0,0.0,0.21,10
k08kk2,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3
k092bf,0.0,0.0,0.0,0.0,0.23,0.0,0.07,0.05,0.04,0.0,0.0,0.08,0.23,0.0,0.31,14
k09njp,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.07,0.4,0.0,0.02,0.39,11
k09zjq,0.0,0.0,0.0,0.0,0.47,0.0,0.07,0.15,0.0,0.0,0.12,0.0,0.0,0.0,0.18,4
k0a3ng,0.05,0.0,0.15,0.0,0.0,0.08,0.05,0.02,0.12,0.0,0.14,0.1,0.0,0.06,0.22,14
k0a482,0.0,0.0,0.0,0.0,0.17,0.29,0.0,0.0,0.0,0.16,0.0,0.0,0.37,0.0,0.0,12
k0a5bq,0.0,0.0,0.15,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,4
k0auay,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.06,0.48,14
k0b1zn,0.0,0.0,0.08,0.0,0.06,0.0,0.0,0.01,0.09,0.23,0.14,0.2,0.0,0.02,0.17,9
k0b2u2,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.3,0.0,0.0,0.0,8
k0b9kf,0.0,0.03,0.0,0.24,0.3,0.0,0.07,0.0,0.0,0.26,0.05,0.0,0.0,0.05,0.0,4
k0clrd,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.31,0.01,0.29,8
k0cs8l,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.09,0.44,0.01,0.01,0.01,0.01,0.01,0.41,8
k0dehv,0.0,0.0,0.68,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,2
k0deun,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.32,0.01,0.38,0.01,0.01,12
k0e53q,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,0.01,0.01,0.32,0.01,0.01,9
k0eujr,0.09,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.31,8
k0fokp,0.0,0.0,0.17,0.0,0.0,0.12,0.0,0.03,0.0,0.18,0.0,0.33,0.0,0.0,0.16,11
k0ho0m,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.08,0.01,0.01,0.32,0.33,0.01,0.01,0.01,11
k0j9sd,0.07,0.05,0.07,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.05,4
k0k1h3,0.01,0.01,0.01,0.01,0.01,0.01,0.22,0.01,0.01,0.01,0.38,0.01,0.01,0.31,0.01,10
k0lsju,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.04,0.0,0.19,0.0,0.07,0.0,0.03,0.0,4
k0mbk3,0.17,0.47,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,1
k0mq7q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,10
k0n7as,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4
k0nk3x,0.0,0.0,0.61,0.0,0.0,0.04,0.0,0.0,0.0,0.19,0.0,0.13,0.0,0.0,0.0,2
k0nz9c,0.0,0.18,0.17,0.02,0.07,0.03,0.0,0.0,0.14,0.02,0.0,0.06,0.0,0.12,0.18,1
k0p5od,0.0,0.16,0.0,0.02,0.0,0.0,0.18,0.0,0.0,0.29,0.14,0.0,0.0,0.0,0.2,9
k0p5yw,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.2,0.29,0.0,0.0,0.0,11
k0phga,0.0,0.34,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2
k0pyuj,0.16,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.24,0.28,0.0,0.14,0.0,0.14,10
k0quwq,0.0,0.0,0.0,0.0,0.18,0.0,0.05,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.29,9
k0r9rx,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
k0ra4v,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.1,0.22,0.0,9
k0s0g5,0.02,0.02,0.02,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.36,0.02,3
