,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
9k18ja,0.05,0.08,0.32,0.0,0.43,0.0,0.0,0.0,0.11,0.0,4
9k1blx,0.03,0.52,0.0,0.0,0.2,0.0,0.23,0.0,0.0,0.0,1
9k2e1i,0.0,0.33,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,4
9kfgt0,0.01,0.01,0.24,0.45,0.01,0.01,0.01,0.01,0.25,0.01,3
9kjdhg,0.01,0.13,0.0,0.0,0.74,0.0,0.0,0.0,0.12,0.0,4
9kjgo4,0.0,0.28,0.0,0.0,0.27,0.23,0.0,0.0,0.0,0.21,1
9kocpb,0.01,0.34,0.25,0.09,0.27,0.0,0.04,0.0,0.0,0.0,1
9kopfw,0.1,0.0,0.15,0.0,0.71,0.03,0.0,0.0,0.0,0.0,4
9ksypb,0.0,0.07,0.0,0.36,0.0,0.19,0.0,0.03,0.0,0.33,3
9kvhaa,0.05,0.08,0.44,0.0,0.41,0.0,0.0,0.0,0.0,0.0,2
9kvvoe,0.0,0.0,0.4,0.0,0.0,0.22,0.0,0.17,0.06,0.13,2
9kwvsm,0.01,0.32,0.01,0.01,0.26,0.01,0.34,0.01,0.01,0.01,6
9kx76k,0.04,0.0,0.29,0.48,0.0,0.0,0.0,0.19,0.0,0.0,3
9l45x2,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.23,0.31,0.0,2
9l74lm,0.0,0.15,0.09,0.0,0.0,0.0,0.0,0.0,0.6,0.14,8
9labzj,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.24,0.35,0.0,2
9laifi,0.0,0.24,0.0,0.0,0.28,0.0,0.0,0.19,0.0,0.29,9
9laikg,0.0,0.0,0.38,0.24,0.0,0.0,0.0,0.35,0.0,0.0,2
9lb87e,0.03,0.27,0.18,0.51,0.0,0.0,0.0,0.0,0.0,0.0,3
9ldifq,0.0,0.74,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,1
9lds6u,0.0,0.0,0.0,0.24,0.73,0.0,0.0,0.0,0.0,0.0,4
9lh9k7,0.01,0.13,0.09,0.0,0.19,0.36,0.02,0.0,0.02,0.16,5
9liiz0,0.0,0.0,0.07,0.0,0.25,0.04,0.04,0.04,0.07,0.49,9
9lm61b,0.01,0.18,0.77,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
9lpbbc,0.0,0.18,0.07,0.14,0.0,0.0,0.04,0.38,0.1,0.09,7
9ltfkm,0.0,0.28,0.12,0.2,0.0,0.0,0.0,0.0,0.39,0.0,8
9lts3v,0.0,0.0,0.0,0.32,0.08,0.0,0.0,0.0,0.59,0.0,8
9lve54,0.0,0.0,0.62,0.0,0.36,0.0,0.0,0.0,0.0,0.0,2
9lwvtm,0.01,0.01,0.01,0.01,0.6,0.01,0.35,0.01,0.01,0.01,4
9lxbi5,0.0,0.0,0.29,0.0,0.22,0.0,0.0,0.0,0.0,0.46,9
9lys5n,0.0,0.06,0.21,0.0,0.17,0.04,0.03,0.37,0.0,0.12,7
9m10pr,0.0,0.47,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,4
9m9aqp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.48,8
9ma8qw,0.05,0.0,0.19,0.29,0.0,0.0,0.31,0.0,0.0,0.15,6
9mb00z,0.0,0.0,0.2,0.16,0.15,0.0,0.17,0.0,0.13,0.2,2
9mi4yz,0.0,0.44,0.03,0.0,0.28,0.11,0.01,0.05,0.0,0.08,1
9mmow9,0.0,0.0,0.0,0.24,0.12,0.0,0.0,0.0,0.27,0.37,9
9msb35,0.01,0.01,0.01,0.64,0.01,0.01,0.01,0.01,0.01,0.3,3
9mu18a,0.0,0.0,0.07,0.0,0.28,0.2,0.0,0.03,0.26,0.17,4
9n2k05,0.0,0.16,0.0,0.0,0.09,0.22,0.0,0.0,0.51,0.0,8
9n4g00,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.69,9
9naxg4,0.0,0.0,0.5,0.04,0.0,0.0,0.0,0.03,0.0,0.42,2
9nb1z0,0.0,0.0,0.16,0.0,0.83,0.0,0.0,0.0,0.0,0.0,4
9ncilo,0.0,0.37,0.21,0.33,0.0,0.07,0.0,0.0,0.0,0.0,1
9ndgg3,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.05,0.46,0.26,8
9nfkrc,0.0,0.64,0.0,0.32,0.0,0.0,0.03,0.0,0.0,0.0,1
9nfn69,0.02,0.07,0.11,0.35,0.0,0.0,0.0,0.03,0.25,0.18,3
9ngefp,0.06,0.0,0.74,0.0,0.0,0.0,0.11,0.0,0.07,0.0,2
9ngio3,0.0,0.14,0.05,0.0,0.56,0.04,0.09,0.0,0.0,0.12,4
9nl15y,0.07,0.01,0.22,0.01,0.01,0.01,0.01,0.67,0.01,0.01,7
9nn8qs,0.03,0.21,0.03,0.0,0.0,0.0,0.0,0.09,0.34,0.3,8
9nnxj9,0.0,0.0,0.53,0.0,0.2,0.0,0.0,0.25,0.0,0.0,2
9nuvyi,0.15,0.0,0.29,0.2,0.35,0.0,0.0,0.0,0.0,0.0,4
9o226g,0.01,0.71,0.01,0.01,0.01,0.14,0.11,0.01,0.01,0.01,1
9o33yq,0.0,0.17,0.64,0.0,0.0,0.04,0.0,0.14,0.0,0.0,2
9o513r,0.02,0.57,0.0,0.23,0.0,0.17,0.0,0.0,0.0,0.0,1
9o6k05,0.06,0.08,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9o8qjy,0.01,0.24,0.71,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
9ocmzd,0.0,0.0,0.32,0.13,0.54,0.0,0.0,0.0,0.0,0.0,4
9odily,0.09,0.01,0.75,0.01,0.01,0.01,0.01,0.12,0.01,0.01,2
9ogjjj,0.0,0.0,0.22,0.13,0.0,0.24,0.03,0.21,0.0,0.17,5
9ognfe,0.0,0.13,0.0,0.0,0.02,0.0,0.0,0.03,0.24,0.56,9
9ogu22,0.08,0.0,0.53,0.38,0.0,0.0,0.0,0.0,0.0,0.0,2
9oh70h,0.0,0.37,0.12,0.0,0.0,0.0,0.0,0.07,0.43,0.0,8
9ohqig,0.0,0.0,0.2,0.17,0.1,0.04,0.0,0.06,0.05,0.38,9
9oiygj,0.03,0.16,0.0,0.0,0.0,0.14,0.0,0.04,0.52,0.11,8
9okhli,0.0,0.35,0.03,0.21,0.0,0.0,0.02,0.12,0.27,0.0,1
9okm86,0.0,0.47,0.0,0.32,0.0,0.0,0.0,0.17,0.0,0.0,1
9oo095,0.15,0.0,0.49,0.0,0.33,0.0,0.0,0.0,0.0,0.0,2
9op1an,0.0,0.33,0.14,0.0,0.0,0.09,0.0,0.0,0.13,0.3,1
9oqekf,0.0,0.15,0.33,0.0,0.0,0.14,0.11,0.0,0.0,0.26,2
9orr8l,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2
9os00o,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.92,0.01,8
9ovji4,0.05,0.0,0.0,0.58,0.0,0.0,0.0,0.05,0.3,0.0,3
9oykkp,0.0,0.0,0.22,0.46,0.0,0.0,0.03,0.18,0.1,0.0,3
9ozvlr,0.07,0.0,0.0,0.18,0.0,0.69,0.04,0.0,0.0,0.0,5
9p1rv3,0.0,0.0,0.2,0.0,0.46,0.04,0.03,0.02,0.18,0.08,4
9p2sxi,0.04,0.15,0.04,0.0,0.0,0.04,0.0,0.14,0.59,0.0,8
9p2wn6,0.0,0.0,0.26,0.31,0.0,0.0,0.1,0.3,0.0,0.0,3
9p9lhv,0.0,0.05,0.0,0.26,0.18,0.02,0.0,0.12,0.37,0.0,8
9pa3c2,0.0,0.0,0.71,0.0,0.0,0.0,0.25,0.0,0.0,0.0,2
9paju3,0.01,0.0,0.0,0.1,0.0,0.1,0.0,0.02,0.52,0.23,8
9pazgp,0.0,0.0,0.0,0.0,0.21,0.0,0.08,0.07,0.14,0.5,9
9pc3ov,0.0,0.0,0.21,0.11,0.17,0.04,0.0,0.0,0.15,0.31,9
9pcwyg,0.04,0.2,0.0,0.13,0.09,0.16,0.04,0.0,0.18,0.16,1
9ped4v,0.08,0.22,0.0,0.0,0.0,0.0,0.06,0.11,0.52,0.0,8
9pf33f,0.0,0.17,0.0,0.0,0.0,0.0,0.01,0.02,0.62,0.18,8
9pfihs,0.0,0.18,0.05,0.19,0.57,0.0,0.0,0.0,0.0,0.0,4
9pg7c7,0.03,0.0,0.42,0.0,0.24,0.0,0.0,0.0,0.0,0.29,2
9pi5fv,0.04,0.52,0.23,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1
9pjpgv,0.0,0.0,0.45,0.0,0.11,0.0,0.43,0.0,0.0,0.0,2
9plfkt,0.07,0.11,0.17,0.63,0.0,0.0,0.0,0.0,0.0,0.0,3
9plwza,0.02,0.0,0.0,0.36,0.23,0.0,0.0,0.0,0.38,0.0,8
9pp1b1,0.01,0.01,0.24,0.27,0.01,0.01,0.46,0.01,0.01,0.01,6
9pr3b6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.95,0.01,8
9pryoe,0.02,0.15,0.15,0.0,0.35,0.25,0.0,0.0,0.07,0.0,4
9psa8m,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.15,0.7,9
9pseqd,0.0,0.4,0.18,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1
9pumdy,0.01,0.18,0.01,0.01,0.52,0.01,0.01,0.01,0.26,0.01,4
9py80z,0.0,0.18,0.17,0.11,0.23,0.06,0.12,0.0,0.0,0.13,4
9pymwr,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.16,0.3,0.23,8
9pzbub,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2
9q6e1p,0.06,0.41,0.0,0.16,0.0,0.05,0.0,0.0,0.2,0.12,1
9qa9l6,0.01,0.01,0.59,0.01,0.01,0.37,0.01,0.01,0.01,0.01,2
9qdeo8,0.0,0.0,0.0,0.0,0.42,0.56,0.0,0.0,0.0,0.0,5
9qejjn,0.0,0.0,0.13,0.44,0.11,0.0,0.0,0.0,0.17,0.15,3
9qf58w,0.0,0.0,0.0,0.0,0.19,0.79,0.0,0.0,0.0,0.0,5
9qflkl,0.0,0.27,0.0,0.0,0.38,0.17,0.0,0.03,0.15,0.0,4
9qitqe,0.0,0.11,0.0,0.0,0.77,0.0,0.12,0.0,0.0,0.0,4
9qln1e,0.0,0.14,0.0,0.28,0.0,0.0,0.0,0.0,0.23,0.34,9
9qox9t,0.04,0.0,0.0,0.0,0.14,0.45,0.0,0.0,0.0,0.35,5
9qpqmy,0.01,0.37,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.27,1
9qspz8,0.0,0.0,0.0,0.29,0.0,0.38,0.0,0.0,0.31,0.0,5
9qsyds,0.0,0.21,0.0,0.0,0.6,0.0,0.0,0.17,0.0,0.0,4
9qwltl,0.01,0.01,0.01,0.01,0.55,0.01,0.01,0.18,0.22,0.01,4
9qwo3m,0.0,0.0,0.33,0.0,0.08,0.0,0.0,0.06,0.22,0.3,2
9r0b4f,0.04,0.0,0.16,0.0,0.17,0.2,0.06,0.16,0.12,0.09,5
9r5z1p,0.05,0.06,0.16,0.04,0.06,0.01,0.02,0.17,0.28,0.15,8
9rfk34,0.0,0.15,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,4
9rl3a5,0.0,0.24,0.4,0.0,0.0,0.0,0.02,0.33,0.0,0.0,2
9rlrv9,0.0,0.43,0.03,0.28,0.04,0.0,0.0,0.0,0.0,0.21,1
9rlvbm,0.04,0.25,0.0,0.0,0.4,0.03,0.0,0.0,0.17,0.11,4
9rouqx,0.08,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.31,0.2,8
9rp0zq,0.0,0.0,0.0,0.0,0.35,0.22,0.22,0.07,0.0,0.13,4
9rpu8c,0.0,0.31,0.0,0.23,0.0,0.11,0.0,0.04,0.3,0.0,1
9rxjyf,0.0,0.08,0.12,0.0,0.0,0.0,0.02,0.02,0.32,0.44,9
9s07de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,8
9s0ivt,0.1,0.09,0.39,0.39,0.01,0.01,0.01,0.01,0.01,0.01,2
9s0jxj,0.0,0.05,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.6,9
9s2e1u,0.02,0.23,0.09,0.0,0.45,0.15,0.0,0.06,0.0,0.0,4
9s3jp4,0.0,0.0,0.46,0.21,0.0,0.0,0.0,0.0,0.0,0.32,2
9s3luv,0.0,0.0,0.0,0.57,0.0,0.14,0.05,0.0,0.23,0.0,3
9s6s81,0.0,0.0,0.0,0.0,0.24,0.03,0.0,0.0,0.06,0.65,9
9s7s77,0.0,0.0,0.0,0.0,0.37,0.06,0.0,0.0,0.56,0.0,8
9se203,0.17,0.01,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,4
9se25i,0.17,0.01,0.01,0.01,0.76,0.01,0.01,0.01,0.01,0.01,4
9sfc48,0.0,0.0,0.12,0.0,0.21,0.08,0.11,0.25,0.0,0.22,7
9sotwb,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.75,9
9spdau,0.02,0.39,0.0,0.0,0.33,0.16,0.1,0.0,0.0,0.0,1
9spu2m,0.0,0.52,0.0,0.0,0.18,0.0,0.0,0.0,0.27,0.0,1
9sqhyp,0.0,0.0,0.06,0.0,0.0,0.11,0.01,0.07,0.56,0.18,8
9st8zy,0.0,0.0,0.0,0.12,0.0,0.16,0.1,0.03,0.0,0.59,9
9t7hgt,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,4
9t894a,0.0,0.0,0.71,0.0,0.0,0.06,0.2,0.0,0.0,0.0,2
9t8gv1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,8
9tab8f,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.66,9
9tg9nm,0.03,0.0,0.2,0.15,0.15,0.0,0.05,0.16,0.0,0.25,9
9tkw9q,0.0,0.0,0.16,0.0,0.7,0.0,0.02,0.11,0.0,0.0,4
9tmm4c,0.0,0.15,0.07,0.0,0.0,0.07,0.0,0.35,0.1,0.26,7
9tnkr2,0.0,0.12,0.15,0.0,0.2,0.06,0.0,0.0,0.0,0.46,9
9tntux,0.0,0.0,0.0,0.06,0.37,0.23,0.14,0.03,0.0,0.16,4
9tqblx,0.09,0.0,0.0,0.47,0.0,0.0,0.12,0.0,0.31,0.0,3
9trfl7,0.0,0.31,0.0,0.38,0.0,0.03,0.03,0.24,0.0,0.0,3
9tt14j,0.07,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.07,0.0,4
9txw7a,0.06,0.19,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2
9tz58b,0.03,0.0,0.14,0.0,0.28,0.04,0.0,0.16,0.34,0.0,8
9tz5vj,0.06,0.13,0.0,0.49,0.0,0.0,0.0,0.3,0.0,0.0,3
9tzp6z,0.05,0.0,0.31,0.21,0.0,0.0,0.09,0.0,0.0,0.32,9
9u1t7l,0.0,0.31,0.23,0.0,0.38,0.08,0.0,0.0,0.0,0.0,4
9u3d6r,0.24,0.0,0.0,0.0,0.66,0.0,0.0,0.09,0.0,0.0,4
9u4or7,0.0,0.0,0.28,0.0,0.34,0.0,0.0,0.0,0.0,0.38,9
9u7ia9,0.0,0.18,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9u8wje,0.01,0.4,0.01,0.01,0.19,0.37,0.01,0.01,0.01,0.01,1
9uawsm,0.0,0.0,0.0,0.35,0.36,0.0,0.0,0.09,0.19,0.0,4
9uexud,0.1,0.07,0.11,0.0,0.36,0.16,0.0,0.19,0.0,0.0,4
9ufl29,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
9uft1g,0.0,0.54,0.36,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1
9ug09o,0.03,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2
9ug6dj,0.0,0.39,0.0,0.13,0.19,0.0,0.0,0.04,0.24,0.0,1
9ugm9o,0.17,0.41,0.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1
9ugupy,0.1,0.15,0.0,0.17,0.22,0.0,0.0,0.02,0.34,0.0,8
9uhrvo,0.0,0.18,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9ui07e,0.03,0.09,0.09,0.0,0.0,0.39,0.0,0.0,0.39,0.0,5
9uir8d,0.0,0.26,0.0,0.15,0.29,0.0,0.0,0.0,0.29,0.0,4
9uk2ja,0.0,0.0,0.16,0.0,0.59,0.08,0.0,0.0,0.0,0.16,4
9ul25y,0.0,0.0,0.09,0.0,0.79,0.11,0.0,0.0,0.0,0.0,4
9umlnd,0.03,0.0,0.71,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2
9ure0m,0.01,0.18,0.01,0.63,0.01,0.01,0.01,0.01,0.14,0.01,3
9usm5c,0.03,0.0,0.0,0.29,0.0,0.0,0.0,0.11,0.11,0.45,9
9utxfs,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
9uue8h,0.02,0.49,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,1
9uwdqk,0.05,0.27,0.4,0.0,0.0,0.0,0.0,0.26,0.0,0.0,2
9v2p4t,0.0,0.0,0.21,0.0,0.0,0.09,0.0,0.0,0.25,0.44,9
9v2vut,0.0,0.23,0.55,0.0,0.18,0.0,0.02,0.0,0.0,0.0,2
9v3m1y,0.04,0.22,0.68,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2
9v56fm,0.01,0.46,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
9v5ugz,0.0,0.58,0.0,0.0,0.0,0.23,0.16,0.0,0.0,0.0,1
9v8gsr,0.01,0.01,0.01,0.2,0.01,0.75,0.01,0.01,0.01,0.01,5
9vfgg1,0.0,0.0,0.0,0.0,0.0,0.87,0.1,0.0,0.0,0.0,5
9vjykw,0.0,0.0,0.0,0.11,0.0,0.86,0.0,0.0,0.0,0.0,5
9vkjx7,0.0,0.55,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,1
9vnrz2,0.0,0.0,0.0,0.0,0.48,0.49,0.0,0.0,0.0,0.0,5
9vo0hh,0.0,0.41,0.0,0.46,0.11,0.0,0.0,0.0,0.0,0.0,3
9vpiiv,0.0,0.0,0.67,0.0,0.21,0.0,0.0,0.0,0.11,0.0,2
9vud9g,0.05,0.1,0.0,0.2,0.11,0.0,0.0,0.22,0.31,0.0,8
9vzeyk,0.0,0.0,0.23,0.0,0.08,0.17,0.0,0.06,0.19,0.28,9
9vzmld,0.02,0.0,0.0,0.25,0.07,0.08,0.0,0.12,0.27,0.19,8
9w1evn,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9w603n,0.0,0.0,0.65,0.0,0.13,0.0,0.0,0.16,0.06,0.0,2
9w6ene,0.0,0.54,0.0,0.28,0.0,0.16,0.0,0.0,0.0,0.0,1
9w9aun,0.0,0.17,0.2,0.0,0.63,0.0,0.0,0.0,0.0,0.0,4
9w9eig,0.02,0.01,0.14,0.0,0.25,0.3,0.0,0.0,0.18,0.11,5
9w9qev,0.11,0.0,0.27,0.0,0.23,0.02,0.0,0.22,0.15,0.0,2
9w9udq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,9
9wb40o,0.0,0.4,0.0,0.0,0.41,0.04,0.0,0.0,0.0,0.14,4
9wevz8,0.0,0.15,0.0,0.0,0.11,0.0,0.17,0.27,0.29,0.0,8
9wfn9r,0.0,0.0,0.0,0.21,0.0,0.08,0.0,0.06,0.09,0.56,9
9wh9un,0.0,0.2,0.7,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2
9whfqn,0.05,0.0,0.28,0.11,0.0,0.05,0.0,0.49,0.0,0.0,7
9wkkrs,0.01,0.01,0.01,0.46,0.49,0.01,0.01,0.01,0.01,0.01,4
9wr8nu,0.0,0.09,0.35,0.0,0.13,0.0,0.0,0.2,0.0,0.22,2
9wsezk,0.01,0.01,0.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
9wt9v2,0.0,0.0,0.11,0.04,0.54,0.0,0.0,0.08,0.0,0.23,4
9wtflm,0.0,0.02,0.04,0.0,0.42,0.0,0.16,0.0,0.0,0.36,4
9wtnbe,0.07,0.37,0.11,0.36,0.0,0.07,0.0,0.0,0.0,0.0,1
9wuahl,0.0,0.0,0.0,0.0,0.58,0.03,0.0,0.0,0.38,0.0,4
9wuams,0.0,0.37,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3
9wvdld,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.76,0.1,8
9wx8g4,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.07,0.01,0.01,3
9wxaxs,0.0,0.0,0.54,0.0,0.0,0.0,0.1,0.33,0.0,0.0,2
9wxd3g,0.0,0.11,0.09,0.0,0.08,0.0,0.1,0.24,0.37,0.0,8
9wy2qx,0.0,0.0,0.22,0.49,0.0,0.0,0.0,0.0,0.0,0.27,3
9x15gw,0.0,0.34,0.21,0.14,0.0,0.05,0.04,0.05,0.0,0.16,1
9x3lhp,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.44,2
9x41pa,0.02,0.0,0.0,0.0,0.69,0.0,0.07,0.0,0.21,0.0,4
9x7eeq,0.0,0.0,0.16,0.0,0.25,0.0,0.0,0.0,0.0,0.58,9
9x82lm,0.0,0.35,0.0,0.0,0.16,0.0,0.0,0.0,0.28,0.19,1
9xauke,0.0,0.0,0.0,0.0,0.53,0.0,0.19,0.26,0.0,0.0,4
9xaxwt,0.01,0.01,0.69,0.01,0.01,0.01,0.26,0.01,0.01,0.01,2
9xd1v2,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.33,8
9xdu0m,0.06,0.0,0.19,0.0,0.0,0.57,0.0,0.0,0.16,0.0,5
9xdz2z,0.05,0.0,0.34,0.0,0.11,0.03,0.0,0.18,0.08,0.19,2
9xf8ig,0.0,0.0,0.31,0.0,0.3,0.0,0.0,0.0,0.0,0.38,9
9xitwk,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.07,0.0,2
9xjwhj,0.03,0.21,0.0,0.14,0.1,0.05,0.02,0.11,0.16,0.19,1
9xki74,0.04,0.34,0.0,0.13,0.0,0.0,0.0,0.0,0.48,0.0,8
9xp7ql,0.05,0.45,0.2,0.0,0.0,0.0,0.03,0.0,0.13,0.13,1
9xp9qp,0.01,0.32,0.01,0.01,0.01,0.01,0.01,0.01,0.64,0.01,8
9xslsm,0.0,0.0,0.0,0.22,0.49,0.0,0.0,0.0,0.26,0.0,4
9xx70n,0.0,0.06,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
9y6bjx,0.0,0.0,0.19,0.29,0.0,0.43,0.0,0.0,0.09,0.0,5
9y90kp,0.0,0.92,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1
9ydmno,0.0,0.74,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,1
9yjcir,0.0,0.35,0.31,0.0,0.0,0.0,0.17,0.06,0.1,0.0,1
9ym5lu,0.01,0.01,0.87,0.09,0.01,0.01,0.01,0.01,0.01,0.01,2
9ymj26,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9ynve0,0.01,0.35,0.01,0.01,0.61,0.01,0.01,0.01,0.01,0.01,4
9yug9m,0.0,0.0,0.0,0.2,0.0,0.09,0.18,0.0,0.52,0.0,8
9ywmu1,0.12,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,4
9yxfug,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
9yxgss,0.03,0.0,0.0,0.14,0.17,0.0,0.06,0.0,0.29,0.3,9
9yzwu7,0.04,0.17,0.12,0.11,0.17,0.0,0.0,0.0,0.0,0.38,9
9z1tgj,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.72,0.01,0.01,7
9z1ue5,0.0,0.0,0.11,0.31,0.0,0.0,0.03,0.0,0.53,0.0,8
9z4ohh,0.0,0.0,0.1,0.06,0.15,0.0,0.01,0.11,0.33,0.24,8
9z5bnz,0.02,0.0,0.0,0.0,0.14,0.41,0.0,0.0,0.0,0.42,9
9z7l7u,0.0,0.31,0.0,0.0,0.46,0.0,0.08,0.0,0.0,0.14,4
9zbs4j,0.0,0.09,0.1,0.22,0.0,0.0,0.0,0.03,0.55,0.0,8
9zeb63,0.0,0.08,0.09,0.0,0.49,0.0,0.0,0.0,0.0,0.34,4
9zey4s,0.04,0.0,0.04,0.0,0.6,0.0,0.0,0.0,0.32,0.0,4
9zf3pd,0.03,0.08,0.21,0.15,0.0,0.11,0.0,0.1,0.22,0.1,8
9zl1uj,0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.01,0.13,2
9zmjry,0.15,0.0,0.2,0.0,0.09,0.0,0.0,0.0,0.39,0.17,8
9zsj71,0.0,0.0,0.23,0.0,0.75,0.0,0.0,0.0,0.0,0.0,4
9ztdmo,0.04,0.0,0.0,0.23,0.12,0.05,0.06,0.16,0.1,0.24,9
9zvmk0,0.0,0.46,0.0,0.12,0.11,0.17,0.0,0.0,0.14,0.0,1
9zvoxp,0.04,0.33,0.0,0.34,0.0,0.03,0.03,0.0,0.0,0.22,3
9zw727,0.0,0.0,0.47,0.0,0.0,0.32,0.0,0.0,0.19,0.0,2
a04lcz,0.0,0.0,0.44,0.16,0.0,0.32,0.0,0.08,0.0,0.0,2
a0cih8,0.03,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.41,0.17,8
a0e1df,0.02,0.0,0.0,0.0,0.45,0.15,0.0,0.04,0.28,0.06,4
a0fwvb,0.0,0.21,0.0,0.1,0.0,0.0,0.0,0.05,0.43,0.21,8
a0g489,0.0,0.48,0.39,0.1,0.02,0.0,0.0,0.0,0.0,0.0,1
a0gfzt,0.0,0.0,0.75,0.14,0.0,0.0,0.0,0.1,0.0,0.0,2
a0ghsp,0.0,0.26,0.0,0.31,0.09,0.28,0.0,0.0,0.0,0.04,3
a0lcc7,0.0,0.08,0.0,0.22,0.08,0.06,0.0,0.0,0.32,0.23,8
a0m3t9,0.09,0.0,0.31,0.08,0.47,0.0,0.0,0.04,0.0,0.0,4
a0o6pq,0.0,0.0,0.25,0.36,0.0,0.0,0.0,0.0,0.0,0.37,9
a0ocfq,0.0,0.0,0.11,0.0,0.0,0.61,0.0,0.0,0.0,0.26,5
a0pk4z,0.0,0.0,0.0,0.18,0.12,0.16,0.0,0.07,0.0,0.46,9
a0rq45,0.0,0.0,0.44,0.23,0.0,0.0,0.04,0.05,0.0,0.24,2
a0vzj9,0.01,0.07,0.0,0.19,0.0,0.02,0.02,0.08,0.46,0.14,8
a0wnzr,0.0,0.08,0.09,0.1,0.04,0.42,0.07,0.03,0.0,0.16,5
a0xxgv,0.0,0.58,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,1
a0ykj8,0.14,0.51,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,1
a10i98,0.0,0.0,0.07,0.09,0.0,0.0,0.0,0.04,0.6,0.19,8
a10mqn,0.0,0.0,0.19,0.0,0.36,0.03,0.0,0.0,0.0,0.42,9
a127ek,0.0,0.65,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
