,t0 didn,t1 day,t2 surgery,t3 symptom,t4 nt,t5 control,t6 amp,t7 cyst,t8 period,t9 doctor,dominant_topic
o2nbz0,0.0,0.0,0.34,0.37,0.1,0.0,0.18,0.0,0.0,0.0,3
o2pksm,0.0,0.42,0.0,0.0,0.48,0.0,0.06,0.0,0.0,0.0,4
o2q8g2,0.0,0.0,0.0,0.0,0.45,0.21,0.0,0.0,0.0,0.33,4
o2t71z,0.0,0.0,0.54,0.0,0.43,0.0,0.0,0.0,0.0,0.0,2
o2v6o8,0.23,0.01,0.37,0.01,0.01,0.01,0.32,0.01,0.01,0.01,2
o2w5wl,0.0,0.0,0.18,0.3,0.0,0.06,0.0,0.16,0.0,0.3,3
o30i4c,0.0,0.0,0.47,0.0,0.0,0.06,0.0,0.0,0.08,0.37,2
o33ntt,0.0,0.0,0.34,0.21,0.0,0.08,0.06,0.3,0.0,0.0,2
o34wv0,0.05,0.0,0.11,0.0,0.34,0.48,0.0,0.0,0.0,0.0,5
o3575w,0.0,0.43,0.09,0.4,0.0,0.0,0.07,0.0,0.0,0.0,1
o35oi7,0.01,0.01,0.01,0.48,0.45,0.01,0.01,0.01,0.01,0.01,3
o36anf,0.01,0.01,0.18,0.01,0.01,0.28,0.01,0.16,0.33,0.01,8
o37bk2,0.0,0.59,0.0,0.1,0.0,0.0,0.0,0.0,0.29,0.0,1
o39qxy,0.0,0.0,0.46,0.0,0.34,0.0,0.02,0.0,0.0,0.17,2
o3adsn,0.01,0.62,0.01,0.01,0.01,0.01,0.27,0.01,0.01,0.01,1
o3atln,0.0,0.36,0.19,0.0,0.42,0.0,0.0,0.0,0.0,0.0,4
o3f1cr,0.06,0.43,0.12,0.01,0.01,0.14,0.01,0.01,0.22,0.01,1
o3ftjb,0.01,0.1,0.08,0.09,0.4,0.03,0.0,0.12,0.0,0.17,4
o3g39o,0.0,0.34,0.08,0.41,0.0,0.0,0.0,0.16,0.0,0.0,3
o3iepr,0.03,0.03,0.03,0.39,0.03,0.03,0.03,0.03,0.41,0.03,8
o3krc5,0.01,0.01,0.95,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
o3krx2,0.22,0.0,0.48,0.09,0.0,0.0,0.0,0.07,0.13,0.0,2
o3nv8r,0.0,0.0,0.34,0.21,0.0,0.08,0.06,0.3,0.0,0.0,2
o3ogt7,0.0,0.09,0.11,0.05,0.19,0.03,0.0,0.04,0.38,0.11,8
o3p796,0.06,0.0,0.26,0.0,0.45,0.17,0.04,0.0,0.0,0.0,4
o3p80c,0.0,0.07,0.0,0.22,0.11,0.06,0.0,0.04,0.2,0.3,9
o3r2af,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.26,0.1,0.2,2
o3rc8i,0.01,0.01,0.43,0.01,0.52,0.01,0.01,0.01,0.01,0.01,4
o3vtax,0.0,0.0,0.0,0.79,0.0,0.1,0.0,0.1,0.0,0.0,3
o3zf1p,0.0,0.2,0.0,0.17,0.06,0.06,0.0,0.04,0.18,0.29,9
o415c7,0.0,0.0,0.22,0.22,0.26,0.11,0.18,0.0,0.0,0.0,4
o41q3m,0.01,0.14,0.7,0.01,0.01,0.01,0.11,0.01,0.01,0.01,2
o42p80,0.0,0.33,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.22,4
o45i1r,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.51,0.0,0.0,7
o46hcg,0.03,0.24,0.0,0.0,0.31,0.28,0.0,0.0,0.0,0.12,4
o4793r,0.0,0.0,0.27,0.0,0.09,0.18,0.0,0.0,0.45,0.0,8
o47pth,0.01,0.35,0.01,0.46,0.14,0.01,0.01,0.01,0.01,0.01,3
o48qfp,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2
o4axve,0.18,0.01,0.01,0.01,0.59,0.17,0.01,0.01,0.01,0.01,4
o4c8rv,0.0,0.85,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,1
o4ef58,0.01,0.01,0.01,0.54,0.23,0.19,0.01,0.01,0.01,0.01,3
o4exqi,0.0,0.21,0.1,0.17,0.0,0.0,0.22,0.14,0.0,0.16,6
o4f835,0.0,0.13,0.67,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2
o4fqam,0.0,0.48,0.0,0.0,0.45,0.0,0.06,0.0,0.0,0.0,1
o4guc1,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
o4hpyj,0.0,0.0,0.18,0.0,0.19,0.31,0.0,0.0,0.08,0.23,5
o4hyzx,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.7,0.19,8
o4j50f,0.01,0.61,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
o4jqmh,0.0,0.0,0.24,0.22,0.39,0.0,0.0,0.0,0.0,0.14,4
o4lsg1,0.0,0.57,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.17,1
o4mqam,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
o4o2h6,0.0,0.0,0.0,0.31,0.14,0.0,0.06,0.46,0.0,0.0,7
o4qkhk,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.01,0.3,2
o4uv6x,0.0,0.0,0.28,0.19,0.12,0.05,0.0,0.36,0.0,0.0,7
o4vl87,0.13,0.17,0.0,0.0,0.0,0.56,0.05,0.07,0.0,0.0,5
o4woup,0.01,0.56,0.01,0.01,0.28,0.01,0.01,0.12,0.01,0.01,1
o4x6bl,0.04,0.16,0.18,0.0,0.08,0.21,0.0,0.05,0.28,0.0,8
o4xdii,0.0,0.1,0.1,0.14,0.0,0.25,0.02,0.05,0.0,0.34,9
o4y50u,0.0,0.05,0.28,0.0,0.25,0.0,0.0,0.26,0.16,0.0,2
o519ro,0.01,0.01,0.43,0.34,0.01,0.17,0.01,0.01,0.01,0.01,2
o524qk,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,4
o53tdt,0.06,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.43,2
o53vs7,0.0,0.0,0.0,0.08,0.0,0.23,0.0,0.0,0.68,0.0,8
o54xms,0.01,0.6,0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
o54zcy,0.01,0.38,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.01,3
o56ikp,0.19,0.0,0.0,0.0,0.28,0.22,0.0,0.0,0.15,0.15,4
o57f5d,0.16,0.0,0.33,0.0,0.0,0.0,0.0,0.04,0.2,0.26,2
o57xib,0.04,0.0,0.0,0.46,0.0,0.0,0.0,0.2,0.0,0.29,3
o58dnc,0.0,0.0,0.12,0.16,0.0,0.0,0.0,0.32,0.13,0.26,7
o5amli,0.0,0.14,0.0,0.06,0.26,0.0,0.0,0.12,0.29,0.12,8
o5cafu,0.0,0.25,0.05,0.0,0.05,0.13,0.02,0.1,0.0,0.4,9
o5d6gu,0.12,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,4
o5dgi8,0.0,0.33,0.0,0.0,0.45,0.13,0.0,0.0,0.08,0.0,4
o5dh2d,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,3
o5dsa4,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.35,0.01,2
o5e2pn,0.0,0.23,0.0,0.35,0.19,0.0,0.15,0.07,0.0,0.0,3
o5eznf,0.16,0.0,0.55,0.0,0.0,0.0,0.0,0.22,0.0,0.07,2
o5f3pt,0.16,0.0,0.55,0.0,0.0,0.0,0.0,0.22,0.0,0.07,2
o5fitv,0.0,0.18,0.0,0.77,0.0,0.0,0.03,0.0,0.0,0.0,3
o5g4z0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.23,8
o5hbqk,0.0,0.0,0.0,0.14,0.32,0.0,0.0,0.11,0.06,0.35,9
o5mqn1,0.01,0.84,0.01,0.01,0.01,0.01,0.01,0.11,0.01,0.01,1
o5nqci,0.0,0.0,0.0,0.25,0.42,0.06,0.26,0.0,0.0,0.0,4
o5oysm,0.0,0.0,0.2,0.29,0.0,0.31,0.0,0.0,0.18,0.0,5
o5oz2f,0.0,0.0,0.51,0.24,0.0,0.1,0.0,0.0,0.15,0.0,2
o5p97g,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.18,0.76,0.0,8
o5plat,0.0,0.16,0.0,0.43,0.0,0.0,0.0,0.08,0.31,0.0,3
o5qnr1,0.01,0.0,0.26,0.05,0.17,0.0,0.11,0.0,0.4,0.0,8
o5ryf6,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.42,0.26,0.0,7
o5tvhb,0.0,0.15,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.37,3
o5u1kb,0.02,0.0,0.39,0.0,0.34,0.0,0.0,0.0,0.0,0.25,2
o5ucag,0.05,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.67,9
o5xt4d,0.0,0.0,0.6,0.0,0.0,0.16,0.0,0.0,0.23,0.0,2
o5y35g,0.0,0.0,0.0,0.0,0.32,0.0,0.13,0.0,0.0,0.54,9
o5yg1z,0.0,0.0,0.33,0.14,0.29,0.16,0.07,0.0,0.0,0.0,2
o5zs8e,0.0,0.0,0.31,0.37,0.3,0.0,0.0,0.0,0.0,0.0,3
o6039z,0.02,0.0,0.58,0.0,0.31,0.03,0.0,0.05,0.0,0.0,2
o60lf5,0.0,0.0,0.45,0.31,0.0,0.0,0.0,0.0,0.22,0.0,2
o639j0,0.0,0.0,0.0,0.61,0.21,0.0,0.03,0.15,0.0,0.0,3
o63hey,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.07,0.0,0.23,2
o643nf,0.05,0.0,0.0,0.57,0.23,0.0,0.0,0.04,0.0,0.1,3
o65e8p,0.05,0.37,0.3,0.0,0.1,0.0,0.01,0.05,0.02,0.1,1
o68vil,0.0,0.29,0.21,0.0,0.1,0.07,0.0,0.04,0.29,0.0,1
o6aomg,0.0,0.22,0.06,0.08,0.0,0.18,0.0,0.0,0.46,0.0,8
o6av2u,0.02,0.0,0.09,0.0,0.3,0.19,0.0,0.0,0.0,0.39,9
o6cla9,0.01,0.65,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0.01,1
o6d7x0,0.0,0.26,0.46,0.1,0.0,0.0,0.0,0.0,0.12,0.05,2
o6duo9,0.0,0.0,0.41,0.0,0.18,0.0,0.38,0.0,0.0,0.0,2
o6ebrr,0.0,0.0,0.69,0.0,0.12,0.16,0.0,0.0,0.0,0.0,2
o6g8gf,0.0,0.0,0.4,0.0,0.26,0.13,0.0,0.0,0.0,0.21,2
o6gfsz,0.0,0.0,0.15,0.0,0.54,0.13,0.0,0.0,0.16,0.0,4
o6gnhj,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.23,0.39,0.0,8
o6gw2g,0.0,0.0,0.06,0.0,0.22,0.2,0.0,0.13,0.12,0.26,9
o6ihjq,0.0,0.6,0.0,0.0,0.0,0.34,0.04,0.0,0.0,0.0,1
o6il7t,0.0,0.44,0.0,0.31,0.0,0.17,0.0,0.0,0.0,0.07,1
o6j1oi,0.08,0.0,0.11,0.17,0.32,0.0,0.0,0.0,0.0,0.31,4
o6khq5,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.31,0.0,0.0,2
o6mlik,0.2,0.0,0.17,0.22,0.0,0.0,0.0,0.1,0.2,0.1,3
o6nd8c,0.0,0.0,0.49,0.0,0.23,0.0,0.0,0.27,0.0,0.0,2
o6nh7e,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.59,0.01,0.01,7
o6paqc,0.02,0.0,0.08,0.0,0.31,0.0,0.0,0.0,0.24,0.34,9
o6q9iy,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.09,0.2,0.26,3
o6qh3u,0.24,0.0,0.44,0.0,0.19,0.0,0.0,0.0,0.0,0.12,2
o6qi3t,0.24,0.0,0.44,0.0,0.19,0.0,0.0,0.0,0.0,0.12,2
o6rvfp,0.0,0.0,0.26,0.42,0.0,0.0,0.07,0.06,0.17,0.0,3
o6s0hp,0.07,0.0,0.09,0.11,0.46,0.22,0.0,0.0,0.0,0.06,4
o6ty8o,0.04,0.23,0.67,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2
o6vxcx,0.01,0.49,0.01,0.01,0.01,0.42,0.01,0.01,0.01,0.01,1
o6wy08,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.09,0.62,0.22,8
o6ymgv,0.04,0.53,0.22,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1
o705g5,0.04,0.54,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1
o70flm,0.0,0.17,0.0,0.15,0.32,0.0,0.0,0.23,0.13,0.0,4
o712bu,0.0,0.0,0.0,0.22,0.41,0.12,0.0,0.05,0.0,0.2,4
o72p6d,0.01,0.69,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.01,1
o73y5z,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.01,0.67,0.01,8
o74g6u,0.0,0.34,0.0,0.0,0.0,0.12,0.0,0.0,0.29,0.24,1
o74kiu,0.0,0.0,0.75,0.0,0.0,0.0,0.05,0.19,0.0,0.0,2
o75ym4,0.01,0.01,0.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
o77zeh,0.0,0.0,0.0,0.5,0.0,0.21,0.0,0.0,0.28,0.0,3
o78z7i,0.0,0.27,0.0,0.05,0.34,0.0,0.32,0.0,0.0,0.0,4
o79ip7,0.0,0.0,0.39,0.0,0.0,0.13,0.0,0.0,0.47,0.0,8
o7arnj,0.02,0.0,0.16,0.62,0.0,0.0,0.0,0.05,0.14,0.0,3
o7atyq,0.0,0.0,0.0,0.0,0.25,0.04,0.05,0.19,0.04,0.43,9
o7dgr0,0.0,0.09,0.0,0.0,0.38,0.0,0.03,0.07,0.0,0.42,9
o7fvd9,0.0,0.25,0.0,0.51,0.09,0.0,0.06,0.05,0.0,0.04,3
o7gey8,0.0,0.0,0.0,0.18,0.0,0.05,0.0,0.19,0.26,0.31,9
o7ifcm,0.0,0.09,0.17,0.0,0.07,0.24,0.0,0.0,0.16,0.28,9
o7k22x,0.0,0.45,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,5
o7n3o3,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.58,9
o7nqm3,0.0,0.33,0.0,0.63,0.0,0.0,0.04,0.0,0.0,0.0,3
o7nwzn,0.0,0.58,0.17,0.0,0.1,0.07,0.0,0.0,0.0,0.07,1
o7ov7z,0.0,0.12,0.0,0.36,0.0,0.0,0.0,0.27,0.25,0.0,3
o7ppxj,0.0,0.12,0.0,0.17,0.16,0.0,0.0,0.1,0.0,0.44,9
o7qeda,0.01,0.0,0.08,0.11,0.32,0.13,0.0,0.1,0.1,0.15,4
o7smy5,0.0,0.0,0.0,0.36,0.57,0.0,0.06,0.0,0.0,0.0,4
o7u5sk,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.16,0.43,0.0,8
o7umhk,0.0,0.22,0.0,0.55,0.0,0.0,0.0,0.03,0.0,0.19,3
o7v6j2,0.0,0.18,0.0,0.09,0.43,0.07,0.03,0.12,0.08,0.0,4
o7w3n4,0.03,0.0,0.49,0.0,0.23,0.23,0.0,0.0,0.0,0.0,2
o7woi5,0.0,0.0,0.42,0.0,0.0,0.36,0.0,0.2,0.0,0.0,2
o7wr0d,0.0,0.0,0.12,0.31,0.0,0.0,0.0,0.31,0.0,0.25,3
o7wtt7,0.01,0.01,0.35,0.01,0.01,0.01,0.19,0.36,0.01,0.01,7
o7x28p,0.1,0.0,0.54,0.0,0.0,0.0,0.0,0.14,0.2,0.0,2
o7x4g2,0.04,0.0,0.0,0.18,0.19,0.0,0.0,0.0,0.57,0.0,8
o7xn4c,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.82,0.01,0.01,7
o7yvh4,0.03,0.14,0.13,0.05,0.0,0.1,0.0,0.25,0.0,0.29,9
o7yvq0,0.04,0.0,0.49,0.21,0.0,0.0,0.0,0.25,0.0,0.0,2
o80e21,0.01,0.01,0.74,0.01,0.01,0.18,0.01,0.01,0.01,0.01,2
o82yyy,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.33,5
o85zq7,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.87,0.0,8
o873fq,0.0,0.0,0.71,0.1,0.06,0.0,0.12,0.0,0.0,0.0,2
o880vi,0.0,0.47,0.0,0.23,0.0,0.27,0.0,0.0,0.0,0.0,1
o8b01n,0.04,0.0,0.45,0.0,0.1,0.08,0.0,0.32,0.0,0.0,2
o8clap,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.47,0.13,8
o8ct5x,0.05,0.08,0.24,0.0,0.27,0.02,0.05,0.18,0.0,0.12,4
o8d6jh,0.06,0.06,0.0,0.29,0.0,0.2,0.0,0.0,0.38,0.0,8
o8deey,0.0,0.32,0.0,0.36,0.29,0.0,0.0,0.0,0.0,0.0,3
o8dk3i,0.01,0.01,0.55,0.01,0.01,0.01,0.01,0.01,0.36,0.01,2
o8dol5,0.08,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.71,9
o8dti6,0.04,0.09,0.14,0.14,0.0,0.15,0.0,0.15,0.08,0.21,9
o8dvk6,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.34,0.0,0.34,7
o8egp9,0.03,0.08,0.26,0.0,0.23,0.0,0.0,0.26,0.13,0.0,2
o8fsft,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.72,0.15,8
o8grdc,0.01,0.05,0.06,0.0,0.32,0.0,0.07,0.08,0.0,0.39,9
o8hxmc,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3
o8kgqv,0.01,0.01,0.01,0.26,0.36,0.35,0.01,0.01,0.01,0.01,4
o8kpep,0.0,0.08,0.5,0.17,0.24,0.0,0.0,0.0,0.0,0.0,2
o8l7zl,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
o8lji0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.83,0.0,0.0,7
o8n5y9,0.01,0.01,0.01,0.53,0.01,0.01,0.01,0.01,0.39,0.01,3
o8nhv1,0.01,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.25,0.01,2
o8txtv,0.02,0.0,0.0,0.22,0.12,0.05,0.0,0.03,0.23,0.33,9
o8ubps,0.0,0.0,0.0,0.34,0.16,0.0,0.0,0.33,0.16,0.0,3
